,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.6513,0.6166,0.5983,0.5942,0.6351,0.6513,0.6331,0.7803,0.807,"{'n_estimators': 431, 'max_depth': 7, 'min_samples_split': 17, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'bootstrap': True}",0.6747,0.6951,0.6847,0.8327,0.5058,0.2811,0.3614,0.6566,0.6692,0.8189,0.7365,0.8516,431.0,7.0,17.0,6.0,sqrt,True,,,,,,,,,
1,RF,2,0.3983,0.4225,0.4127,0.346,0.4585,0.3983,0.3659,0.6173,0.5878,"{'n_estimators': 258, 'max_depth': 5, 'min_samples_split': 4, 'min_samples_leaf': 7, 'max_features': 'sqrt', 'bootstrap': False}",0.2605,0.639,0.3701,0.6022,0.4432,0.0712,0.1226,0.5852,0.564,0.5279,0.5453,0.6646,258.0,5.0,4.0,7.0,sqrt,False,,,,,,,,,
2,RF,3,0.4949,0.5184,0.4979,0.4126,0.522,0.4949,0.4253,0.7152,0.672,"{'n_estimators': 61, 'max_depth': 4, 'min_samples_split': 7, 'min_samples_leaf': 6, 'max_features': 'log2', 'bootstrap': False}",0.5455,0.4795,0.5104,0.6414,0.5488,0.0584,0.1055,0.67,0.4608,0.9557,0.6218,0.8342,61.0,4.0,7.0,6.0,log2,False,,,,,,,,,
3,RF,4,0.4819,0.4377,0.4535,0.4393,0.4968,0.4819,0.4858,0.6353,0.6436,"{'n_estimators': 364, 'max_depth': 9, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'bootstrap': True}",0.4648,0.3799,0.4181,0.6268,0.2677,0.4082,0.3233,0.6736,0.5805,0.5723,0.5764,0.6055,364.0,9.0,5.0,2.0,log2,True,,,,,,,,,
4,RF,5,0.6384,0.7549,0.5411,0.532,0.6957,0.6384,0.6013,0.7496,0.788,"{'n_estimators': 296, 'max_depth': 4, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_features': 'log2', 'bootstrap': False}",0.6465,0.6025,0.6237,0.7201,1.0,0.14,0.2456,0.7258,0.6184,0.8807,0.7266,0.8028,296.0,4.0,9.0,2.0,log2,False,,,,,,,,,
5,XGB,1,0.6423,0.6095,0.5982,0.5979,0.6296,0.6423,0.6314,0.7735,0.8009,"{'n_estimators': 168, 'max_depth': 3, 'learning_rate': 0.02536334780530939, 'subsample': 0.7516439025049594, 'colsample_bytree': 0.9749317201745061, 'min_child_weight': 2, 'gamma': 2.0871249058671313, 'reg_alpha': 1.004946185140471, 'reg_lambda': 1.9972818651185718}",0.6673,0.6941,0.6804,0.8135,0.4894,0.3344,0.3973,0.6708,0.6718,0.7662,0.7159,0.8362,168.0,3.0,,,,,0.02536334780530939,0.7516439025049594,0.9749317201745061,2.0,2.0871249058671313,1.004946185140471,1.9972818651185718,,
6,XGB,2,0.432,0.4448,0.4266,0.3787,0.4772,0.432,0.4025,0.6287,0.6141,"{'n_estimators': 308, 'max_depth': 3, 'learning_rate': 0.012224550751771973, 'subsample': 0.70368437893101, 'colsample_bytree': 0.90336097123816, 'min_child_weight': 4, 'gamma': 4.772113720068853, 'reg_alpha': 0.6788413651042524, 'reg_lambda': 1.2160039580862216}",0.2795,0.5559,0.372,0.6141,0.5041,0.1131,0.1848,0.6053,0.5509,0.6109,0.5794,0.6666,308.0,3.0,,,,,0.012224550751771973,0.70368437893101,0.90336097123816,4.0,4.772113720068853,0.6788413651042524,1.2160039580862216,,
7,XGB,3,0.5092,0.5232,0.5088,0.4408,0.5264,0.5092,0.4525,0.6879,0.6743,"{'n_estimators': 172, 'max_depth': 4, 'learning_rate': 0.01589532370978375, 'subsample': 0.8185666496407024, 'colsample_bytree': 0.6000190683753812, 'min_child_weight': 3, 'gamma': 4.631542707243338, 'reg_alpha': 1.867154934362274, 'reg_lambda': 1.439878291756097}",0.5467,0.5151,0.5305,0.6438,0.5441,0.096,0.1632,0.5913,0.4789,0.9154,0.6288,0.8285,172.0,4.0,,,,,0.01589532370978375,0.8185666496407024,0.6000190683753812,3.0,4.631542707243338,1.867154934362274,1.439878291756097,,
8,XGB,4,0.4583,0.417,0.4369,0.4198,0.4654,0.4583,0.4574,0.5997,0.621,"{'n_estimators': 380, 'max_depth': 3, 'learning_rate': 0.026955874257542076, 'subsample': 0.7322727118523488, 'colsample_bytree': 0.7020479228482127, 'min_child_weight': 4, 'gamma': 3.2346372724127326, 'reg_alpha': 1.31389445937798, 'reg_lambda': 0.9693482793679833}",0.4199,0.3191,0.3626,0.5609,0.286,0.4286,0.3431,0.6795,0.545,0.5629,0.5538,0.5587,380.0,3.0,,,,,0.026955874257542076,0.7322727118523488,0.7020479228482127,4.0,3.2346372724127326,1.31389445937798,0.9693482793679833,,
9,XGB,5,0.6513,0.6135,0.5963,0.5985,0.6467,0.6513,0.6426,0.7582,0.7894,"{'n_estimators': 356, 'max_depth': 5, 'learning_rate': 0.010116600274967366, 'subsample': 0.6897641953324888, 'colsample_bytree': 0.9973719547174564, 'min_child_weight': 9, 'gamma': 0.532819126765206, 'reg_alpha': 1.9637081262927625, 'reg_lambda': 1.4741864181068085}",0.7027,0.5983,0.6463,0.7376,0.4759,0.37,0.4163,0.7131,0.6619,0.8205,0.7327,0.824,356.0,5.0,,,,,0.010116600274967366,0.6897641953324888,0.9973719547174564,9.0,0.532819126765206,1.9637081262927625,1.4741864181068085,,
10,DT,1,0.5675,0.6857,0.4888,0.4361,0.6458,0.5675,0.5028,0.689,0.733,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'log2', 'splitter': 'best'}",0.5499,0.7463,0.6333,0.7149,0.9231,0.0194,0.038,0.5781,0.584,0.7006,0.637,0.774,,4.0,2.0,3.0,log2,,,,,,,,,gini,best
11,DT,2,0.3799,0.4326,0.394,0.3563,0.4783,0.3799,0.38,0.5741,0.5582,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 13, 'min_samples_leaf': 3, 'max_features': None, 'splitter': 'random'}",0.222,0.5731,0.32,0.5637,0.4682,0.1478,0.2247,0.5508,0.6075,0.4612,0.5244,0.6079,,5.0,13.0,3.0,,,,,,,,,,entropy,random
12,DT,3,0.4874,0.4861,0.488,0.3994,0.4894,0.4874,0.4123,0.6944,0.6706,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 4, 'min_samples_leaf': 7, 'max_features': 'sqrt', 'splitter': 'best'}",0.5107,0.4875,0.4989,0.6484,0.4762,0.0389,0.0719,0.6408,0.4715,0.9375,0.6275,0.7939,,4.0,4.0,7.0,sqrt,,,,,,,,,entropy,best
13,DT,4,0.511,0.4784,0.4559,0.4459,0.5418,0.511,0.5037,0.6205,0.6275,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 13, 'min_samples_leaf': 5, 'max_features': None, 'splitter': 'best'}",0.4411,0.7046,0.5425,0.6225,0.3241,0.2041,0.2504,0.631,0.6701,0.459,0.5448,0.6081,,4.0,13.0,5.0,,,,,,,,,,gini,best
14,DT,5,0.5448,0.5681,0.5151,0.4741,0.5974,0.5448,0.4878,0.675,0.7144,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 14, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'splitter': 'best'}",0.7212,0.2029,0.3167,0.6305,0.4454,0.3975,0.4201,0.665,0.5378,0.945,0.6855,0.7296,,3.0,14.0,9.0,sqrt,,,,,,,,,entropy,best
15,RF,MEAN,0.533,0.55,0.5007,0.4648,0.5616,0.533,0.5023,0.6995,0.6997,N/A,0.5184,0.5592,0.5214,0.6846,0.5531,0.1918,0.2317,0.6622,0.5786,0.7511,0.6413,0.7517,,,,,,,,,,,,,,,
16,RF,STD,0.1088,0.1381,0.0727,0.0984,0.0997,0.1088,0.1137,0.071,0.0945,N/A,0.1666,0.1277,0.1331,0.0938,0.2718,0.1499,0.1154,0.0505,0.0773,0.1904,0.0868,0.11,,,,,,,,,,,,,,,
17,XGB,MEAN,0.5386,0.5216,0.5134,0.4871,0.5491,0.5386,0.5173,0.6896,0.6999,N/A,0.5232,0.5365,0.5184,0.674,0.4599,0.2684,0.3009,0.652,0.5817,0.7352,0.6421,0.7428,,,,,,,,,,,,,,,
18,XGB,STD,0.1026,0.0908,0.0829,0.1038,0.0847,0.1026,0.1115,0.0767,0.0901,N/A,0.1758,0.1385,0.1487,0.101,0.1005,0.1534,0.1192,0.0517,0.0828,0.1465,0.0799,0.1249,,,,,,,,,,,,,,,
19,DT,MEAN,0.4981,0.5302,0.4684,0.4224,0.5505,0.4981,0.4573,0.6506,0.6607,N/A,0.489,0.5429,0.4623,0.636,0.5274,0.1615,0.201,0.6131,0.5742,0.7007,0.6038,0.7027,,,,,,,,,,,,,,,
20,DT,STD,0.0729,0.0997,0.0466,0.0456,0.0712,0.0729,0.0573,0.0518,0.0704,N/A,0.1814,0.2163,0.1401,0.0544,0.2295,0.1524,0.1535,0.0471,0.0746,0.2406,0.0673,0.0895,,,,,,,,,,,,,,,
