,Model,Fold,Accuracy,best_n_estimators,best_max_depth,best_min_samples_split,best_min_samples_leaf,best_max_features,best_bootstrap,best_learning_rate,best_subsample,best_colsample_bytree,best_min_child_weight,best_gamma,best_reg_alpha,best_reg_lambda,best_criterion,best_splitter
0,RF,1,0.7845,493.0,6.0,6.0,1.0,sqrt,True,,,,,,,,,
1,RF,2,0.7366,82.0,15.0,8.0,5.0,,True,,,,,,,,,
2,RF,3,0.7553,85.0,4.0,17.0,10.0,,True,,,,,,,,,
3,RF,4,0.68,267.0,13.0,14.0,5.0,sqrt,False,,,,,,,,,
4,RF,5,0.7749,434.0,5.0,4.0,10.0,,True,,,,,,,,,
5,XGB,1,0.7735,139.0,6.0,,,,,0.22260411943077424,0.7387812456498621,0.6304311089292534,10.0,1.2634616836690433,0.45072074118341526,1.9997837429794167,,
6,XGB,2,0.7742,180.0,8.0,,,,,0.015711823458432986,0.9010801288783988,0.6464456105101265,6.0,3.8055306776044255,1.6575862542719724,1.6367770850031618,,
7,XGB,3,0.7704,486.0,9.0,,,,,0.026978972211668742,0.6050785460502632,0.9988599342221308,7.0,4.055786136308785,1.0888475187122242,0.006214399029545969,,
8,XGB,4,0.65,126.0,8.0,,,,,0.047992202989462385,0.8131469228964735,0.8867610982888722,3.0,4.089230645939588,0.39367741556209945,0.9405323243240338,,
9,XGB,5,0.8377,411.0,7.0,,,,,0.06635971578375802,0.6147437976234575,0.7525262270010948,3.0,4.301194397249982,1.1080975029685687,1.326918653996679,,
10,DT,1,0.7624,,5.0,9.0,9.0,,,,,,,,,,entropy,best
11,DT,2,0.6989,,5.0,5.0,3.0,,,,,,,,,,entropy,best
12,DT,3,0.6979,,12.0,15.0,1.0,,,,,,,,,,entropy,random
13,DT,4,0.66,,4.0,20.0,10.0,,,,,,,,,,gini,best
14,DT,5,0.7173,,5.0,14.0,8.0,,,,,,,,,,entropy,random
15,RF,MEAN,0.7462,,,,,,,,,,,,,,,
16,RF,STD,0.037,,,,,,,,,,,,,,,
17,XGB,MEAN,0.7612,,,,,,,,,,,,,,,
18,XGB,STD,0.061,,,,,,,,,,,,,,,
19,DT,MEAN,0.7073,,,,,,,,,,,,,,,
20,DT,STD,0.0333,,,,,,,,,,,,,,,
