,Model,Fold,Accuracy,best_n_estimators,best_max_depth,best_min_samples_split,best_min_samples_leaf,best_max_features,best_bootstrap,best_learning_rate,best_subsample,best_colsample_bytree,best_min_child_weight,best_gamma,best_reg_alpha,best_reg_lambda,best_criterion,best_splitter
0,RF,1,0.6959,456.0,19.0,7.0,8.0,sqrt,True,,,,,,,,,
1,RF,2,0.7339,53.0,16.0,8.0,10.0,sqrt,False,,,,,,,,,
2,RF,3,0.791,208.0,18.0,10.0,7.0,sqrt,True,,,,,,,,,
3,RF,4,0.7356,213.0,20.0,5.0,6.0,sqrt,True,,,,,,,,,
4,RF,5,0.7561,380.0,13.0,6.0,7.0,sqrt,False,,,,,,,,,
5,XGB,1,0.6671,144.0,3.0,,,,,0.011991243879259386,0.8708866701617752,0.8583259476588183,4.0,1.0620075049554285,0.6339739956205299,0.48043229974369295,,
6,XGB,2,0.7478,87.0,3.0,,,,,0.01766814258128821,0.8740341083493222,0.6763182728362148,2.0,0.0203461620945653,0.5190144860644256,1.1047120306526839,,
7,XGB,3,0.7784,74.0,3.0,,,,,0.014937724558023774,0.8362055193904193,0.9548818876352267,8.0,1.0015284460498106,0.9175469818448486,0.15795159593627514,,
8,XGB,4,0.7414,499.0,9.0,,,,,0.02677342144087824,0.6097259194088174,0.9962928066797128,7.0,4.8359684657355375,1.2324234789258077,0.009347141405547849,,
9,XGB,5,0.7434,455.0,3.0,,,,,0.2748896407839245,0.7389164505964609,0.6226673732090818,6.0,0.17943515284203038,1.0076556623290007,1.2387030972363775,,
10,DT,1,0.6,,2.0,20.0,10.0,,,,,,,,,,entropy,best
11,DT,2,0.7125,,18.0,4.0,1.0,,,,,,,,,,entropy,best
12,DT,3,0.7186,,6.0,13.0,3.0,,,,,,,,,,entropy,random
13,DT,4,0.7011,,3.0,6.0,9.0,,,,,,,,,,gini,best
14,DT,5,0.7071,,7.0,15.0,9.0,,,,,,,,,,entropy,random
15,RF,MEAN,0.7425,,,,,,,,,,,,,,,
16,RF,STD,0.0311,,,,,,,,,,,,,,,
17,XGB,MEAN,0.7356,,,,,,,,,,,,,,,
18,XGB,STD,0.0368,,,,,,,,,,,,,,,
19,DT,MEAN,0.6879,,,,,,,,,,,,,,,
20,DT,STD,0.0443,,,,,,,,,,,,,,,
