,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,Precision_void,Recall_void,F1_void,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
10,DT,1,0.647,0.6255,0.5491,0.563,0.6358,0.647,0.6169,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 7, 'min_samples_leaf': 5, 'max_features': None, 'splitter': 'best'}",0.5981,0.3137,0.4116,0.6167,0.4512,0.5211,0.6618,0.8824,0.7563,,3.0,7.0,5.0,,,,,,,,,,entropy,best
11,DT,2,0.5286,0.346,0.5191,0.4151,0.3562,0.5286,0.4254,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 14, 'min_samples_leaf': 10, 'max_features': 'log2', 'splitter': 'best'}",0.473,0.7447,0.5785,0.0,0.0,0.0,0.5651,0.8128,0.6667,,3.0,14.0,10.0,log2,,,,,,,,,entropy,best
12,DT,3,0.524,0.5293,0.5209,0.4603,0.5342,0.524,0.4726,"{'criterion': 'entropy', 'max_depth': 8, 'min_samples_split': 11, 'min_samples_leaf': 9, 'max_features': 'log2', 'splitter': 'random'}",0.5689,0.5205,0.5436,0.5263,0.1195,0.1948,0.4928,0.9225,0.6424,,8.0,11.0,9.0,log2,,,,,,,,,entropy,random
13,DT,4,0.4346,0.3362,0.3353,0.3288,0.4222,0.4346,0.4242,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 12, 'min_samples_leaf': 4, 'max_features': None, 'splitter': 'best'}",0.2424,0.3128,0.2732,0.1803,0.0873,0.1176,0.5859,0.6057,0.5956,,3.0,12.0,4.0,,,,,,,,,,gini,best
14,DT,5,0.5858,0.5159,0.5116,0.5113,0.5707,0.5858,0.576,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 4, 'min_samples_leaf': 8, 'max_features': None, 'splitter': 'best'}",0.5904,0.673,0.629,0.2229,0.1659,0.1902,0.7342,0.6961,0.7147,,2.0,4.0,8.0,,,,,,,,,,gini,best
15,RF,MEAN,0.5219,0.506,0.4911,0.4574,0.541,0.5219,0.4945,N/A,0.4907,0.445,0.4403,0.4184,0.2666,0.2682,0.6089,0.7617,0.6638,,,,,,,,,,,,,,,
16,RF,STD,0.0947,0.0887,0.1022,0.0964,0.0924,0.0947,0.0946,N/A,0.2215,0.1412,0.137,0.0916,0.2469,0.1803,0.0761,0.1932,0.0865,,,,,,,,,,,,,,,
17,XGB,MEAN,0.5326,0.5187,0.5051,0.4903,0.5507,0.5326,0.5229,N/A,0.4707,0.4407,0.443,0.4706,0.3621,0.3776,0.6148,0.7127,0.6505,,,,,,,,,,,,,,,
18,XGB,STD,0.0705,0.083,0.086,0.0762,0.0665,0.0705,0.0633,N/A,0.1856,0.1324,0.1338,0.1445,0.1859,0.1141,0.0514,0.1671,0.0618,,,,,,,,,,,,,,,
19,DT,MEAN,0.544,0.4706,0.4872,0.4557,0.5038,0.544,0.503,N/A,0.4946,0.5129,0.4872,0.3092,0.1648,0.2047,0.608,0.7839,0.6751,,,,,,,,,,,,,,,
20,DT,STD,0.079,0.1256,0.0861,0.09,0.1132,0.079,0.0887,N/A,0.1496,0.1995,0.1442,0.2556,0.1712,0.1936,0.0928,0.1315,0.0625,,,,,,,,,,,,,,,
