,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,Precision_void,Recall_void,F1_void,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.6991,0.6506,0.621,0.6336,0.6924,0.6991,0.6944,"{'n_estimators': 384, 'max_depth': 6, 'min_samples_split': 20, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'bootstrap': False}",0.5455,0.5161,0.5304,0.6316,0.5217,0.5714,0.7746,0.825,0.799,384.0,6.0,20.0,10.0,sqrt,False,,,,,,,,,
1,RF,2,0.5556,0.527,0.5234,0.5227,0.5552,0.5556,0.5524,"{'n_estimators': 146, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 6, 'max_features': None, 'bootstrap': True}",0.582,0.4797,0.5259,0.3951,0.4051,0.4,0.604,0.6854,0.6421,146.0,6.0,7.0,6.0,,True,,,,,,,,,
2,RF,3,0.5218,0.4751,0.5135,0.4159,0.4801,0.5218,0.4288,"{'n_estimators': 422, 'max_depth': 5, 'min_samples_split': 19, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'bootstrap': True}",0.5291,0.5208,0.5249,0.375,0.0197,0.0375,0.5212,1.0,0.6852,422.0,5.0,19.0,9.0,sqrt,True,,,,,,,,,
3,RF,4,0.5206,0.4573,0.4432,0.4305,0.4915,0.5206,0.4937,"{'n_estimators': 363, 'max_depth': 3, 'min_samples_split': 12, 'min_samples_leaf': 2, 'max_features': 'log2', 'bootstrap': True}",0.5018,0.5673,0.5326,0.3056,0.0982,0.1486,0.5646,0.664,0.6103,363.0,3.0,12.0,2.0,log2,True,,,,,,,,,
4,RF,5,0.5773,0.5687,0.549,0.5483,0.5944,0.5773,0.576,"{'n_estimators': 331, 'max_depth': 8, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 'log2', 'bootstrap': True}",0.4917,0.6846,0.5723,0.5,0.3659,0.4225,0.7143,0.5966,0.6502,331.0,8.0,3.0,4.0,log2,True,,,,,,,,,
5,XGB,1,0.6903,0.6362,0.6144,0.6236,0.687,0.6903,0.6879,"{'n_estimators': 481, 'max_depth': 9, 'learning_rate': 0.023686293187169458, 'subsample': 0.7387403565626487, 'colsample_bytree': 0.8010124870699185, 'min_child_weight': 9, 'gamma': 3.271882613853765, 'reg_alpha': 1.2374360641884279, 'reg_lambda': 0.7440086525453037}",0.5579,0.5699,0.5638,0.5789,0.4783,0.5238,0.7718,0.795,0.7833,481.0,9.0,,,,,0.023686293187169458,0.7387403565626487,0.8010124870699185,9.0,3.271882613853765,1.2374360641884279,0.7440086525453037,,
6,XGB,2,0.5654,0.5298,0.5023,0.5032,0.5509,0.5654,0.5481,"{'n_estimators': 292, 'max_depth': 8, 'learning_rate': 0.025840003250229778, 'subsample': 0.6073248792362046, 'colsample_bytree': 0.9117694300678478, 'min_child_weight': 3, 'gamma': 4.570372796098489, 'reg_alpha': 1.2932148729787434, 'reg_lambda': 0.22422510058508327}",0.5672,0.5135,0.539,0.4318,0.2405,0.3089,0.5903,0.7528,0.6617,292.0,8.0,,,,,0.025840003250229778,0.6073248792362046,0.9117694300678478,3.0,4.570372796098489,1.2932148729787434,0.22422510058508327,,
7,XGB,3,0.5575,0.5361,0.5498,0.478,0.5389,0.5575,0.4884,"{'n_estimators': 404, 'max_depth': 9, 'learning_rate': 0.03620126962879194, 'subsample': 0.6028324560711855, 'colsample_bytree': 0.6077502042717191, 'min_child_weight': 2, 'gamma': 4.3683551783135925, 'reg_alpha': 1.1970991062664542, 'reg_lambda': 1.531685480026518}",0.5661,0.5573,0.5617,0.4828,0.0921,0.1547,0.5594,1.0,0.7175,404.0,9.0,,,,,0.03620126962879194,0.6028324560711855,0.6077502042717191,2.0,4.3683551783135925,1.1970991062664542,1.531685480026518,,
8,XGB,4,0.575,0.5488,0.5429,0.5443,0.5728,0.575,0.5721,"{'n_estimators': 473, 'max_depth': 9, 'learning_rate': 0.03234102924308585, 'subsample': 0.602822975090678, 'colsample_bytree': 0.9030268141115423, 'min_child_weight': 7, 'gamma': 3.8596200619003556, 'reg_alpha': 1.167235531675332, 'reg_lambda': 0.006977121465101266}",0.6081,0.551,0.5782,0.4412,0.4018,0.4206,0.5972,0.676,0.6341,473.0,9.0,,,,,0.03234102924308585,0.602822975090678,0.9030268141115423,7.0,3.8596200619003556,1.167235531675332,0.006977121465101266,,
9,XGB,5,0.5464,0.5516,0.558,0.5394,0.592,0.5464,0.5527,"{'n_estimators': 229, 'max_depth': 12, 'learning_rate': 0.08753881526267639, 'subsample': 0.7168891822456696, 'colsample_bytree': 0.8340074787260544, 'min_child_weight': 2, 'gamma': 1.3229454029232186, 'reg_alpha': 0.45888558601413454, 'reg_lambda': 0.9029953187459385}",0.5065,0.6,0.5493,0.4068,0.5854,0.48,0.7414,0.4886,0.589,229.0,12.0,,,,,0.08753881526267639,0.7168891822456696,0.8340074787260544,2.0,1.3229454029232186,0.45888558601413454,0.9029953187459385,,
10,DT,1,0.5457,0.3537,0.41,0.3717,0.5188,0.5457,0.5234,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 13, 'min_samples_leaf': 6, 'max_features': None, 'splitter': 'best'}",0.3397,0.5699,0.4257,0.0,0.0,0.0,0.7213,0.66,0.6893,,2.0,13.0,6.0,,,,,,,,,,entropy,best
11,DT,2,0.558,0.3746,0.4608,0.4114,0.4592,0.558,0.5016,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 13, 'min_samples_leaf': 5, 'max_features': None, 'splitter': 'best'}",0.4692,0.6689,0.5515,0.0,0.0,0.0,0.6546,0.7135,0.6828,,2.0,13.0,5.0,,,,,,,,,,gini,best
