,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,Precision_void,Recall_void,F1_void,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.5913,0.5909,0.5622,0.5575,0.5971,0.5913,0.5759,"{'n_estimators': 102, 'max_depth': 5, 'min_samples_split': 19, 'min_samples_leaf': 10, 'max_features': 'log2', 'bootstrap': True}",0.6389,0.4894,0.5542,0.5625,0.36,0.439,0.5714,0.8372,0.6792,102.0,5.0,19.0,10.0,log2,True,,,,,,,,,
1,RF,2,0.6271,0.6056,0.563,0.5695,0.6199,0.6271,0.6116,"{'n_estimators': 55, 'max_depth': 16, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'bootstrap': False}",0.5455,0.5455,0.5455,0.6,0.3333,0.4286,0.6714,0.8103,0.7344,55.0,16.0,8.0,8.0,sqrt,False,,,,,,,,,
2,RF,3,0.5,0.5163,0.4311,0.4336,0.5292,0.5,0.4837,"{'n_estimators': 331, 'max_depth': 8, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 'log2', 'bootstrap': True}",0.3043,0.3684,0.3333,0.6667,0.2222,0.3333,0.5778,0.7027,0.6341,331.0,8.0,3.0,4.0,log2,True,,,,,,,,,
3,RF,4,0.5467,0.5257,0.5533,0.5,0.5537,0.5467,0.5186,"{'n_estimators': 472, 'max_depth': 17, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_features': None, 'bootstrap': True}",0.6613,0.5775,0.6165,0.4444,0.1905,0.2667,0.4714,0.8919,0.6168,472.0,17.0,20.0,1.0,,True,,,,,,,,,
4,RF,5,0.5476,0.5345,0.5208,0.5172,0.6073,0.5476,0.5654,"{'n_estimators': 405, 'max_depth': 16, 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_features': None, 'bootstrap': True}",0.36,0.5294,0.4286,0.4138,0.4138,0.4138,0.8298,0.619,0.7091,405.0,16.0,10.0,10.0,,True,,,,,,,,,
5,XGB,1,0.5217,0.5103,0.5153,0.5011,0.5226,0.5217,0.5084,"{'n_estimators': 203, 'max_depth': 6, 'learning_rate': 0.05005636658616733, 'subsample': 0.8595849191581006, 'colsample_bytree': 0.8754006721464518, 'min_child_weight': 5, 'gamma': 2.0925356017185552, 'reg_alpha': 0.18888932984770254, 'reg_lambda': 1.2234389914537056}",0.5484,0.3617,0.4359,0.44,0.44,0.44,0.5424,0.7442,0.6275,203.0,6.0,,,,,0.05005636658616733,0.8595849191581006,0.8754006721464518,5.0,2.0925356017185552,0.18888932984770254,1.2234389914537056,,
6,XGB,2,0.6356,0.6084,0.5688,0.5739,0.6273,0.6356,0.6199,"{'n_estimators': 375, 'max_depth': 5, 'learning_rate': 0.02225271799252283, 'subsample': 0.790874030610963, 'colsample_bytree': 0.7745290516692026, 'min_child_weight': 1, 'gamma': 2.2401316546181698, 'reg_alpha': 1.1605239304440076, 'reg_lambda': 0.9927726442508527}",0.5294,0.5455,0.5373,0.6,0.3333,0.4286,0.6957,0.8276,0.7559,375.0,5.0,,,,,0.02225271799252283,0.790874030610963,0.7745290516692026,1.0,2.2401316546181698,1.1605239304440076,0.9927726442508527,,
7,XGB,3,0.473,0.4376,0.4141,0.4175,0.4667,0.473,0.4629,"{'n_estimators': 363, 'max_depth': 9, 'learning_rate': 0.08260003363683983, 'subsample': 0.6317480421952422, 'colsample_bytree': 0.7845142032979281, 'min_child_weight': 7, 'gamma': 3.028124872255257, 'reg_alpha': 1.1136525615972628, 'reg_lambda': 0.5926613669460602}",0.3,0.3158,0.3077,0.4545,0.2778,0.3448,0.5581,0.6486,0.6,363.0,9.0,,,,,0.08260003363683983,0.6317480421952422,0.7845142032979281,7.0,3.028124872255257,1.1136525615972628,0.5926613669460602,,
8,XGB,4,0.5467,0.5702,0.5587,0.4926,0.5977,0.5467,0.5137,"{'n_estimators': 412, 'max_depth': 6, 'learning_rate': 0.02421454560691446, 'subsample': 0.8776549499777916, 'colsample_bytree': 0.7519253678985536, 'min_child_weight': 1, 'gamma': 4.413156123134297, 'reg_alpha': 1.2586723866043243, 'reg_lambda': 1.1251069263526976}",0.6897,0.5634,0.6202,0.5833,0.1667,0.2593,0.4375,0.9459,0.5983,412.0,6.0,,,,,0.02421454560691446,0.8776549499777916,0.7519253678985536,1.0,4.413156123134297,1.2586723866043243,1.1251069263526976,,
9,XGB,5,0.5556,0.5463,0.5447,0.5341,0.6149,0.5556,0.5718,"{'n_estimators': 458, 'max_depth': 8, 'learning_rate': 0.010852629417348814, 'subsample': 0.9801775883943734, 'colsample_bytree': 0.935357770877663, 'min_child_weight': 8, 'gamma': 1.4533616098967208, 'reg_alpha': 1.0911807106208806, 'reg_lambda': 1.8454953373074656}",0.4,0.5294,0.4557,0.4167,0.5172,0.4615,0.8222,0.5873,0.6852,458.0,8.0,,,,,0.010852629417348814,0.9801775883943734,0.935357770877663,8.0,1.4533616098967208,1.0911807106208806,1.8454953373074656,,
10,DT,1,0.4522,0.4037,0.4103,0.4051,0.4393,0.4522,0.444,"{'criterion': 'entropy', 'max_depth': 9, 'min_samples_split': 10, 'min_samples_leaf': 8, 'max_features': 'log2', 'splitter': 'random'}",0.5111,0.4894,0.5,0.2,0.16,0.1778,0.5,0.5814,0.5376,,9.0,10.0,8.0,log2,,,,,,,,,entropy,random
11,DT,2,0.6017,0.5814,0.5788,0.5795,0.6043,0.6017,0.6025,"{'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 'log2', 'splitter': 'best'}",0.5,0.5455,0.5217,0.56,0.5185,0.5385,0.6842,0.6724,0.6783,,13.0,2.0,5.0,log2,,,,,,,,,gini,best
12,DT,3,0.4865,0.6349,0.4106,0.3742,0.6226,0.4865,0.4449,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'splitter': 'best'}",0.3,0.4737,0.3673,1.0,0.0556,0.1053,0.6047,0.7027,0.65,,3.0,5.0,1.0,sqrt,,,,,,,,,gini,best
13,DT,4,0.46,0.4481,0.4771,0.4165,0.4802,0.46,0.432,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_split': 9, 'min_samples_leaf': 9, 'max_features': 'log2', 'splitter': 'random'}",0.6038,0.4507,0.5161,0.3529,0.1429,0.2034,0.3875,0.8378,0.5299,,6.0,9.0,9.0,log2,,,,,,,,,gini,random
14,DT,5,0.5317,0.5272,0.5479,0.5183,0.5807,0.5317,0.5369,"{'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 12, 'min_samples_leaf': 9, 'max_features': None, 'splitter': 'random'}",0.4,0.4118,0.4058,0.4375,0.7241,0.5455,0.7442,0.5079,0.6038,,13.0,12.0,9.0,,,,,,,,,,gini,random
15,RF,MEAN,0.5625,0.5546,0.5261,0.5156,0.5814,0.5625,0.551,N/A,0.502,0.502,0.4956,0.5375,0.304,0.3763,0.6244,0.7722,0.6747,,,,,,,,,,,,,,,
16,RF,STD,0.0484,0.0407,0.0558,0.0539,0.0384,0.0484,0.0502,N/A,0.1622,0.0812,0.1133,0.1063,0.0944,0.0741,0.1349,0.1099,0.0494,,,,,,,,,,,,,,,
17,XGB,MEAN,0.5465,0.5346,0.5203,0.5038,0.5658,0.5465,0.5353,N/A,0.4935,0.4632,0.4714,0.4989,0.347,0.3868,0.6112,0.7507,0.6534,,,,,,,,,,,,,,,
18,XGB,STD,0.0592,0.0649,0.0627,0.0579,0.0687,0.0592,0.0611,N/A,0.1491,0.1154,0.117,0.0859,0.137,0.0839,0.1495,0.1425,0.0672,,,,,,,,,,,,,,,
19,DT,MEAN,0.5064,0.5191,0.4849,0.4587,0.5454,0.5064,0.4921,N/A,0.463,0.4742,0.4622,0.5101,0.3202,0.3141,0.5841,0.6604,0.5999,,,,,,,,,,,,,,,
20,DT,STD,0.0617,0.0945,0.0774,0.0865,0.0809,0.0617,0.0747,N/A,0.1162,0.0494,0.0708,0.3036,0.287,0.2111,0.143,0.1254,0.0661,,,,,,,,,,,,,,,
