,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,Precision_void,Recall_void,F1_void,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
10,DT,1,0.5707,0.3392,0.4082,0.3612,0.434,0.5707,0.4842,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 20, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'splitter': 'best'}",0.4054,0.3061,0.3488,0.0,0.0,0.0,0.6122,0.9184,0.7347,,2.0,20.0,4.0,sqrt,,,,,,,,,entropy,best
11,DT,2,0.4474,0.2944,0.4724,0.3608,0.2736,0.4474,0.3378,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 19, 'min_samples_leaf': 9, 'max_features': 'log2', 'splitter': 'random'}",0.4203,0.5686,0.4833,0.0,0.0,0.0,0.4628,0.8485,0.5989,,2.0,19.0,9.0,log2,,,,,,,,,gini,random
12,DT,3,0.4679,0.3121,0.4384,0.3646,0.3333,0.4679,0.3892,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 10, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'splitter': 'random'}",0.4364,0.6316,0.5161,0.0,0.0,0.0,0.5,0.6835,0.5775,,1.0,10.0,8.0,sqrt,,,,,,,,,gini,random
13,DT,4,0.4833,0.374,0.422,0.3831,0.4505,0.4833,0.4564,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_features': 'log2', 'splitter': 'best'}",0.2258,0.1094,0.1474,0.2826,0.4643,0.3514,0.6136,0.6923,0.6506,,5.0,10.0,3.0,log2,,,,,,,,,gini,best
14,DT,5,0.4265,0.4404,0.4426,0.3906,0.5174,0.4265,0.4082,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 11, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'splitter': 'random'}",0.6271,0.2139,0.319,0.1565,0.3051,0.2069,0.5376,0.8087,0.6458,,3.0,11.0,4.0,sqrt,,,,,,,,,gini,random
15,RF,MEAN,0.5403,0.5228,0.5107,0.4822,0.5599,0.5403,0.5127,N/A,0.5237,0.4815,0.4748,0.4431,0.2594,0.294,0.6015,0.7911,0.6777,,,,,,,,,,,,,,,
16,RF,STD,0.0658,0.0717,0.046,0.0617,0.0986,0.0658,0.0897,N/A,0.2297,0.0983,0.0655,0.1415,0.1464,0.1439,0.0541,0.1284,0.0561,,,,,,,,,,,,,,,
17,XGB,MEAN,0.535,0.5344,0.5252,0.4965,0.5629,0.535,0.5139,N/A,0.4992,0.4578,0.4498,0.4986,0.3675,0.3725,0.6056,0.75,0.667,,,,,,,,,,,,,,,
18,XGB,STD,0.0428,0.0658,0.0461,0.0585,0.0972,0.0428,0.0783,N/A,0.226,0.1038,0.0582,0.163,0.2237,0.1795,0.0408,0.0791,0.028,,,,,,,,,,,,,,,
19,DT,MEAN,0.4792,0.352,0.4367,0.3721,0.4018,0.4792,0.4152,N/A,0.423,0.3659,0.3629,0.0878,0.1539,0.1117,0.5452,0.7903,0.6415,,,,,,,,,,,,,,,
20,DT,STD,0.0555,0.0578,0.0242,0.0138,0.0973,0.0555,0.0574,N/A,0.1423,0.2259,0.1471,0.1283,0.2181,0.1612,0.0672,0.1014,0.0606,,,,,,,,,,,,,,,
