,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,Precision_void,Recall_void,F1_void,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.6281,0.5983,0.5964,0.5972,0.6267,0.6281,0.6273,"{'n_estimators': 449, 'max_depth': 11, 'min_samples_split': 6, 'min_samples_leaf': 10, 'max_features': 'log2', 'bootstrap': True}",0.6029,0.6212,0.6119,0.4429,0.4218,0.4321,0.7491,0.7463,0.7477,449.0,11.0,6.0,10.0,log2,True,,,,,,,,,
1,RF,2,0.6042,0.6017,0.5629,0.5201,0.6129,0.6042,0.555,"{'n_estimators': 348, 'max_depth': 8, 'min_samples_split': 11, 'min_samples_leaf': 6, 'max_features': 'log2', 'bootstrap': True}",0.7526,0.715,0.7333,0.5357,0.1079,0.1796,0.5167,0.8659,0.6472,348.0,8.0,11.0,6.0,log2,True,,,,,,,,,
2,RF,3,0.5385,0.47,0.4695,0.4625,0.5101,0.5385,0.5177,"{'n_estimators': 157, 'max_depth': 5, 'min_samples_split': 18, 'min_samples_leaf': 6, 'max_features': None, 'bootstrap': True}",0.5028,0.4569,0.4787,0.2899,0.1818,0.2235,0.6174,0.7699,0.6853,157.0,5.0,18.0,6.0,,True,,,,,,,,,
3,RF,4,0.4051,0.3686,0.3457,0.346,0.3963,0.4051,0.3935,"{'n_estimators': 217, 'max_depth': 4, 'min_samples_split': 17, 'min_samples_leaf': 5, 'max_features': 'log2', 'bootstrap': False}",0.2686,0.3081,0.287,0.3158,0.1475,0.2011,0.5213,0.5816,0.5498,217.0,4.0,17.0,5.0,log2,False,,,,,,,,,
4,RF,5,0.6798,0.7129,0.6058,0.6236,0.6938,0.6798,0.66,"{'n_estimators': 377, 'max_depth': 6, 'min_samples_split': 4, 'min_samples_leaf': 10, 'max_features': 'log2', 'bootstrap': True}",0.6515,0.5375,0.589,0.814,0.3684,0.5072,0.6732,0.9115,0.7744,377.0,6.0,4.0,10.0,log2,True,,,,,,,,,
5,XGB,1,0.634,0.614,0.615,0.6143,0.6371,0.634,0.6353,"{'n_estimators': 403, 'max_depth': 3, 'learning_rate': 0.05237572043597848, 'subsample': 0.732105622087776, 'colsample_bytree': 0.689263016993851, 'min_child_weight': 1, 'gamma': 4.4369908604358095, 'reg_alpha': 1.6518056878940546, 'reg_lambda': 1.6631487480025022}",0.6231,0.6326,0.6278,0.487,0.5102,0.4983,0.7318,0.7022,0.7167,403.0,3.0,,,,,0.05237572043597848,0.732105622087776,0.689263016993851,1.0,4.4369908604358095,1.6518056878940546,1.6631487480025022,,
6,XGB,2,0.6004,0.592,0.5706,0.5568,0.6037,0.6004,0.5803,"{'n_estimators': 192, 'max_depth': 5, 'learning_rate': 0.09468763086391122, 'subsample': 0.9385448512112797, 'colsample_bytree': 0.8437876276776834, 'min_child_weight': 9, 'gamma': 3.9184677863792885, 'reg_alpha': 1.5203222083579795, 'reg_lambda': 1.4336788714018627}",0.7326,0.685,0.708,0.5152,0.2446,0.3317,0.5283,0.7821,0.6306,192.0,5.0,,,,,0.09468763086391122,0.9385448512112797,0.8437876276776834,9.0,3.9184677863792885,1.5203222083579795,1.4336788714018627,,
7,XGB,3,0.5952,0.5809,0.5309,0.533,0.5865,0.5952,0.573,"{'n_estimators': 98, 'max_depth': 9, 'learning_rate': 0.06508919316196791, 'subsample': 0.6264905670847752, 'colsample_bytree': 0.8747422165743509, 'min_child_weight': 1, 'gamma': 4.995046299254978, 'reg_alpha': 1.9561848684275331, 'reg_lambda': 1.1590054347994299}",0.5549,0.4873,0.5189,0.566,0.2727,0.3681,0.6219,0.8326,0.712,98.0,9.0,,,,,0.06508919316196791,0.6264905670847752,0.8747422165743509,1.0,4.995046299254978,1.9561848684275331,1.1590054347994299,,
8,XGB,4,0.386,0.3499,0.3521,0.3509,0.3872,0.386,0.3865,"{'n_estimators': 441, 'max_depth': 8, 'learning_rate': 0.01421390724130236, 'subsample': 0.8139898563851254, 'colsample_bytree': 0.6226517360583484, 'min_child_weight': 2, 'gamma': 4.607192914768046, 'reg_alpha': 1.9941449218437786, 'reg_lambda': 1.839206620815206}",0.2759,0.2654,0.2705,0.25,0.2705,0.2598,0.524,0.5204,0.5222,441.0,8.0,,,,,0.01421390724130236,0.8139898563851254,0.6226517360583484,2.0,4.607192914768046,1.9941449218437786,1.839206620815206,,
9,XGB,5,0.6279,0.6001,0.5734,0.5804,0.6176,0.6279,0.6167,"{'n_estimators': 305, 'max_depth': 6, 'learning_rate': 0.011846171693001608, 'subsample': 0.7422523852977112, 'colsample_bytree': 0.6709990438272081, 'min_child_weight': 10, 'gamma': 2.870990087646084, 'reg_alpha': 1.620915278281347, 'reg_lambda': 0.9400171627018556}",0.5882,0.5,0.5405,0.5417,0.4105,0.4671,0.6703,0.8097,0.7335,305.0,6.0,,,,,0.011846171693001608,0.7422523852977112,0.6709990438272081,10.0,2.870990087646084,1.620915278281347,0.9400171627018556,,
