,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,Precision_void,Recall_void,F1_void,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.5727,0.5233,0.523,0.5227,0.5686,0.5727,0.5702,"{'n_estimators': 111, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_features': 'log2', 'bootstrap': True}",0.59,0.6323,0.6104,0.3048,0.2783,0.2909,0.6752,0.6583,0.6667,111.0,6.0,7.0,4.0,log2,True,,,,,,,,,
1,RF,2,0.5878,0.5118,0.5162,0.4926,0.5509,0.5878,0.5537,"{'n_estimators': 385, 'max_depth': 6, 'min_samples_split': 14, 'min_samples_leaf': 4, 'max_features': 'log2', 'bootstrap': True}",0.5417,0.7054,0.6128,0.3214,0.1098,0.1636,0.6722,0.7333,0.7014,385.0,6.0,14.0,4.0,log2,True,,,,,,,,,
2,RF,3,0.465,0.4474,0.4325,0.4317,0.456,0.465,0.4541,"{'n_estimators': 138, 'max_depth': 14, 'min_samples_split': 17, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'bootstrap': True}",0.4431,0.4568,0.4498,0.3966,0.2371,0.2968,0.5025,0.6036,0.5484,138.0,14.0,17.0,5.0,sqrt,True,,,,,,,,,
3,RF,4,0.5706,0.5815,0.5011,0.4699,0.5831,0.5706,0.524,"{'n_estimators': 310, 'max_depth': 4, 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_features': 'log2', 'bootstrap': False}",0.6257,0.5234,0.57,0.5789,0.1,0.1705,0.5399,0.88,0.6692,310.0,4.0,10.0,10.0,log2,False,,,,,,,,,
4,RF,5,0.5534,0.6238,0.5195,0.4751,0.617,0.5534,0.4972,"{'n_estimators': 471, 'max_depth': 12, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'log2', 'bootstrap': True}",0.4286,0.5091,0.4654,0.8261,0.1275,0.2209,0.6167,0.9219,0.739,471.0,12.0,4.0,4.0,log2,True,,,,,,,,,
5,XGB,1,0.5744,0.5369,0.5347,0.5334,0.5793,0.5744,0.574,"{'n_estimators': 476, 'max_depth': 9, 'learning_rate': 0.029323105618991638, 'subsample': 0.6071847502459278, 'colsample_bytree': 0.9924283304357214, 'min_child_weight': 7, 'gamma': 4.865188803848123, 'reg_alpha': 1.2481670543447305, 'reg_lambda': 0.07959921215402954}",0.593,0.6861,0.6362,0.3333,0.3304,0.3319,0.6845,0.5875,0.6323,476.0,9.0,,,,,0.029323105618991638,0.6071847502459278,0.9924283304357214,7.0,4.865188803848123,1.2481670543447305,0.07959921215402954,,
6,XGB,2,0.5824,0.5185,0.5192,0.5053,0.5522,0.5824,0.5574,"{'n_estimators': 460, 'max_depth': 5, 'learning_rate': 0.021221481227704064, 'subsample': 0.866060239952989, 'colsample_bytree': 0.9531989055917266, 'min_child_weight': 9, 'gamma': 4.984671570683961, 'reg_alpha': 0.3659828678954391, 'reg_lambda': 0.6462529697042249}",0.5742,0.6899,0.6268,0.3421,0.1585,0.2167,0.6393,0.7091,0.6724,460.0,5.0,,,,,0.021221481227704064,0.866060239952989,0.9531989055917266,9.0,4.984671570683961,0.3659828678954391,0.6462529697042249,,
7,XGB,3,0.4463,0.434,0.4108,0.4084,0.4393,0.4463,0.4323,"{'n_estimators': 55, 'max_depth': 9, 'learning_rate': 0.12799795956053983, 'subsample': 0.9999009990905835, 'colsample_bytree': 0.7347893550916099, 'min_child_weight': 2, 'gamma': 4.806293973214205, 'reg_alpha': 1.6909668135824454, 'reg_lambda': 1.513155968480305}",0.4148,0.4506,0.432,0.4043,0.1959,0.2639,0.4829,0.5858,0.5294,55.0,9.0,,,,,0.12799795956053983,0.9999009990905835,0.7347893550916099,2.0,4.806293973214205,1.6909668135824454,1.513155968480305,,
8,XGB,4,0.5935,0.5853,0.5388,0.5268,0.5934,0.5935,0.565,"{'n_estimators': 478, 'max_depth': 12, 'learning_rate': 0.011893091238508595, 'subsample': 0.7852992127584855, 'colsample_bytree': 0.9479822879217916, 'min_child_weight': 5, 'gamma': 4.468204482267119, 'reg_alpha': 1.5530971803006566, 'reg_lambda': 0.4201706316624406}",0.6328,0.5234,0.5729,0.5455,0.2182,0.3117,0.5776,0.875,0.6958,478.0,12.0,,,,,0.011893091238508595,0.7852992127584855,0.9479822879217916,5.0,4.468204482267119,1.5530971803006566,0.4201706316624406,,
9,XGB,5,0.5553,0.5805,0.5218,0.4782,0.5801,0.5553,0.5009,"{'n_estimators': 210, 'max_depth': 5, 'learning_rate': 0.06333268775321842, 'subsample': 0.6563696899899051, 'colsample_bytree': 0.9208787923016158, 'min_child_weight': 1, 'gamma': 4.9344346830025865, 'reg_alpha': 1.5444895385933148, 'reg_lambda': 0.3974313630683448}",0.4322,0.5212,0.4725,0.6786,0.1275,0.2147,0.6308,0.9167,0.7473,210.0,5.0,,,,,0.06333268775321842,0.6563696899899051,0.9208787923016158,1.0,4.9344346830025865,1.5444895385933148,0.3974313630683448,,
