,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,Precision_void,Recall_void,F1_void,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.5986,0.6499,0.5387,0.4724,0.6913,0.5986,0.5363,"{'n_estimators': 174, 'max_depth': 5, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'log2', 'bootstrap': True}",0.3606,0.6299,0.4586,0.8571,0.0818,0.1494,0.7318,0.9045,0.809,174.0,5.0,4.0,2.0,log2,True,,,,,,,,,
1,RF,2,0.4388,0.4087,0.4121,0.3692,0.422,0.4388,0.3945,"{'n_estimators': 127, 'max_depth': 4, 'min_samples_split': 16, 'min_samples_leaf': 6, 'max_features': 'log2', 'bootstrap': True}",0.3695,0.5861,0.4532,0.3333,0.0578,0.0985,0.5232,0.5926,0.5557,127.0,4.0,16.0,6.0,log2,True,,,,,,,,,
2,RF,3,0.5325,0.5106,0.5279,0.4624,0.612,0.5325,0.5132,"{'n_estimators': 187, 'max_depth': 4, 'min_samples_split': 15, 'min_samples_leaf': 5, 'max_features': 'log2', 'bootstrap': True}",0.8283,0.4537,0.5862,0.2642,0.155,0.1953,0.4393,0.975,0.6057,187.0,4.0,15.0,5.0,log2,True,,,,,,,,,
3,RF,4,0.5276,0.5221,0.4764,0.4718,0.5685,0.5276,0.5273,"{'n_estimators': 473, 'max_depth': 7, 'min_samples_split': 18, 'min_samples_leaf': 7, 'max_features': 'log2', 'bootstrap': False}",0.3884,0.6398,0.4834,0.4789,0.2297,0.3105,0.6992,0.5597,0.6217,473.0,7.0,18.0,7.0,log2,False,,,,,,,,,
4,RF,5,0.6043,0.6416,0.5215,0.4919,0.6255,0.6043,0.5553,"{'n_estimators': 248, 'max_depth': 5, 'min_samples_split': 19, 'min_samples_leaf': 6, 'max_features': 'log2', 'bootstrap': False}",0.5639,0.6253,0.593,0.7308,0.0892,0.159,0.6302,0.8499,0.7237,248.0,5.0,19.0,6.0,log2,False,,,,,,,,,
5,XGB,1,0.5877,0.5993,0.5526,0.5071,0.6489,0.5877,0.5604,"{'n_estimators': 133, 'max_depth': 3, 'learning_rate': 0.06113731055158916, 'subsample': 0.8770452850049631, 'colsample_bytree': 0.8825539813538574, 'min_child_weight': 2, 'gamma': 4.525809323564775, 'reg_alpha': 1.6647988845035437, 'reg_lambda': 1.1674546545138258}",0.3584,0.6818,0.4698,0.6909,0.1727,0.2764,0.7487,0.8034,0.7751,133.0,3.0,,,,,0.06113731055158916,0.8770452850049631,0.8825539813538574,2.0,4.525809323564775,1.6647988845035437,1.1674546545138258,,
6,XGB,2,0.4451,0.4503,0.4211,0.4127,0.4553,0.4451,0.43,"{'n_estimators': 437, 'max_depth': 10, 'learning_rate': 0.01697448911598911, 'subsample': 0.661391121064335, 'colsample_bytree': 0.9848355620628402, 'min_child_weight': 8, 'gamma': 4.572269886602276, 'reg_alpha': 1.051838561977462, 'reg_lambda': 0.3423968392991469}",0.3526,0.4508,0.3957,0.4894,0.2044,0.2884,0.509,0.608,0.5541,437.0,10.0,,,,,0.01697448911598911,0.661391121064335,0.9848355620628402,8.0,4.572269886602276,1.051838561977462,0.3423968392991469,,
7,XGB,3,0.565,0.5422,0.5689,0.5216,0.6329,0.565,0.5605,"{'n_estimators': 274, 'max_depth': 5, 'learning_rate': 0.047246527645281484, 'subsample': 0.6014398847131033, 'colsample_bytree': 0.9880271934157469, 'min_child_weight': 1, 'gamma': 4.068409044678129, 'reg_alpha': 1.9880162837166937, 'reg_lambda': 0.0772795773279018}",0.8209,0.4882,0.6123,0.2989,0.2989,0.2989,0.5069,0.9194,0.6535,274.0,5.0,,,,,0.047246527645281484,0.6014398847131033,0.9880271934157469,1.0,4.068409044678129,1.9880162837166937,0.0772795773279018,,
8,XGB,4,0.5195,0.4865,0.4889,0.4807,0.5501,0.5195,0.5266,"{'n_estimators': 401, 'max_depth': 7, 'learning_rate': 0.018207090469720015, 'subsample': 0.8659515464845774, 'colsample_bytree': 0.7578493757750058, 'min_child_weight': 5, 'gamma': 4.101887310454726, 'reg_alpha': 0.80967725901645, 'reg_lambda': 0.026358428761846797}",0.4139,0.5709,0.4799,0.3562,0.3514,0.3537,0.6896,0.5445,0.6085,401.0,7.0,,,,,0.018207090469720015,0.8659515464845774,0.7578493757750058,5.0,4.101887310454726,0.80967725901645,0.026358428761846797,,
9,XGB,5,0.5896,0.5402,0.5353,0.5318,0.571,0.5896,0.5755,"{'n_estimators': 171, 'max_depth': 3, 'learning_rate': 0.044769565092851744, 'subsample': 0.802565611873692, 'colsample_bytree': 0.7193483013121793, 'min_child_weight': 2, 'gamma': 4.126632401033405, 'reg_alpha': 1.8456397480143079, 'reg_lambda': 0.8971266923828375}",0.6,0.5848,0.5923,0.3776,0.2535,0.3034,0.643,0.7676,0.6998,171.0,3.0,,,,,0.044769565092851744,0.802565611873692,0.7193483013121793,2.0,4.126632401033405,1.8456397480143079,0.8971266923828375,,
10,DT,1,0.5616,0.3447,0.492,0.4017,0.4197,0.5616,0.4776,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 4, 'min_samples_leaf': 8, 'max_features': None, 'splitter': 'random'}",0.3056,0.5714,0.3982,0.0,0.0,0.0,0.7285,0.9045,0.807,,2.0,4.0,8.0,,,,,,,,,,entropy,random
11,DT,2,0.4477,0.2973,0.4135,0.3447,0.3273,0.4477,0.3769,"{'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 19, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'splitter': 'best'}",0.3686,0.5861,0.4525,0.0,0.0,0.0,0.5235,0.6543,0.5816,,1.0,19.0,3.0,sqrt,,,,,,,,,entropy,best
12,DT,3,0.4889,0.4565,0.4857,0.4096,0.5615,0.4889,0.4608,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 10, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'splitter': 'best'}",0.7796,0.4011,0.5297,0.1773,0.0923,0.1214,0.4126,0.9639,0.5779,,3.0,10.0,8.0,sqrt,,,,,,,,,gini,best
13,DT,4,0.5115,0.3451,0.4143,0.367,0.4639,0.5115,0.4759,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 16, 'min_samples_leaf': 6, 'max_features': 'log2', 'splitter': 'best'}",0.3687,0.6398,0.4678,0.0,0.0,0.0,0.6667,0.603,0.6333,,3.0,16.0,6.0,log2,,,,,,,,,entropy,best
14,DT,5,0.5132,0.3517,0.4331,0.3836,0.4188,0.5132,0.4558,"{'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 19, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'splitter': 'best'}",0.4541,0.7013,0.5512,0.0,0.0,0.0,0.601,0.5981,0.5995,,1.0,19.0,3.0,sqrt,,,,,,,,,entropy,best
15,RF,MEAN,0.5404,0.5466,0.4953,0.4535,0.5839,0.5404,0.5053,N/A,0.5021,0.587,0.5149,0.5329,0.1227,0.1825,0.6047,0.7763,0.6632,,,,,,,,,,,,,,,
16,RF,STD,0.0671,0.1008,0.0522,0.0484,0.1006,0.0671,0.0638,N/A,0.2005,0.0772,0.0692,0.2546,0.0698,0.0795,0.1222,0.1884,0.1019,,,,,,,,,,,,,,,
17,XGB,MEAN,0.5414,0.5237,0.5134,0.4908,0.5716,0.5414,0.5306,N/A,0.5092,0.5553,0.51,0.4426,0.2562,0.3042,0.6194,0.7286,0.6582,,,,,,,,,,,,,,,
18,XGB,STD,0.0608,0.0572,0.0596,0.0477,0.077,0.0608,0.059,N/A,0.2011,0.0902,0.0906,0.1551,0.0717,0.0296,0.1085,0.1516,0.0847,,,,,,,,,,,,,,,
19,DT,MEAN,0.5046,0.3591,0.4477,0.3813,0.4382,0.5046,0.4494,N/A,0.4553,0.5799,0.4799,0.0355,0.0185,0.0243,0.5865,0.7448,0.6399,,,,,,,,,,,,,,,
20,DT,STD,0.0414,0.0587,0.0384,0.0263,0.085,0.0414,0.0416,N/A,0.1888,0.1123,0.0615,0.0793,0.0413,0.0543,0.1235,0.1756,0.096,,,,,,,,,,,,,,,
