,Model,Fold,CM_non_void_pred_non_void,CM_non_void_pred_void,CM_void_pred_non_void,CM_void_pred_void,TP,TN,FP,FN,Sensitivity,Specificity,PPV,NPV
0,RF,1,48,28,11,42,42,48,28,11,0.7924528301886793,0.631578947368421,0.6,0.8135593220338984
1,RF,2,55,6,24,29,29,55,6,24,0.5471698113207547,0.9016393442622951,0.8285714285714286,0.6962025316455697
2,RF,3,47,14,26,22,22,47,14,26,0.4583333333333333,0.7704918032786885,0.6111111111111112,0.6438356164383562
3,RF,4,67,18,13,27,27,67,18,13,0.675,0.788235294117647,0.6,0.8375
4,RF,5,35,28,6,37,37,35,28,6,0.8604651162790697,0.5555555555555556,0.5692307692307692,0.8536585365853658
5,XGB,1,54,22,14,39,39,54,22,14,0.7358490566037735,0.7105263157894737,0.639344262295082,0.7941176470588235
6,XGB,2,55,6,30,23,23,55,6,30,0.4339622641509434,0.9016393442622951,0.7931034482758621,0.6470588235294118
7,XGB,3,48,13,32,16,16,48,13,32,0.3333333333333333,0.7868852459016393,0.5517241379310345,0.6
8,XGB,4,71,14,17,23,23,71,14,17,0.575,0.8352941176470589,0.6216216216216216,0.8068181818181818
9,XGB,5,36,27,8,35,35,36,27,8,0.813953488372093,0.5714285714285714,0.5645161290322581,0.8181818181818182
10,DT,1,34,42,9,44,44,34,42,9,0.8301886792452831,0.4473684210526316,0.5116279069767442,0.7906976744186046
11,DT,2,46,15,25,28,28,46,15,25,0.5283018867924528,0.7540983606557377,0.6511627906976745,0.647887323943662
12,DT,3,37,24,21,27,27,37,24,21,0.5625,0.6065573770491803,0.5294117647058824,0.6379310344827587
13,DT,4,77,8,22,18,18,77,8,22,0.45,0.9058823529411765,0.6923076923076923,0.7777777777777778
14,DT,5,33,30,3,40,40,33,30,3,0.9302325581395349,0.5238095238095238,0.5714285714285714,0.9166666666666666
