,Model,Fold,CM_non_void_pred_non_void,CM_non_void_pred_void,CM_void_pred_non_void,CM_void_pred_void,TP,TN,FP,FN,Sensitivity,Specificity,PPV,NPV
0,RF,1,44,15,42,39,39,44,15,42,0.48148148148148145,0.7457627118644068,0.7222222222222222,0.5116279069767442
1,RF,2,80,29,31,55,55,80,29,31,0.6395348837209303,0.7339449541284404,0.6547619047619048,0.7207207207207207
2,RF,3,151,56,34,87,87,151,56,34,0.71900826446281,0.7294685990338164,0.6083916083916084,0.8162162162162162
3,RF,4,151,42,25,71,71,151,42,25,0.7395833333333334,0.7823834196891192,0.6283185840707964,0.8579545454545454
4,RF,5,98,46,20,72,72,98,46,20,0.782608695652174,0.6805555555555556,0.6101694915254238,0.8305084745762712
5,XGB,1,45,14,48,33,33,45,14,48,0.4074074074074074,0.7627118644067796,0.7021276595744681,0.4838709677419355
6,XGB,2,83,26,34,52,52,83,26,34,0.6046511627906976,0.7614678899082569,0.6666666666666666,0.7094017094017094
7,XGB,3,166,41,63,58,58,166,41,63,0.4793388429752066,0.8019323671497585,0.5858585858585859,0.7248908296943232
8,XGB,4,151,42,24,72,72,151,42,24,0.75,0.7823834196891192,0.631578947368421,0.8628571428571429
9,XGB,5,101,43,20,72,72,101,43,20,0.782608695652174,0.7013888888888888,0.6260869565217392,0.8347107438016529
10,DT,1,37,22,34,47,47,37,22,34,0.5802469135802469,0.6271186440677966,0.6811594202898551,0.5211267605633803
11,DT,2,48,61,11,75,75,48,61,11,0.872093023255814,0.44036697247706424,0.5514705882352942,0.8135593220338984
12,DT,3,188,19,98,23,23,188,19,98,0.19008264462809918,0.9082125603864735,0.5476190476190477,0.6573426573426573
13,DT,4,120,73,11,85,85,120,73,11,0.8854166666666666,0.6217616580310881,0.5379746835443038,0.916030534351145
14,DT,5,79,65,3,89,89,79,65,3,0.967391304347826,0.5486111111111112,0.577922077922078,0.9634146341463414
