,Model,Fold,CM_non_void_pred_non_void,CM_non_void_pred_void,CM_void_pred_non_void,CM_void_pred_void,TP,TN,FP,FN,Sensitivity,Specificity,PPV,NPV
0,RF,1,259,89,30,171,171,259,89,30,0.8507462686567164,0.7442528735632183,0.6576923076923077,0.8961937716262975
1,RF,2,220,117,27,138,138,220,117,27,0.8363636363636363,0.6528189910979229,0.5411764705882353,0.8906882591093117
2,RF,3,147,18,121,61,61,147,18,121,0.33516483516483514,0.8909090909090909,0.7721518987341772,0.5485074626865671
3,RF,4,243,94,74,141,141,243,94,74,0.6558139534883721,0.7210682492581603,0.6,0.7665615141955836
4,RF,5,151,68,60,128,128,151,68,60,0.6808510638297872,0.6894977168949772,0.6530612244897959,0.7156398104265402
5,XGB,1,300,48,83,118,118,300,48,83,0.5870646766169154,0.8620689655172413,0.7108433734939759,0.783289817232376
6,XGB,2,233,104,29,136,136,233,104,29,0.8242424242424242,0.6913946587537092,0.5666666666666667,0.8893129770992366
7,XGB,3,142,23,121,61,61,142,23,121,0.33516483516483514,0.8606060606060606,0.7261904761904762,0.5399239543726235
8,XGB,4,253,84,98,117,117,253,84,98,0.5441860465116279,0.7507418397626113,0.582089552238806,0.7207977207977208
9,XGB,5,151,68,66,122,122,151,68,66,0.648936170212766,0.6894977168949772,0.6421052631578947,0.695852534562212
10,DT,1,241,107,27,174,174,241,107,27,0.8656716417910447,0.6925287356321839,0.6192170818505338,0.8992537313432836
11,DT,2,221,116,32,133,133,221,116,32,0.806060606060606,0.655786350148368,0.5341365461847389,0.8735177865612648
12,DT,3,100,65,71,111,111,100,65,71,0.6098901098901099,0.6060606060606061,0.6306818181818182,0.5847953216374269
13,DT,4,223,114,55,160,160,223,114,55,0.7441860465116279,0.6617210682492581,0.583941605839416,0.802158273381295
14,DT,5,109,110,33,155,155,109,110,33,0.824468085106383,0.4977168949771689,0.5849056603773585,0.7676056338028169
