,Model,Fold,CM_non_void_pred_non_void,CM_non_void_pred_void,CM_void_pred_non_void,CM_void_pred_void,TP,TN,FP,FN,Sensitivity,Specificity,PPV,NPV
0,RF,1,75,35,25,52,52,75,35,25,0.6753246753246753,0.6818181818181818,0.5977011494252874,0.75
1,RF,2,141,36,35,69,69,141,36,35,0.6634615384615384,0.7966101694915254,0.6571428571428571,0.8011363636363636
2,RF,3,83,20,21,39,39,83,20,21,0.65,0.8058252427184466,0.6610169491525424,0.7980769230769231
3,RF,4,41,13,21,45,45,41,13,21,0.6818181818181818,0.7592592592592593,0.7758620689655172,0.6612903225806451
4,RF,5,58,32,17,47,47,58,32,17,0.734375,0.6444444444444445,0.5949367088607594,0.7733333333333333
5,XGB,1,80,30,29,48,48,80,30,29,0.6233766233766234,0.7272727272727273,0.6153846153846154,0.7339449541284404
6,XGB,2,150,27,43,61,61,150,27,43,0.5865384615384616,0.847457627118644,0.6931818181818182,0.7772020725388601
7,XGB,3,83,20,21,39,39,83,20,21,0.65,0.8058252427184466,0.6610169491525424,0.7980769230769231
8,XGB,4,42,12,19,47,47,42,12,19,0.7121212121212122,0.7777777777777778,0.7966101694915254,0.6885245901639344
9,XGB,5,56,34,15,49,49,56,34,15,0.765625,0.6222222222222222,0.5903614457831325,0.7887323943661971
10,DT,1,57,53,12,65,65,57,53,12,0.8441558441558441,0.5181818181818182,0.5508474576271186,0.8260869565217391
11,DT,2,134,43,25,79,79,134,43,25,0.7596153846153846,0.7570621468926554,0.6475409836065574,0.8427672955974843
12,DT,3,72,31,11,49,49,72,31,11,0.8166666666666667,0.6990291262135923,0.6125,0.8674698795180723
13,DT,4,18,36,4,62,62,18,36,4,0.9393939393939394,0.3333333333333333,0.6326530612244898,0.8181818181818182
14,DT,5,55,35,20,44,44,55,35,20,0.6875,0.6111111111111112,0.5569620253164557,0.7333333333333333
