,Model,Fold,CM_non_void_pred_non_void,CM_non_void_pred_void,CM_void_pred_non_void,CM_void_pred_void,TP,TN,FP,FN,Sensitivity,Specificity,PPV,NPV
0,RF,1,447,151,273,265,265,447,151,273,0.49256505576208176,0.7474916387959866,0.6370192307692307,0.6208333333333333
1,RF,2,671,79,140,237,237,671,79,140,0.6286472148541115,0.8946666666666667,0.75,0.8273736128236745
2,RF,3,522,333,16,566,566,522,333,16,0.9725085910652921,0.6105263157894737,0.6295884315906563,0.9702602230483272
3,RF,4,290,66,232,182,182,290,66,232,0.4396135265700483,0.8146067415730337,0.7338709677419355,0.5555555555555556
4,RF,5,554,346,123,373,373,554,346,123,0.7520161290322581,0.6155555555555555,0.5187760778859527,0.8183161004431314
5,XGB,1,423,175,245,293,293,423,175,245,0.5446096654275093,0.7073578595317725,0.6260683760683761,0.6332335329341318
6,XGB,2,665,85,180,197,197,665,85,180,0.5225464190981433,0.8866666666666667,0.6985815602836879,0.7869822485207101
7,XGB,3,602,253,95,487,487,602,253,95,0.8367697594501718,0.704093567251462,0.6581081081081082,0.8637015781922525
8,XGB,4,322,34,272,142,142,322,34,272,0.34299516908212563,0.9044943820224719,0.8068181818181818,0.5420875420875421
9,XGB,5,656,244,213,283,283,656,244,213,0.5705645161290323,0.7288888888888889,0.5370018975332068,0.7548906789413119
10,DT,1,453,145,278,260,260,453,145,278,0.483271375464684,0.7575250836120402,0.6419753086419753,0.6196990424076607
11,DT,2,646,104,170,207,207,646,104,170,0.5490716180371353,0.8613333333333333,0.6655948553054662,0.7916666666666666
12,DT,3,404,451,37,545,545,404,451,37,0.936426116838488,0.47251461988304094,0.5471887550200804,0.9160997732426304
13,DT,4,340,16,338,76,76,340,16,338,0.18357487922705315,0.9550561797752809,0.8260869565217391,0.5014749262536873
14,DT,5,526,374,131,365,365,526,374,131,0.7358870967741935,0.5844444444444444,0.4939106901217862,0.8006088280060882
