,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Best_Params,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.6898,0.6805,0.6818,0.6811,0.6911,0.6898,0.6904,0.6203,0.6364,0.6282,0.7407,0.7273,0.7339,0.7424,"{'n_estimators': 295, 'max_depth': 3, 'min_samples_split': 10, 'min_samples_leaf': 8, 'max_features': None, 'bootstrap': True}",295.0,3.0,10.0,8.0,,True,,,,,,,,,
1,RF,2,0.7509,0.7347,0.7428,0.7377,0.757,0.7509,0.753,0.6491,0.7115,0.6789,0.8204,0.774,0.7965,0.7853,"{'n_estimators': 395, 'max_depth': 3, 'min_samples_split': 19, 'min_samples_leaf': 10, 'max_features': None, 'bootstrap': False}",395.0,3.0,19.0,10.0,,False,,,,,,,,,
2,RF,3,0.7853,0.7704,0.7814,0.7743,0.7925,0.7853,0.7874,0.6866,0.7667,0.7244,0.8542,0.7961,0.8241,0.8649,"{'n_estimators': 352, 'max_depth': 4, 'min_samples_split': 19, 'min_samples_leaf': 1, 'max_features': None, 'bootstrap': True}",352.0,4.0,19.0,1.0,,True,,,,,,,,,
3,RF,4,0.775,0.78,0.7652,0.7679,0.778,0.775,0.772,0.76,0.8636,0.8085,0.8,0.6667,0.7273,0.7416,"{'n_estimators': 89, 'max_depth': 3, 'min_samples_split': 17, 'min_samples_leaf': 5, 'max_features': None, 'bootstrap': False}",89.0,3.0,17.0,5.0,,False,,,,,,,,,
4,RF,5,0.6688,0.6688,0.6738,0.6665,0.6831,0.6688,0.6712,0.5844,0.7031,0.6383,0.7532,0.6444,0.6946,0.7297,"{'n_estimators': 474, 'max_depth': 4, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': None, 'bootstrap': True}",474.0,4.0,8.0,8.0,,True,,,,,,,,,
5,XGB,1,0.6738,0.6618,0.6565,0.6582,0.6702,0.6738,0.6711,0.6143,0.5584,0.585,0.7094,0.7545,0.7313,0.7234,"{'n_estimators': 261, 'max_depth': 6, 'learning_rate': 0.1991266186754082, 'subsample': 0.9965108784574399, 'colsample_bytree': 0.6449099497025037, 'min_child_weight': 5, 'gamma': 4.550747766763836, 'reg_alpha': 1.2005232453260006, 'reg_lambda': 1.5600489350564284}",261.0,6.0,,,,,0.1991266186754082,0.9965108784574399,0.6449099497025037,5.0,4.550747766763836,1.2005232453260006,1.5600489350564284,,
6,XGB,2,0.7402,0.7212,0.7145,0.7173,0.7372,0.7402,0.7382,0.6598,0.6154,0.6368,0.7826,0.8136,0.7978,0.8143,"{'n_estimators': 332, 'max_depth': 6, 'learning_rate': 0.013722315372926532, 'subsample': 0.7933724891953438, 'colsample_bytree': 0.6360299295432446, 'min_child_weight': 4, 'gamma': 4.985019087066112, 'reg_alpha': 1.7644708281135266, 'reg_lambda': 1.8366059277170264}",332.0,6.0,,,,,0.013722315372926532,0.7933724891953438,0.6360299295432446,4.0,4.985019087066112,1.7644708281135266,1.8366059277170264,,
7,XGB,3,0.7607,0.7436,0.7341,0.738,0.7575,0.7607,0.7584,0.6909,0.6333,0.6609,0.7963,0.835,0.8152,0.8597,"{'n_estimators': 281, 'max_depth': 8, 'learning_rate': 0.011711509955524094, 'subsample': 0.8430179407605753, 'colsample_bytree': 0.6682096494749166, 'min_child_weight': 1, 'gamma': 4.7444276862666666, 'reg_alpha': 1.9312640661491187, 'reg_lambda': 1.6167946962329223}",281.0,8.0,,,,,0.011711509955524094,0.8430179407605753,0.6682096494749166,1.0,4.7444276862666666,1.9312640661491187,1.6167946962329223,,
8,XGB,4,0.65,0.7024,0.6717,0.6419,0.7155,0.65,0.6366,0.8333,0.4545,0.5882,0.5714,0.8889,0.6957,0.7809,"{'n_estimators': 299, 'max_depth': 6, 'learning_rate': 0.017055034476248697, 'subsample': 0.7799269729678349, 'colsample_bytree': 0.854510936809315, 'min_child_weight': 10, 'gamma': 2.7840841743417233, 'reg_alpha': 0.9278604909652088, 'reg_lambda': 1.4486368516203687}",299.0,6.0,,,,,0.017055034476248697,0.7799269729678349,0.854510936809315,10.0,2.7840841743417233,0.9278604909652088,1.4486368516203687,,
9,XGB,5,0.6494,0.6463,0.6503,0.6455,0.6596,0.6494,0.6517,0.5676,0.6562,0.6087,0.725,0.6444,0.6824,0.7222,"{'n_estimators': 76, 'max_depth': 3, 'learning_rate': 0.0281144883451834, 'subsample': 0.6571311854622052, 'colsample_bytree': 0.9240119181360359, 'min_child_weight': 10, 'gamma': 4.985601328739577, 'reg_alpha': 1.5336927216315612, 'reg_lambda': 0.6940951045915857}",76.0,3.0,,,,,0.0281144883451834,0.6571311854622052,0.9240119181360359,10.0,4.985601328739577,1.5336927216315612,0.6940951045915857,,
10,DT,1,0.5936,0.5847,0.5864,0.5849,0.5986,0.5936,0.5955,0.506,0.5455,0.525,0.6635,0.6273,0.6449,0.6484,"{'criterion': 'entropy', 'max_depth': 13, 'min_samples_split': 2, 'min_samples_leaf': 9, 'max_features': None, 'splitter': 'random'}",,13.0,2.0,9.0,,,,,,,,,,entropy,random
11,DT,2,0.6157,0.6018,0.6077,0.6015,0.6324,0.6157,0.621,0.4839,0.5769,0.5263,0.7197,0.6384,0.6766,0.6077,"{'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 19, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'splitter': 'best'}",,1.0,19.0,3.0,sqrt,,,,,,,,,entropy,best
12,DT,3,0.7546,0.7366,0.7397,0.738,0.7564,0.7546,0.7554,0.6613,0.6833,0.6721,0.8119,0.7961,0.8039,0.8039,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'splitter': 'best'}",,2.0,20.0,1.0,sqrt,,,,,,,,,entropy,best
13,DT,4,0.775,0.7759,0.7786,0.7746,0.7814,0.775,0.7755,0.8305,0.7424,0.784,0.7213,0.8148,0.7652,0.82,"{'criterion': 'gini', 'max_depth': 11, 'min_samples_split': 7, 'min_samples_leaf': 10, 'max_features': 'log2', 'splitter': 'random'}",,11.0,7.0,10.0,log2,,,,,,,,,gini,random
14,DT,5,0.6299,0.6502,0.6495,0.6299,0.669,0.6299,0.6294,0.5385,0.7656,0.6323,0.7619,0.5333,0.6275,0.6918,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 18, 'min_samples_leaf': 9, 'max_features': 'log2', 'splitter': 'random'}",,5.0,18.0,9.0,log2,,,,,,,,,entropy,random
15,RF,MEAN,0.734,0.7269,0.729,0.7255,0.7403,0.734,0.7348,0.6601,0.7363,0.6957,0.7937,0.7217,0.7553,0.7728,N/A,,,,,,,,,,,,,,,
16,RF,STD,0.052,0.0507,0.0488,0.0494,0.0503,0.052,0.0512,0.0673,0.0849,0.0736,0.0471,0.0658,0.0533,0.0557,N/A,,,,,,,,,,,,,,,
17,XGB,MEAN,0.6948,0.6951,0.6854,0.6802,0.708,0.6948,0.6912,0.6732,0.5836,0.6159,0.7169,0.7873,0.7445,0.7801,N/A,,,,,,,,,,,,,,,
18,XGB,STD,0.0522,0.0405,0.037,0.0444,0.0422,0.0522,0.054,0.1009,0.0807,0.0325,0.0893,0.0933,0.0597,0.0593,N/A,,,,,,,,,,,,,,,
19,DT,MEAN,0.6738,0.6698,0.6724,0.6658,0.6876,0.6738,0.6754,0.604,0.6627,0.6279,0.7357,0.682,0.7036,0.7144,N/A,,,,,,,,,,,,,,,
20,DT,STD,0.0844,0.0836,0.0835,0.0852,0.0788,0.0844,0.0835,0.144,0.0981,0.1087,0.0552,0.1201,0.0772,0.0941,N/A,,,,,,,,,,,,,,,
