,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Features_K,Score_Function,Best_Params,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.6268,0.6289,0.62,0.6169,0.6285,0.6268,0.6202,0.637,0.4926,0.5556,0.6208,0.7475,0.6783,0.7065,71,f_classif,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 110, 'clf__max_depth': 3, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 2, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': None}",71,f_classif,110.0,3.0,14.0,2.0,log2,False,,,,,,,,,,
1,RF,2,0.8057,0.7887,0.7617,0.7718,0.8015,0.8057,0.8009,0.75,0.6286,0.684,0.8274,0.8947,0.8597,0.8727,20,f_classif,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 369, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",20,f_classif,369.0,3.0,20.0,9.0,sqrt,False,,,,,,,,,,
2,RF,3,0.7571,0.7999,0.7915,0.7569,0.8323,0.7571,0.7555,0.6296,0.9725,0.7643,0.9703,0.6105,0.7495,0.8418,81,f_classif,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 281, 'clf__max_depth': 3, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",81,f_classif,281.0,3.0,14.0,5.0,sqrt,True,balanced,,,,,,,,,
3,RF,4,0.613,0.6447,0.6271,0.6052,0.6514,0.613,0.601,0.7339,0.4396,0.5498,0.5556,0.8146,0.6606,0.6722,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 379, 'clf__max_depth': 9, 'clf__min_samples_split': 9, 'clf__min_samples_leaf': 8, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",all,f_classif,379.0,9.0,9.0,8.0,log2,True,balanced,,,,,,,,,
4,RF,5,0.664,0.6685,0.6838,0.6583,0.7119,0.664,0.6711,0.5188,0.752,0.614,0.8183,0.6156,0.7026,0.739,30,f_classif,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 217, 'clf__max_depth': 3, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",30,f_classif,217.0,3.0,13.0,3.0,sqrt,False,balanced,,,,,,,,,
5,XGB,1,0.6303,0.6297,0.626,0.6254,0.6298,0.6303,0.6276,0.6261,0.5446,0.5825,0.6332,0.7074,0.6682,0.6983,91,f_classif,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 281, 'clf__max_depth': 3, 'clf__learning_rate': 0.010180069194372206, 'clf__subsample': 0.6481371991480912, 'clf__colsample_bytree': 0.9798978837605197, 'clf__min_child_weight': 8, 'clf__gamma': 4.012550823071751, 'clf__reg_alpha': 0.8976978387481365, 'clf__reg_lambda': 0.8837211738746977}",91,f_classif,281.0,3.0,,,,,,0.010180069194372206,0.6481371991480912,0.9798978837605197,8.0,4.012550823071751,0.8976978387481365,0.8837211738746977,,
6,XGB,2,0.7649,0.7428,0.7046,0.7159,0.7574,0.7649,0.7549,0.6986,0.5225,0.5979,0.787,0.8867,0.8339,0.855,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 119, 'clf__max_depth': 5, 'clf__learning_rate': 0.01213889377116134, 'clf__subsample': 0.830801746755204, 'clf__colsample_bytree': 0.8172561985785379, 'clf__min_child_weight': 10, 'clf__gamma': 1.3200519086360247, 'clf__reg_alpha': 0.5455911996770271, 'clf__reg_lambda': 1.3893285227488028}",10,f_classif,119.0,5.0,,,,,,0.01213889377116134,0.830801746755204,0.8172561985785379,10.0,1.3200519086360247,0.5455911996770271,1.3893285227488028,,
7,XGB,3,0.7578,0.7609,0.7704,0.7563,0.7804,0.7578,0.76,0.6581,0.8368,0.7368,0.8637,0.7041,0.7758,0.8407,40,f_classif,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__n_estimators': 57, 'clf__max_depth': 8, 'clf__learning_rate': 0.02160537077027906, 'clf__subsample': 0.8580691161637799, 'clf__colsample_bytree': 0.6697465716019966, 'clf__min_child_weight': 7, 'clf__gamma': 1.933676731502687, 'clf__reg_alpha': 1.873459977473469, 'clf__reg_lambda': 0.2750418882919865}",40,f_classif,57.0,8.0,,,,,,0.02160537077027906,0.8580691161637799,0.6697465716019966,7.0,1.933676731502687,1.873459977473469,0.2750418882919865,,
8,XGB,4,0.6026,0.6745,0.6237,0.5796,0.6844,0.6026,0.5722,0.8068,0.343,0.4814,0.5421,0.9045,0.6779,0.6941,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 62, 'clf__max_depth': 5, 'clf__learning_rate': 0.03508562249115883, 'clf__subsample': 0.9837210218582536, 'clf__colsample_bytree': 0.65168192873342, 'clf__min_child_weight': 1, 'clf__gamma': 4.074837494696215, 'clf__reg_alpha': 1.6689193218143485, 'clf__reg_lambda': 1.254839653229935}",10,f_classif,62.0,5.0,,,,,,0.03508562249115883,0.9837210218582536,0.65168192873342,1.0,4.074837494696215,1.6689193218143485,1.254839653229935,,
9,XGB,5,0.6726,0.6459,0.6497,0.6475,0.6775,0.6726,0.6747,0.537,0.5706,0.5533,0.7549,0.7289,0.7417,0.7088,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 123, 'clf__max_depth': 4, 'clf__learning_rate': 0.014722701504805124, 'clf__subsample': 0.9315349352289729, 'clf__colsample_bytree': 0.692393594716233, 'clf__min_child_weight': 9, 'clf__gamma': 0.9371121319042641, 'clf__reg_alpha': 1.803373547554139, 'clf__reg_lambda': 1.2800839392050845}",10,f_classif,123.0,4.0,,,,,,0.014722701504805124,0.9315349352289729,0.692393594716233,9.0,0.9371121319042641,1.803373547554139,1.2800839392050845,,
