,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.5422,0.3664,0.4878,0.4161,0.4101,0.5422,0.4644,0.7069,0.7177,"{'n_estimators': 486, 'max_depth': 3, 'min_samples_split': 20, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'bootstrap': False}",0.4789,0.7484,0.5841,0.6951,0.0,0.0,0.0,0.6527,0.6203,0.7151,0.6643,0.7729,486.0,3.0,20.0,10.0,sqrt,False,,,,,,,,,
1,RF,2,0.5492,0.5175,0.5038,0.4993,0.5362,0.5492,0.534,0.7111,0.7325,"{'n_estimators': 92, 'max_depth': 17, 'min_samples_split': 4, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'bootstrap': True}",0.4974,0.5798,0.5354,0.6962,0.4352,0.238,0.3077,0.6738,0.6199,0.6936,0.6547,0.7633,92.0,17.0,4.0,5.0,sqrt,True,,,,,,,,,
2,RF,3,0.535,0.5078,0.471,0.4521,0.5244,0.535,0.5018,0.692,0.7141,"{'n_estimators': 414, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_features': 'log2', 'bootstrap': False}",0.5573,0.4621,0.5053,0.6357,0.4348,0.1365,0.2078,0.6906,0.5314,0.8145,0.6431,0.7498,414.0,6.0,7.0,4.0,log2,False,,,,,,,,,
3,XGB,1,0.5492,0.5255,0.5147,0.5002,0.538,0.5492,0.5266,0.7197,0.7254,"{'n_estimators': 499, 'max_depth': 9, 'learning_rate': 0.02677342144087824, 'subsample': 0.6097259194088174, 'colsample_bytree': 0.9962928066797128, 'min_child_weight': 7, 'gamma': 4.8359684657355375, 'reg_alpha': 1.2324234789258077, 'reg_lambda': 0.009347141405547849}",0.5101,0.7072,0.5927,0.7194,0.4335,0.1982,0.272,0.6631,0.633,0.6387,0.6358,0.7767,499.0,9.0,,,,,0.02677342144087824,0.6097259194088174,0.9962928066797128,7.0,4.8359684657355375,1.2324234789258077,0.009347141405547849,,
4,XGB,2,0.5918,0.587,0.5394,0.5342,0.5907,0.5918,0.5692,0.7386,0.7611,"{'n_estimators': 455, 'max_depth': 5, 'learning_rate': 0.020607307688949597, 'subsample': 0.6015578721436354, 'colsample_bytree': 0.6313376495084189, 'min_child_weight': 1, 'gamma': 4.986856014727182, 'reg_alpha': 1.7852087953743534, 'reg_lambda': 1.562865107130278}",0.5466,0.6283,0.5846,0.7268,0.5899,0.2323,0.3333,0.7069,0.6244,0.7576,0.6846,0.782,455.0,5.0,,,,,0.020607307688949597,0.6015578721436354,0.6313376495084189,1.0,4.986856014727182,1.7852087953743534,1.562865107130278,,
5,XGB,3,0.5439,0.5176,0.4855,0.4701,0.5366,0.5439,0.5148,0.6959,0.7181,"{'n_estimators': 102, 'max_depth': 3, 'learning_rate': 0.014092764300202256, 'subsample': 0.6700131156191528, 'colsample_bytree': 0.6354371116758541, 'min_child_weight': 4, 'gamma': 2.378700370812161, 'reg_alpha': 0.8484006700714235, 'reg_lambda': 0.10729101845919434}",0.5803,0.4562,0.5108,0.6459,0.4359,0.1741,0.2488,0.6954,0.5367,0.8263,0.6507,0.7465,102.0,3.0,,,,,0.014092764300202256,0.6700131156191528,0.6354371116758541,4.0,2.378700370812161,0.8484006700714235,0.10729101845919434,,
6,DT,1,0.4956,0.3541,0.4498,0.3806,0.3975,0.4956,0.4237,0.6614,0.6874,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 9, 'min_samples_leaf': 3, 'max_features': None, 'splitter': 'random'}",0.4282,0.8141,0.5612,0.65,0.0,0.0,0.0,0.6057,0.6341,0.5352,0.5805,0.7286,,2.0,9.0,3.0,,,,,,,,,,entropy,random
7,DT,2,0.5445,0.4174,0.4685,0.4137,0.4641,0.5445,0.4811,0.6456,0.6925,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'splitter': 'best'}",0.4533,0.6182,0.5231,0.625,0.1667,0.0113,0.0212,0.5769,0.6323,0.7759,0.6968,0.7348,,3.0,6.0,1.0,sqrt,,,,,,,,,gini,best
8,DT,3,0.517,0.5106,0.4464,0.4044,0.5229,0.517,0.4635,0.6417,0.6814,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': None, 'splitter': 'best'}",0.5739,0.3923,0.466,0.5829,0.4634,0.0648,0.1138,0.6685,0.4943,0.882,0.6336,0.6737,,3.0,9.0,7.0,,,,,,,,,,entropy,best
9,RF,MEAN,0.5421,0.4639,0.4875,0.4558,0.4902,0.5421,0.5001,0.7033,0.7214,N/A,0.5112,0.5968,0.5416,0.6757,0.29,0.1248,0.1718,0.6724,0.5905,0.7411,0.654,0.762,,,,,,,,,,,,,,,
