,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.7283,0.7129,0.6322,0.6542,0.7283,0.7283,0.7107,0.7922,0.849,"{'n_estimators': 319, 'max_depth': 8, 'min_samples_split': 3, 'min_samples_leaf': 3, 'max_features': None, 'bootstrap': True}",0.7667,0.4694,0.5823,0.7177,0.6364,0.5,0.56,0.8552,0.7355,0.9271,0.8203,0.8036,319.0,8.0,3.0,3.0,,True,,,,,,,,,
1,RF,2,0.5696,0.5788,0.5529,0.5241,0.607,0.5696,0.5492,0.7188,0.7131,"{'n_estimators': 71, 'max_depth': 6, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': None, 'bootstrap': True}",0.3788,0.625,0.4717,0.6629,0.6316,0.2308,0.338,0.6604,0.726,0.803,0.7626,0.833,71.0,6.0,5.0,3.0,,True,,,,,,,,,
2,RF,3,0.5764,0.559,0.583,0.5538,0.6094,0.5764,0.5746,0.7228,0.71,"{'n_estimators': 129, 'max_depth': 13, 'min_samples_split': 7, 'min_samples_leaf': 8, 'max_features': None, 'bootstrap': True}",0.7595,0.531,0.625,0.7243,0.375,0.3818,0.3784,0.589,0.5426,0.8361,0.6581,0.8551,129.0,13.0,7.0,8.0,,True,,,,,,,,,
3,RF,4,0.5377,0.5372,0.4983,0.5061,0.5393,0.5377,0.531,0.6825,0.6953,"{'n_estimators': 134, 'max_depth': 6, 'min_samples_split': 19, 'min_samples_leaf': 3, 'max_features': 'log2', 'bootstrap': True}",0.5,0.5789,0.5366,0.6998,0.5417,0.3095,0.3939,0.6814,0.57,0.6064,0.5876,0.6664,134.0,6.0,19.0,3.0,log2,True,,,,,,,,,
4,RF,5,0.5789,0.5793,0.5689,0.572,0.5814,0.5789,0.5779,0.7124,0.724,"{'n_estimators': 356, 'max_depth': 13, 'min_samples_split': 6, 'min_samples_leaf': 10, 'max_features': None, 'bootstrap': True}",0.625,0.5435,0.5814,0.6882,0.5484,0.5152,0.5312,0.7703,0.5645,0.6481,0.6034,0.6786,356.0,13.0,6.0,10.0,,True,,,,,,,,,
5,XGB,1,0.7688,0.8197,0.6496,0.6905,0.7876,0.7688,0.7472,0.8128,0.8701,"{'n_estimators': 189, 'max_depth': 9, 'learning_rate': 0.02500942104810365, 'subsample': 0.6224732416009338, 'colsample_bytree': 0.815782973788926, 'min_child_weight': 3, 'gamma': 4.246163242170886, 'reg_alpha': 1.473697322474995, 'reg_lambda': 0.3733624988893293}",0.7879,0.5306,0.6341,0.7577,0.9231,0.4286,0.5854,0.8559,0.748,0.9896,0.852,0.8247,189.0,9.0,,,,,0.02500942104810365,0.6224732416009338,0.815782973788926,3.0,4.246163242170886,1.473697322474995,0.3733624988893293,,
6,XGB,2,0.5506,0.5845,0.5258,0.482,0.6039,0.5506,0.505,0.7448,0.7318,"{'n_estimators': 54, 'max_depth': 8, 'learning_rate': 0.017500235481239766, 'subsample': 0.6204172430889494, 'colsample_bytree': 0.7652976517354538, 'min_child_weight': 7, 'gamma': 2.691483623945335, 'reg_alpha': 0.7270861637566448, 'reg_lambda': 1.9591322885698645}",0.3898,0.575,0.4646,0.6466,0.7273,0.1538,0.254,0.7478,0.6364,0.8485,0.7273,0.8401,54.0,8.0,,,,,0.017500235481239766,0.6204172430889494,0.7652976517354538,7.0,2.691483623945335,0.7270861637566448,1.9591322885698645,,
7,XGB,3,0.559,0.5471,0.5663,0.5272,0.6077,0.559,0.5526,0.7325,0.7195,"{'n_estimators': 154, 'max_depth': 5, 'learning_rate': 0.04465378952492724, 'subsample': 0.6080164944969302, 'colsample_bytree': 0.9562160119476198, 'min_child_weight': 4, 'gamma': 4.720397475840843, 'reg_alpha': 1.2143685480664512, 'reg_lambda': 0.2557189856812261}",0.7917,0.5044,0.6162,0.7338,0.3542,0.3091,0.3301,0.6179,0.4954,0.8852,0.6353,0.8459,154.0,5.0,,,,,0.04465378952492724,0.6080164944969302,0.9562160119476198,4.0,4.720397475840843,1.2143685480664512,0.2557189856812261,,
8,XGB,4,0.5613,0.5545,0.5493,0.5492,0.5679,0.5613,0.5616,0.7346,0.743,"{'n_estimators': 217, 'max_depth': 9, 'learning_rate': 0.01815093231817897, 'subsample': 0.7241830074615928, 'colsample_bytree': 0.6016385576812968, 'min_child_weight': 6, 'gamma': 0.5824039482660692, 'reg_alpha': 1.2499413193246558, 'reg_lambda': 0.25622407155671567}",0.5165,0.6184,0.5629,0.7517,0.5128,0.4762,0.4938,0.7417,0.6341,0.5532,0.5909,0.7104,217.0,9.0,,,,,0.01815093231817897,0.7241830074615928,0.6016385576812968,6.0,0.5824039482660692,1.2499413193246558,0.25622407155671567,,
9,XGB,5,0.5714,0.5701,0.547,0.5513,0.5722,0.5714,0.5649,0.7377,0.7435,"{'n_estimators': 483, 'max_depth': 11, 'learning_rate': 0.02733941070293996, 'subsample': 0.9058377495379836, 'colsample_bytree': 0.8085088179862427, 'min_child_weight': 10, 'gamma': 2.674793613837899, 'reg_alpha': 0.31159094410649163, 'reg_lambda': 1.820207627202853}",0.6098,0.5435,0.5747,0.7281,0.5417,0.3939,0.4561,0.78,0.5588,0.7037,0.623,0.7049,483.0,11.0,,,,,0.02733941070293996,0.9058377495379836,0.8085088179862427,10.0,2.674793613837899,0.31159094410649163,1.820207627202853,,
