,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,Precision_void,Recall_void,F1_void,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.6095,0.5835,0.5908,0.5779,0.6262,0.6095,0.607,"{'n_estimators': 173, 'max_depth': 7, 'min_samples_split': 3, 'min_samples_leaf': 6, 'max_features': None, 'bootstrap': True}",0.7077,0.5055,0.5897,0.4091,0.4865,0.4444,0.6337,0.7805,0.6995,173.0,7.0,3.0,6.0,,True,,,,,,,,,
1,RF,2,0.6061,0.62,0.5494,0.5385,0.63,0.6061,0.5734,"{'n_estimators': 211, 'max_depth': 4, 'min_samples_split': 7, 'min_samples_leaf': 6, 'max_features': None, 'bootstrap': True}",0.4318,0.4318,0.4318,0.7778,0.2857,0.4179,0.6505,0.9306,0.7657,211.0,4.0,7.0,6.0,,True,,,,,,,,,
2,RF,3,0.5253,0.4705,0.4946,0.4475,0.4825,0.5253,0.4709,"{'n_estimators': 281, 'max_depth': 13, 'min_samples_split': 2, 'min_samples_leaf': 7, 'max_features': None, 'bootstrap': True}",0.5692,0.5211,0.5441,0.3125,0.0893,0.1389,0.5299,0.8732,0.6596,281.0,13.0,2.0,7.0,,True,,,,,,,,,
3,RF,4,0.6541,0.6308,0.6221,0.6214,0.6437,0.6541,0.6447,"{'n_estimators': 481, 'max_depth': 13, 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_features': 'log2', 'bootstrap': False}",0.6508,0.6949,0.6721,0.5357,0.3846,0.4478,0.7059,0.7869,0.7442,481.0,13.0,6.0,4.0,log2,False,,,,,,,,,
4,RF,5,0.5665,0.5628,0.571,0.5611,0.5838,0.5665,0.568,"{'n_estimators': 382, 'max_depth': 13, 'min_samples_split': 20, 'min_samples_leaf': 8, 'max_features': 'log2', 'bootstrap': False}",0.4933,0.6379,0.5564,0.5333,0.5517,0.5424,0.6618,0.5233,0.5844,382.0,13.0,20.0,8.0,log2,False,,,,,,,,,
5,XGB,1,0.6381,0.6073,0.6095,0.5977,0.6547,0.6381,0.6333,"{'n_estimators': 471, 'max_depth': 11, 'learning_rate': 0.10033902948638207, 'subsample': 0.7019658387090374, 'colsample_bytree': 0.981650342709915, 'min_child_weight': 2, 'gamma': 3.9918323572236294, 'reg_alpha': 1.7861487135636285, 'reg_lambda': 1.9149130642833458}",0.75,0.5275,0.6194,0.4146,0.4595,0.4359,0.6571,0.8415,0.738,471.0,11.0,,,,,0.10033902948638207,0.7019658387090374,0.981650342709915,2.0,3.9918323572236294,1.7861487135636285,1.9149130642833458,,
6,XGB,2,0.5576,0.5522,0.4977,0.4769,0.5734,0.5576,0.52,"{'n_estimators': 447, 'max_depth': 8, 'learning_rate': 0.028384751942895404, 'subsample': 0.886619415310442, 'colsample_bytree': 0.7814106223313823, 'min_child_weight': 8, 'gamma': 4.413122099386829, 'reg_alpha': 1.0452037830742769, 'reg_lambda': 1.330152780283696}",0.3333,0.3864,0.3579,0.6667,0.2041,0.3125,0.6566,0.9028,0.7602,447.0,8.0,,,,,0.028384751942895404,0.886619415310442,0.7814106223313823,8.0,4.413122099386829,1.0452037830742769,1.330152780283696,,
7,XGB,3,0.5455,0.5405,0.5221,0.4921,0.5419,0.5455,0.5063,"{'n_estimators': 196, 'max_depth': 6, 'learning_rate': 0.03133761240137578, 'subsample': 0.8436473264896194, 'colsample_bytree': 0.6098965371289271, 'min_child_weight': 8, 'gamma': 0.007250058963767181, 'reg_alpha': 0.08245516163747307, 'reg_lambda': 1.7012359802664556}",0.5536,0.4366,0.4882,0.5217,0.2143,0.3038,0.5462,0.9155,0.6842,196.0,6.0,,,,,0.03133761240137578,0.8436473264896194,0.6098965371289271,8.0,0.007250058963767181,0.08245516163747307,1.7012359802664556,,
8,XGB,4,0.6164,0.6,0.5894,0.5901,0.6115,0.6164,0.6101,"{'n_estimators': 229, 'max_depth': 5, 'learning_rate': 0.016092366083157193, 'subsample': 0.6042281258411868, 'colsample_bytree': 0.9309928803268596, 'min_child_weight': 5, 'gamma': 4.904273819297568, 'reg_alpha': 0.7414850802386804, 'reg_lambda': 0.7014050032919221}",0.5942,0.6949,0.6406,0.5172,0.3846,0.4412,0.6885,0.6885,0.6885,229.0,5.0,,,,,0.016092366083157193,0.6042281258411868,0.9309928803268596,5.0,4.904273819297568,0.7414850802386804,0.7014050032919221,,
9,XGB,5,0.526,0.5186,0.5477,0.5229,0.5484,0.526,0.5262,"{'n_estimators': 304, 'max_depth': 7, 'learning_rate': 0.01619699286150809, 'subsample': 0.6022046530804224, 'colsample_bytree': 0.6244049946386432, 'min_child_weight': 2, 'gamma': 1.5028424616511413, 'reg_alpha': 1.843408971689399, 'reg_lambda': 1.6274129254636682}",0.4795,0.6034,0.5344,0.4474,0.5862,0.5075,0.629,0.4535,0.527,304.0,7.0,,,,,0.01619699286150809,0.6022046530804224,0.6244049946386432,2.0,1.5028424616511413,1.843408971689399,1.6274129254636682,,
