,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,Precision_void,Recall_void,F1_void,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
10,DT,1,0.6015,0.5566,0.5192,0.5297,0.5854,0.6015,0.5859,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': None, 'splitter': 'best'}",0.5185,0.4118,0.459,0.5,0.3571,0.4167,0.6512,0.7887,0.7134,,2.0,2.0,4.0,,,,,,,,,,entropy,best
11,DT,2,0.5169,0.4877,0.4724,0.4699,0.5873,0.5169,0.541,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 20, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'splitter': 'best'}",0.2927,0.4444,0.3529,0.3226,0.3333,0.3279,0.8478,0.6393,0.729,,2.0,20.0,10.0,sqrt,,,,,,,,,gini,best
12,DT,3,0.3718,0.3298,0.3524,0.3234,0.3559,0.3718,0.347,"{'criterion': 'entropy', 'max_depth': 16, 'min_samples_split': 12, 'min_samples_leaf': 8, 'max_features': 'log2', 'splitter': 'random'}",0.3182,0.56,0.4058,0.1111,0.0455,0.0645,0.56,0.4516,0.5,,16.0,12.0,8.0,log2,,,,,,,,,entropy,random
13,DT,4,0.5864,0.6902,0.5136,0.5047,0.661,0.5864,0.5539,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 17, 'min_samples_leaf': 9, 'max_features': None, 'splitter': 'best'}",0.5138,0.8615,0.6437,0.8333,0.1562,0.2632,0.7234,0.5231,0.6071,,3.0,17.0,9.0,,,,,,,,,,gini,best
14,DT,5,0.4727,0.4796,0.4923,0.4664,0.5181,0.4727,0.4727,"{'criterion': 'entropy', 'max_depth': 16, 'min_samples_split': 13, 'min_samples_leaf': 10, 'max_features': None, 'splitter': 'random'}",0.623,0.3619,0.4578,0.28,0.4118,0.3333,0.5357,0.7031,0.6081,,16.0,13.0,10.0,,,,,,,,,,entropy,random
15,RF,MEAN,0.5723,0.5519,0.5363,0.5239,0.5772,0.5723,0.5558,N/A,0.5378,0.506,0.5046,0.4996,0.345,0.3895,0.6183,0.7578,0.6776,,,,,,,,,,,,,,,
16,RF,STD,0.0564,0.0627,0.0496,0.0632,0.0653,0.0564,0.0693,N/A,0.1484,0.0983,0.0642,0.1344,0.1802,0.1635,0.0769,0.0627,0.0525,,,,,,,,,,,,,,,
17,XGB,MEAN,0.5796,0.561,0.5497,0.5393,0.5941,0.5796,0.5707,N/A,0.5393,0.5178,0.5099,0.4991,0.395,0.425,0.6445,0.7361,0.6828,,,,,,,,,,,,,,,
18,XGB,STD,0.0529,0.0407,0.0557,0.0556,0.0503,0.0529,0.0606,N/A,0.18,0.1095,0.0901,0.0459,0.1563,0.11,0.0755,0.0769,0.0501,,,,,,,,,,,,,,,
19,DT,MEAN,0.5099,0.5088,0.47,0.4588,0.5415,0.5099,0.5001,N/A,0.4532,0.5279,0.4638,0.4094,0.2608,0.2811,0.6636,0.6212,0.6315,,,,,,,,,,,,,,,
20,DT,STD,0.0932,0.1309,0.0683,0.0801,0.1154,0.0932,0.095,N/A,0.1421,0.2002,0.1096,0.2744,0.1538,0.1328,0.1272,0.1355,0.0931,,,,,,,,,,,,,,,
