,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Features_K,Score_Function,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.6123,0.6129,0.5149,0.5264,0.6163,0.6123,0.5918,0.6953,0.7571,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 383, 'clf__max_depth': 6, 'clf__min_samples_split': 3, 'clf__min_samples_leaf': 8, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",0.4758,0.4876,0.4816,0.6449,0.6923,0.2466,0.3636,0.7323,0.6706,0.8104,0.7339,0.7088,all,f_classif,383.0,6.0,3.0,8.0,log2,True,,,,,,,,,,
1,RF,2,0.495,0.5162,0.5114,0.4248,0.5523,0.495,0.4484,0.6917,0.6456,28,f_classif,"{'selector__k': 28, 'selector__score_func': 'f_classif', 'clf__n_estimators': 251, 'clf__max_depth': 5, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.692,0.474,0.5626,0.6943,0.4595,0.0881,0.1478,0.5661,0.3973,0.9721,0.564,0.8146,28,f_classif,251.0,5.0,17.0,9.0,sqrt,True,,,,,,,,,,
2,RF,3,0.4892,0.5077,0.4707,0.4681,0.5118,0.4892,0.4804,0.658,0.6494,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 351, 'clf__max_depth': 5, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.438,0.6848,0.5343,0.6643,0.5192,0.3253,0.4,0.689,0.5658,0.4019,0.4699,0.6206,all,f_classif,351.0,5.0,7.0,7.0,sqrt,True,,,,,,,,,,
3,RF,4,0.5283,0.447,0.4497,0.4279,0.482,0.5283,0.4884,0.6776,0.6962,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 305, 'clf__max_depth': 5, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 8, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",0.4959,0.4959,0.4959,0.709,0.2692,0.0854,0.1296,0.6163,0.5759,0.7679,0.6582,0.7076,all,f_classif,305.0,5.0,13.0,8.0,log2,True,,,,,,,,,,
4,RF,5,0.5738,0.5819,0.5431,0.5498,0.5778,0.5738,0.5642,0.7281,0.7542,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 440, 'clf__max_depth': 3, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 5, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.4876,0.4436,0.4646,0.6846,0.6667,0.4259,0.5198,0.7253,0.5913,0.7598,0.665,0.7746,all,f_classif,440.0,3.0,14.0,5.0,log2,True,balanced,,,,,,,,,
5,XGB,1,0.6272,0.6505,0.5481,0.5677,0.64,0.6272,0.6149,0.6857,0.748,32,f_classif,"{'selector__k': 32, 'selector__score_func': 'f_classif', 'clf__n_estimators': 206, 'clf__max_depth': 6, 'clf__learning_rate': 0.011619980674951392, 'clf__subsample': 0.7647498534176662, 'clf__colsample_bytree': 0.6544707888954652, 'clf__min_child_weight': 6, 'clf__gamma': 4.815580757248626, 'clf__reg_alpha': 1.4837382764145275, 'clf__reg_lambda': 0.8292623632407001}",0.5079,0.5289,0.5182,0.645,0.7742,0.3288,0.4615,0.7114,0.6694,0.7867,0.7233,0.7007,32,f_classif,206.0,6.0,,,,,,0.011619980674951392,0.7647498534176662,0.6544707888954652,6.0,4.815580757248626,1.4837382764145275,0.8292623632407001,,
6,XGB,2,0.4893,0.5256,0.5096,0.4348,0.5658,0.4893,0.4553,0.6663,0.6358,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 235, 'clf__max_depth': 3, 'clf__learning_rate': 0.014409873671124784, 'clf__subsample': 0.6049726799073909, 'clf__colsample_bytree': 0.7076046448474218, 'clf__min_child_weight': 7, 'clf__gamma': 2.5907179761445196, 'clf__reg_alpha': 1.102458512154976, 'clf__reg_lambda': 1.4004765943020279}",0.7206,0.4495,0.5537,0.6726,0.4717,0.1295,0.2033,0.5431,0.3846,0.9497,0.5475,0.7831,all,f_classif,235.0,3.0,,,,,,0.014409873671124784,0.6049726799073909,0.7076046448474218,7.0,2.5907179761445196,1.102458512154976,1.4004765943020279,,
7,XGB,3,0.5216,0.5148,0.5223,0.5109,0.5375,0.5216,0.5202,0.6744,0.659,32,f_classif,"{'selector__k': 32, 'selector__score_func': 'f_classif', 'clf__n_estimators': 469, 'clf__max_depth': 12, 'clf__learning_rate': 0.023594816957470614, 'clf__subsample': 0.6530268983517195, 'clf__colsample_bytree': 0.6303218485408414, 'clf__min_child_weight': 9, 'clf__gamma': 3.443153435151674, 'clf__reg_alpha': 1.9216993325635499, 'clf__reg_lambda': 1.9866989653957114}",0.4884,0.6364,0.5526,0.6626,0.4444,0.4819,0.4624,0.7183,0.6115,0.4486,0.5175,0.6424,32,f_classif,469.0,12.0,,,,,,0.023594816957470614,0.6530268983517195,0.6303218485408414,9.0,3.443153435151674,1.9216993325635499,1.9866989653957114,,
8,XGB,4,0.5526,0.365,0.4707,0.4108,0.4329,0.5526,0.485,0.6403,0.6798,3,f_classif,"{'selector__k': 3, 'selector__score_func': 'f_classif', 'clf__n_estimators': 167, 'clf__max_depth': 3, 'clf__learning_rate': 0.028301724902621797, 'clf__subsample': 0.8023847912762352, 'clf__colsample_bytree': 0.6315749056052671, 'clf__min_child_weight': 1, 'clf__gamma': 4.954246602047315, 'clf__reg_alpha': 1.4291625574001503, 'clf__reg_lambda': 1.3789746135841807}",0.497,0.686,0.5764,0.6954,0.0,0.0,0.0,0.5328,0.598,0.7262,0.6559,0.6927,3,f_classif,167.0,3.0,,,,,,0.028301724902621797,0.8023847912762352,0.6315749056052671,1.0,4.954246602047315,1.4291625574001503,1.3789746135841807,,
9,XGB,5,0.5833,0.6403,0.5403,0.5322,0.6275,0.5833,0.5588,0.7275,0.7463,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 168, 'clf__max_depth': 3, 'clf__learning_rate': 0.012377836391856634, 'clf__subsample': 0.6303625127637387, 'clf__colsample_bytree': 0.7629283133487559, 'clf__min_child_weight': 7, 'clf__gamma': 3.652742996007456, 'clf__reg_alpha': 1.5812731975866663, 'clf__reg_lambda': 1.402359872593027}",0.5,0.6241,0.5552,0.7003,0.8065,0.2315,0.3597,0.7151,0.6143,0.7654,0.6816,0.767,all,f_classif,168.0,3.0,,,,,,0.012377836391856634,0.6303625127637387,0.7629283133487559,7.0,3.652742996007456,1.5812731975866663,1.402359872593027,,
10,DT,1,0.5309,0.2763,0.3561,0.2919,0.3752,0.5309,0.4209,0.5847,0.6976,18,f_classif,"{'selector__k': 18, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 1, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",0.2545,0.1157,0.1591,0.4857,0.0,0.0,0.0,0.6762,0.5743,0.9526,0.7166,0.5923,18,f_classif,,1.0,19.0,7.0,sqrt,,,,,,,,,,gini,random
11,DT,2,0.329,0.4305,0.406,0.273,0.4724,0.329,0.2391,0.5602,0.5546,3,f_classif,"{'selector__k': 3, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_split': 11, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",0.6364,0.0642,0.1167,0.5363,0.3469,0.1762,0.2337,0.5335,0.3081,0.9777,0.4685,0.6109,3,f_classif,,3.0,11.0,8.0,sqrt,,,,,,,,,,gini,random
12,DT,3,0.4784,0.4451,0.4223,0.4003,0.4911,0.4784,0.4544,0.6187,0.5871,28,f_classif,"{'selector__k': 28, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 6, 'clf__max_features': 'log2', 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",0.4261,0.7333,0.539,0.6373,0.2903,0.1084,0.1579,0.5982,0.619,0.4252,0.5042,0.6206,28,f_classif,,2.0,19.0,6.0,log2,,balanced,,,,,,,,gini,best
13,DT,4,0.5418,0.3637,0.4489,0.3969,0.4237,0.5418,0.47,0.6089,0.6616,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 10, 'clf__max_features': 'log2', 'clf__splitter': 'best', 'clf__class_weight': None}",0.5556,0.5372,0.5462,0.6655,0.0,0.0,0.0,0.5421,0.5354,0.8095,0.6445,0.6192,10,f_classif,,2.0,17.0,10.0,log2,,,,,,,,,,entropy,best
14,DT,5,0.5286,0.4702,0.4497,0.3968,0.4843,0.5286,0.4486,0.6452,0.6963,3,f_classif,"{'selector__k': 3, 'selector__score_func': 'f_classif', 'clf__criterion': 'entropy', 'clf__max_depth': 7, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",0.45,0.3383,0.3863,0.5701,0.4,0.0556,0.0976,0.6654,0.5607,0.9553,0.7066,0.7001,3,f_classif,,7.0,2.0,8.0,sqrt,,,,,,,,,,entropy,random
15,RF,MEAN,0.5397,0.5331,0.498,0.4794,0.548,0.5397,0.5146,0.6901,0.7005,N/A,N/A,N/A,0.5179,0.5172,0.5078,0.6794,0.5214,0.2343,0.3122,0.6658,0.5602,0.7424,0.6182,0.7252,,,,,,,,,,,,,,,,,,
16,RF,STD,0.0527,0.0654,0.0373,0.0568,0.053,0.0527,0.0605,0.0258,0.0542,N/A,N/A,N/A,0.0998,0.0958,0.04,0.0252,0.1716,0.1489,0.1687,0.0723,0.1,0.2087,0.1026,0.0741,,,,,,,,,,,,,,,,,,
