,Model,Fold,CM_post-void_pred_post-void,CM_post-void_pred_pre-void,CM_post-void_pred_void,CM_pre-void_pred_post-void,CM_pre-void_pred_pre-void,CM_pre-void_pred_void,CM_void_pred_post-void,CM_void_pred_pre-void,CM_void_pred_void
0,RF,1,10,0,9,4,6,3,4,2,33
1,RF,2,20,7,10,3,5,9,7,2,26
2,RF,3,12,2,11,18,4,10,2,0,36
3,RF,4,8,5,6,15,4,5,18,1,14
4,RF,5,24,16,20,4,11,11,9,5,32
5,XGB,1,10,0,9,4,7,2,7,4,28
6,XGB,2,14,10,13,3,2,12,7,1,27
7,XGB,3,10,3,12,18,3,11,2,0,36
8,XGB,4,12,1,6,14,3,7,14,0,19
9,XGB,5,25,17,18,2,14,10,5,7,34
10,DT,1,11,0,8,11,0,2,8,0,31
11,DT,2,3,19,15,1,5,11,4,8,23
12,DT,3,16,2,7,26,2,4,12,0,26
13,DT,4,11,0,8,19,0,5,14,0,19
14,DT,5,0,32,28,0,12,14,0,3,43
