,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Features_K,Score_Function,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.5923,0.508,0.4955,0.4874,0.5687,0.5923,0.5682,0.6697,0.7435,28,f_classif,"{'selector__k': 28, 'selector__score_func': 'f_classif', 'clf__n_estimators': 386, 'clf__max_depth': 4, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 2, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",0.6667,0.5577,0.6073,0.7653,0.2619,0.1279,0.1719,0.4992,0.5954,0.8009,0.683,0.7445,28,f_classif,386.0,4.0,17.0,2.0,log2,True,,,,,,,,,,
1,RF,2,0.4582,0.4269,0.4185,0.4183,0.4812,0.4582,0.4653,0.6318,0.6406,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 184, 'clf__max_depth': 4, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.5693,0.4407,0.4968,0.714,0.1942,0.2564,0.221,0.5208,0.5172,0.5585,0.5371,0.6607,all,f_classif,184.0,4.0,17.0,5.0,sqrt,True,balanced,,,,,,,,,
2,RF,3,0.4027,0.5084,0.3955,0.3681,0.5001,0.4027,0.3757,0.6159,0.6001,28,f_classif,"{'selector__k': 28, 'selector__score_func': 'f_classif', 'clf__n_estimators': 379, 'clf__max_depth': 4, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",0.3404,0.6612,0.4494,0.5324,0.7143,0.1364,0.229,0.6852,0.4706,0.3889,0.4259,0.6301,28,f_classif,379.0,4.0,5.0,1.0,sqrt,False,,,,,,,,,,
3,RF,4,0.5573,0.5276,0.5138,0.508,0.543,0.5573,0.5399,0.7139,0.742,25,f_classif,"{'selector__k': 25, 'selector__score_func': 'f_classif', 'clf__n_estimators': 480, 'clf__max_depth': 14, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 6, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",0.5869,0.5814,0.5841,0.7179,0.4286,0.2344,0.303,0.6587,0.5673,0.7256,0.6367,0.7651,25,f_classif,480.0,14.0,12.0,6.0,log2,True,,,,,,,,,,
4,RF,5,0.508,0.6538,0.4674,0.3931,0.6382,0.508,0.4188,0.6707,0.6626,25,f_classif,"{'selector__k': 25, 'selector__score_func': 'f_classif', 'clf__n_estimators': 344, 'clf__max_depth': 3, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",0.4248,0.4037,0.414,0.561,1.0,0.0403,0.0774,0.684,0.5364,0.9583,0.6879,0.7672,25,f_classif,344.0,3.0,16.0,8.0,sqrt,False,,,,,,,,,,
5,XGB,1,0.5615,0.4789,0.4721,0.4652,0.5559,0.5615,0.5462,0.6758,0.7397,18,f_classif,"{'selector__k': 18, 'selector__score_func': 'f_classif', 'clf__n_estimators': 185, 'clf__max_depth': 11, 'clf__learning_rate': 0.019381787711693032, 'clf__subsample': 0.7329419581583515, 'clf__colsample_bytree': 0.9396689336953976, 'clf__min_child_weight': 2, 'clf__gamma': 3.755120730108671, 'clf__reg_alpha': 1.8503828624792504, 'clf__reg_lambda': 1.67048546221536}",0.6644,0.476,0.5546,0.7493,0.169,0.1395,0.1529,0.5213,0.6033,0.8009,0.6882,0.7567,18,f_classif,185.0,11.0,,,,,,0.019381787711693032,0.7329419581583515,0.9396689336953976,2.0,3.755120730108671,1.8503828624792504,1.67048546221536,,
6,XGB,2,0.474,0.4005,0.4031,0.3959,0.4588,0.474,0.4597,0.5887,0.6615,3,f_classif,"{'selector__k': 3, 'selector__score_func': 'f_classif', 'clf__n_estimators': 169, 'clf__max_depth': 12, 'clf__learning_rate': 0.016816241605074816, 'clf__subsample': 0.8927586839524485, 'clf__colsample_bytree': 0.8185186384535889, 'clf__min_child_weight': 7, 'clf__gamma': 4.245023700689713, 'clf__reg_alpha': 0.6640217979372941, 'clf__reg_lambda': 0.18200012819560896}",0.5282,0.4237,0.4702,0.6732,0.1525,0.1154,0.1314,0.4308,0.5207,0.6702,0.586,0.6621,3,f_classif,169.0,12.0,,,,,,0.016816241605074816,0.8927586839524485,0.8185186384535889,7.0,4.245023700689713,0.6640217979372941,0.18200012819560896,,
7,XGB,3,0.4427,0.5392,0.4388,0.4292,0.5285,0.4427,0.4315,0.6334,0.6172,28,f_classif,"{'selector__k': 28, 'selector__score_func': 'f_classif', 'clf__n_estimators': 141, 'clf__max_depth': 4, 'clf__learning_rate': 0.02007713724455515, 'clf__subsample': 0.7100788600949357, 'clf__colsample_bytree': 0.6967610726584872, 'clf__min_child_weight': 9, 'clf__gamma': 4.973833239454635, 'clf__reg_alpha': 0.4145109638032505, 'clf__reg_lambda': 1.5160780790226929}",0.3704,0.6612,0.4748,0.5586,0.7714,0.2455,0.3724,0.6945,0.4758,0.4097,0.4403,0.6472,28,f_classif,141.0,4.0,,,,,,0.02007713724455515,0.7100788600949357,0.6967610726584872,9.0,4.973833239454635,0.4145109638032505,1.5160780790226929,,
8,XGB,4,0.6004,0.6041,0.5468,0.5341,0.6041,0.6004,0.57,0.7074,0.7417,32,f_classif,"{'selector__k': 32, 'selector__score_func': 'f_classif', 'clf__n_estimators': 281, 'clf__max_depth': 8, 'clf__learning_rate': 0.011711509955524094, 'clf__subsample': 0.8430179407605753, 'clf__colsample_bytree': 0.6682096494749166, 'clf__min_child_weight': 1, 'clf__gamma': 4.7444276862666666, 'clf__reg_alpha': 1.9312640661491187, 'clf__reg_lambda': 1.6167946962329223}",0.6225,0.5907,0.6062,0.6909,0.6047,0.2031,0.3041,0.6686,0.5852,0.8465,0.692,0.7628,32,f_classif,281.0,8.0,,,,,,0.011711509955524094,0.8430179407605753,0.6682096494749166,1.0,4.7444276862666666,1.9312640661491187,1.6167946962329223,,
9,XGB,5,0.488,0.3073,0.4461,0.3573,0.3288,0.488,0.3861,0.6417,0.6532,3,f_classif,"{'selector__k': 3, 'selector__score_func': 'f_classif', 'clf__n_estimators': 79, 'clf__max_depth': 4, 'clf__learning_rate': 0.026806763468898424, 'clf__subsample': 0.6304563480832869, 'clf__colsample_bytree': 0.8291539511476078, 'clf__min_child_weight': 1, 'clf__gamma': 3.4997140883702906, 'clf__reg_alpha': 1.1332012543063168, 'clf__reg_lambda': 0.1857984604616654}",0.3851,0.3851,0.3851,0.5445,0.0,0.0,0.0,0.6358,0.5367,0.9531,0.6867,0.7449,3,f_classif,79.0,4.0,,,,,,0.026806763468898424,0.6304563480832869,0.8291539511476078,1.0,3.4997140883702906,1.1332012543063168,0.1857984604616654,,
