,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Features_K,Score_Function,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.6241,0.6171,0.5679,0.5578,0.6285,0.6241,0.5968,0.7531,0.7814,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 496, 'clf__max_depth': 6, 'clf__min_samples_split': 3, 'clf__min_samples_leaf': 10, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': None}",0.7138,0.5824,0.6415,0.8165,0.5504,0.2294,0.3238,0.6428,0.587,0.8919,0.708,0.8,all,f_classif,496.0,6.0,3.0,10.0,log2,False,,,,,,,,,,
1,RF,2,0.3676,0.4173,0.3858,0.3181,0.4481,0.3676,0.3334,0.5816,0.5497,32,f_classif,"{'selector__k': 32, 'selector__score_func': 'f_classif', 'clf__n_estimators': 280, 'clf__max_depth': 5, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",0.2477,0.6178,0.3536,0.5802,0.5,0.0619,0.1102,0.5627,0.5043,0.4776,0.4906,0.6019,32,f_classif,280.0,5.0,5.0,1.0,sqrt,False,,,,,,,,,,
2,RF,3,0.5107,0.5314,0.5113,0.4263,0.5424,0.5107,0.4434,0.7086,0.6792,32,f_classif,"{'selector__k': 32, 'selector__score_func': 'f_classif', 'clf__n_estimators': 494, 'clf__max_depth': 4, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.6144,0.5093,0.557,0.6668,0.5287,0.0597,0.1072,0.6389,0.4511,0.9649,0.6147,0.8202,32,f_classif,494.0,4.0,13.0,10.0,sqrt,True,,,,,,,,,,
3,RF,4,0.4402,0.468,0.4558,0.4226,0.5575,0.4402,0.4725,0.6332,0.5679,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 444, 'clf__max_depth': 6, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 7, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.5935,0.412,0.4863,0.654,0.1756,0.516,0.262,0.6475,0.635,0.4394,0.5194,0.5983,all,f_classif,444.0,6.0,13.0,7.0,log2,True,balanced,,,,,,,,,
4,RF,5,0.6336,0.7597,0.5457,0.5434,0.7013,0.6336,0.5994,0.7083,0.7621,25,f_classif,"{'selector__k': 25, 'selector__score_func': 'f_classif', 'clf__n_estimators': 445, 'clf__max_depth': 4, 'clf__min_samples_split': 8, 'clf__min_samples_leaf': 3, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",0.6908,0.5282,0.5987,0.7147,1.0,0.1855,0.3129,0.6594,0.5881,0.9233,0.7185,0.7508,25,f_classif,445.0,4.0,8.0,3.0,log2,True,,,,,,,,,,
5,XGB,1,0.633,0.6178,0.5837,0.5817,0.628,0.633,0.6155,0.7413,0.7786,28,f_classif,"{'selector__k': 28, 'selector__score_func': 'f_classif', 'clf__n_estimators': 86, 'clf__max_depth': 3, 'clf__learning_rate': 0.04958576391946161, 'clf__subsample': 0.6226274594262932, 'clf__colsample_bytree': 0.6585421735985142, 'clf__min_child_weight': 3, 'clf__gamma': 1.1234393348688412, 'clf__reg_alpha': 0.7727137010706535, 'clf__reg_lambda': 0.7510201584553484}",0.6807,0.652,0.666,0.7886,0.558,0.2876,0.3795,0.6453,0.6148,0.8115,0.6996,0.79,28,f_classif,86.0,3.0,,,,,,0.04958576391946161,0.6226274594262932,0.6585421735985142,3.0,1.1234393348688412,0.7727137010706535,0.7510201584553484,,
6,XGB,2,0.4081,0.4166,0.4177,0.3568,0.447,0.4081,0.3744,0.6083,0.5754,25,f_classif,"{'selector__k': 25, 'selector__score_func': 'f_classif', 'clf__n_estimators': 218, 'clf__max_depth': 4, 'clf__learning_rate': 0.010105092877391314, 'clf__subsample': 0.6028369929483648, 'clf__colsample_bytree': 0.8696729696537576, 'clf__min_child_weight': 3, 'clf__gamma': 0.2638395007945895, 'clf__reg_alpha': 0.9239729501993763, 'clf__reg_lambda': 0.8837945763672205}",0.2796,0.6178,0.385,0.6318,0.4352,0.0856,0.1431,0.5722,0.5351,0.5497,0.5423,0.621,25,f_classif,218.0,4.0,,,,,,0.010105092877391314,0.6028369929483648,0.8696729696537576,3.0,0.2638395007945895,0.9239729501993763,0.8837945763672205,,
7,XGB,3,0.5223,0.5432,0.5221,0.4435,0.5538,0.5223,0.4601,0.6809,0.6711,32,f_classif,"{'selector__k': 32, 'selector__score_func': 'f_classif', 'clf__n_estimators': 125, 'clf__max_depth': 3, 'clf__learning_rate': 0.018994424765568365, 'clf__subsample': 0.6315046862235697, 'clf__colsample_bytree': 0.9462176796688317, 'clf__min_child_weight': 10, 'clf__gamma': 2.7770564377401454, 'clf__reg_alpha': 0.8800977435764556, 'clf__reg_lambda': 1.7147440549799782}",0.6228,0.5263,0.5705,0.6688,0.5455,0.0778,0.1362,0.5579,0.4613,0.9623,0.6237,0.816,32,f_classif,125.0,3.0,,,,,,0.018994424765568365,0.6315046862235697,0.9462176796688317,10.0,2.7770564377401454,0.8800977435764556,1.7147440549799782,,
8,XGB,4,0.4852,0.4361,0.4425,0.4372,0.4999,0.4852,0.4903,0.6103,0.6263,25,f_classif,"{'selector__k': 25, 'selector__score_func': 'f_classif', 'clf__n_estimators': 296, 'clf__max_depth': 3, 'clf__learning_rate': 0.01465084425735574, 'clf__subsample': 0.835062714522613, 'clf__colsample_bytree': 0.6874287061686851, 'clf__min_child_weight': 1, 'clf__gamma': 1.6820239921075715, 'clf__reg_alpha': 0.5303133902471593, 'clf__reg_lambda': 1.3915323627762006}",0.4436,0.5011,0.4706,0.5828,0.262,0.3032,0.2811,0.666,0.6027,0.5231,0.5601,0.582,25,f_classif,296.0,3.0,,,,,,0.01465084425735574,0.835062714522613,0.6874287061686851,1.0,1.6820239921075715,0.5303133902471593,1.3915323627762006,,
9,XGB,5,0.6478,0.6282,0.5783,0.5811,0.6502,0.6478,0.6301,0.7197,0.775,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 181, 'clf__max_depth': 4, 'clf__learning_rate': 0.016206373750329076, 'clf__subsample': 0.8274593093062558, 'clf__colsample_bytree': 0.91141974296018, 'clf__min_child_weight': 10, 'clf__gamma': 2.907039701996302, 'clf__reg_alpha': 0.938308868933198, 'clf__reg_lambda': 1.3765706888081257}",0.7246,0.5669,0.6362,0.7344,0.5367,0.2932,0.3793,0.6296,0.6233,0.8746,0.7279,0.7951,all,f_classif,181.0,4.0,,,,,,0.016206373750329076,0.8274593093062558,0.91141974296018,10.0,2.907039701996302,0.938308868933198,1.3765706888081257,,
