,Model,Fold,CM_post-void_pred_post-void,CM_post-void_pred_pre-void,CM_post-void_pred_void,CM_pre-void_pred_post-void,CM_pre-void_pred_pre-void,CM_pre-void_pred_void,CM_void_pred_post-void,CM_void_pred_pre-void,CM_void_pred_void
0,RF,1,365,106,185,50,67,143,191,36,318
1,RF,2,233,6,87,81,21,84,214,21,189
2,RF,3,224,5,193,140,10,75,106,2,486
3,RF,4,147,72,112,24,106,74,45,49,451
4,RF,5,212,14,194,237,22,170,16,1,282
5,XGB,1,381,107,168,47,78,135,184,56,305
6,XGB,2,189,10,127,61,39,86,178,21,225
7,XGB,3,153,14,255,96,58,71,63,16,515
8,XGB,4,184,18,129,60,55,89,53,5,487
9,XGB,5,229,20,171,249,31,149,46,23,230
10,DT,1,423,0,233,105,0,155,219,0,326
11,DT,2,177,0,149,77,0,109,136,0,288
12,DT,3,66,1,355,89,1,135,16,0,578
13,DT,4,222,0,109,126,0,78,88,0,457
14,DT,5,219,0,201,254,0,175,44,0,255
