,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Features_K,Score_Function,Best_Params,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
10,DT,1,0.8319,0.8369,0.841,0.8317,0.8472,0.8319,0.8324,0.754,0.9137,0.8262,0.9197,0.7683,0.8372,0.8742,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",10.0,f_classif,,3.0,7.0,8.0,sqrt,,,,,,,,,,gini,random
11,DT,2,0.5284,0.534,0.534,0.5284,0.5393,0.5284,0.5282,0.5873,0.4774,0.5267,0.4808,0.5906,0.53,0.5335,71,f_classif,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 4, 'clf__min_samples_split': 6, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",71.0,f_classif,,4.0,6.0,8.0,sqrt,,,,,,,,,,gini,random
12,DT,3,0.7855,0.8057,0.8157,0.7851,0.8392,0.7855,0.7872,0.6543,0.9521,0.7756,0.957,0.6794,0.7946,0.8281,71,f_classif,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 7, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': None}",71.0,f_classif,,2.0,7.0,7.0,,,,,,,,,,,gini,random
13,DT,4,0.7337,0.7194,0.6923,0.6992,0.7279,0.7337,0.725,0.6855,0.5291,0.5973,0.7532,0.8555,0.8011,0.7871,20,f_classif,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 3, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': None}",20.0,f_classif,,2.0,18.0,3.0,,,,,,,,,,,gini,random
14,DT,5,0.6447,0.6461,0.6558,0.6395,0.6777,0.6447,0.6503,0.5194,0.7004,0.5965,0.7727,0.6112,0.6826,0.6694,51,f_classif,"{'selector__k': 51, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",51.0,f_classif,,2.0,20.0,10.0,sqrt,,balanced,,,,,,,,gini,best
15,RF,MEAN,0.7149,0.7241,0.7268,0.7092,0.7425,0.7149,0.7124,0.6698,0.7117,0.6724,0.7784,0.7419,0.7459,0.7912,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
16,RF,STD,0.1174,0.099,0.1054,0.1185,0.0998,0.1174,0.1246,0.1006,0.2058,0.1307,0.1636,0.12,0.1098,0.1259,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
17,XGB,MEAN,0.7168,0.7187,0.7142,0.7087,0.7316,0.7168,0.7167,0.6852,0.6925,0.6791,0.7523,0.736,0.7383,0.7847,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
18,XGB,STD,0.1027,0.103,0.0947,0.0977,0.1006,0.1027,0.1008,0.1303,0.0901,0.0631,0.1376,0.165,0.1333,0.1167,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
19,DT,MEAN,0.7048,0.7084,0.7078,0.6968,0.7263,0.7048,0.7046,0.6401,0.7145,0.6645,0.7767,0.701,0.7291,0.7385,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
20,DT,STD,0.1207,0.1229,0.125,0.12,0.1272,0.1207,0.12,0.0903,0.2162,0.1291,0.1878,0.1108,0.1255,0.1375,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
