,Model,Fold,K_Parameter,N_Features_Selected,Score_Function,Feature_Proportion
0,RF,1,91,91,f_classif,0.892
1,RF,2,30,30,f_classif,0.294
2,RF,3,40,40,f_classif,0.392
3,RF,4,81,81,f_classif,0.794
4,RF,5,51,51,f_classif,0.5
5,XGB,1,20,20,f_classif,0.196
6,XGB,2,30,30,f_classif,0.294
7,XGB,3,40,40,f_classif,0.392
8,XGB,4,51,51,f_classif,0.5
9,XGB,5,20,20,f_classif,0.196
10,DT,1,all,102,f_classif,1.0
11,DT,2,71,71,f_classif,0.696
12,DT,3,30,30,f_classif,0.294
13,DT,4,40,40,f_classif,0.392
14,DT,5,81,81,f_classif,0.794
