,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Features_K,Score_Function,Best_Params,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
10,DT,1,0.6,0.6011,0.6037,0.5979,0.6137,0.6,0.6025,0.6812,0.5802,0.6267,0.5211,0.6271,0.5692,0.6362,71,f_classif,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_split': 9, 'clf__min_samples_leaf': 8, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': None}",71.0,f_classif,,3.0,9.0,8.0,,,,,,,,,,,gini,random
11,DT,2,0.6308,0.6825,0.6562,0.6236,0.698,0.6308,0.6174,0.5515,0.8721,0.6757,0.8136,0.4404,0.5714,0.693,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",10.0,f_classif,,3.0,7.0,8.0,sqrt,,,,,,,,,,gini,random
12,DT,3,0.6433,0.6025,0.5491,0.5224,0.6169,0.6433,0.5854,0.5476,0.1901,0.2822,0.6573,0.9082,0.7627,0.6683,20,f_classif,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 9, 'clf__min_samples_leaf': 10, 'clf__max_features': 'log2', 'clf__splitter': 'random', 'clf__class_weight': None}",20.0,f_classif,,2.0,9.0,10.0,log2,,,,,,,,,,gini,random
13,DT,4,0.7093,0.727,0.7536,0.705,0.7904,0.7093,0.717,0.538,0.8854,0.6693,0.916,0.6218,0.7407,0.7536,30,f_classif,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 1, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__splitter': 'best', 'clf__class_weight': None}",30.0,f_classif,,1.0,10.0,1.0,sqrt,,,,,,,,,,gini,best
14,DT,5,0.7119,0.7707,0.758,0.7113,0.8131,0.7119,0.7087,0.5779,0.9674,0.7236,0.9634,0.5486,0.6991,0.758,71,f_classif,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 1, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 7, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': None}",71.0,f_classif,,1.0,10.0,7.0,,,,,,,,,,,gini,random
15,RF,MEAN,0.6999,0.6961,0.7034,0.692,0.7182,0.6999,0.7015,0.6448,0.6724,0.6498,0.7474,0.7344,0.7342,0.7772,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
16,RF,STD,0.0657,0.0485,0.0568,0.0599,0.0572,0.0657,0.0686,0.0471,0.1187,0.0431,0.1416,0.0366,0.0788,0.0657,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
17,XGB,MEAN,0.6874,0.6828,0.6834,0.673,0.7027,0.6874,0.6851,0.6425,0.6048,0.6117,0.7232,0.762,0.7342,0.7711,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
18,XGB,STD,0.0809,0.0618,0.0738,0.0786,0.0691,0.0809,0.0863,0.044,0.1639,0.0857,0.1495,0.0377,0.0855,0.0685,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
19,DT,MEAN,0.6591,0.6768,0.6641,0.632,0.7064,0.6591,0.6462,0.5792,0.699,0.5955,0.7743,0.6292,0.6686,0.7018,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
20,DT,STD,0.0496,0.0752,0.0919,0.0788,0.0937,0.0496,0.062,0.0589,0.3201,0.1785,0.1838,0.1732,0.0926,0.0533,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
