,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Best_Params,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.6578,0.6454,0.6429,0.6438,0.6553,0.6578,0.6562,0.589,0.5584,0.5733,0.7018,0.7273,0.7143,0.7051,"{'n_estimators': 251, 'max_depth': 4, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_features': None, 'bootstrap': True}",251.0,4.0,7.0,4.0,,True,,,,,,,,,
1,RF,2,0.7046,0.6896,0.6446,0.6488,0.6968,0.7046,0.6852,0.6615,0.4135,0.5089,0.7176,0.8757,0.7888,0.6886,"{'n_estimators': 381, 'max_depth': 3, 'min_samples_split': 4, 'min_samples_leaf': 6, 'max_features': None, 'bootstrap': False}",381.0,3.0,4.0,6.0,,False,,,,,,,,,
2,RF,3,0.7669,0.7519,0.7633,0.7556,0.7757,0.7669,0.7694,0.6618,0.75,0.7031,0.8421,0.7767,0.8081,0.8731,"{'n_estimators': 398, 'max_depth': 3, 'min_samples_split': 16, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'bootstrap': False}",398.0,3.0,16.0,9.0,sqrt,False,,,,,,,,,
3,RF,4,0.6333,0.663,0.6498,0.6296,0.6729,0.6333,0.6259,0.7619,0.4848,0.5926,0.5641,0.8148,0.6667,0.718,"{'n_estimators': 133, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': None, 'bootstrap': True}",133.0,20.0,2.0,5.0,,True,,,,,,,,,
4,RF,5,0.6364,0.6483,0.6505,0.6361,0.6654,0.6364,0.6377,0.5465,0.7344,0.6267,0.75,0.5667,0.6456,0.7354,"{'n_estimators': 187, 'max_depth': 4, 'min_samples_split': 15, 'min_samples_leaf': 5, 'max_features': 'log2', 'bootstrap': True}",187.0,4.0,15.0,5.0,log2,True,,,,,,,,,
5,XGB,1,0.6524,0.6417,0.6422,0.6419,0.6531,0.6524,0.6527,0.5769,0.5844,0.5806,0.7064,0.7,0.7032,0.7002,"{'n_estimators': 199, 'max_depth': 11, 'learning_rate': 0.07678027813442681, 'subsample': 0.894462815524706, 'colsample_bytree': 0.8606059607435503, 'min_child_weight': 6, 'gamma': 4.739716458612205, 'reg_alpha': 1.8736501604697244, 'reg_lambda': 1.3151109242454377}",199.0,11.0,,,,,0.07678027813442681,0.894462815524706,0.8606059607435503,6.0,4.739716458612205,1.8736501604697244,1.3151109242454377,,
6,XGB,2,0.7189,0.7023,0.6698,0.6762,0.7115,0.7189,0.7067,0.6667,0.4808,0.5587,0.7379,0.8588,0.7937,0.7797,"{'n_estimators': 342, 'max_depth': 3, 'learning_rate': 0.13440516622975235, 'subsample': 0.7285508514402264, 'colsample_bytree': 0.7321846594500292, 'min_child_weight': 7, 'gamma': 4.785653808436655, 'reg_alpha': 0.7581750543572485, 'reg_lambda': 1.131317231271197}",342.0,3.0,,,,,0.13440516622975235,0.7285508514402264,0.7321846594500292,7.0,4.785653808436655,0.7581750543572485,1.131317231271197,,
7,XGB,3,0.773,0.7568,0.7647,0.76,0.7779,0.773,0.7747,0.6769,0.7333,0.704,0.8367,0.7961,0.8159,0.8649,"{'n_estimators': 176, 'max_depth': 8, 'learning_rate': 0.03871117718679718, 'subsample': 0.6186458766901913, 'colsample_bytree': 0.893006254363047, 'min_child_weight': 1, 'gamma': 4.768950473266832, 'reg_alpha': 1.327591673354749, 'reg_lambda': 0.5863540545563024}",176.0,8.0,,,,,0.03871117718679718,0.6186458766901913,0.893006254363047,1.0,4.768950473266832,1.327591673354749,0.5863540545563024,,
8,XGB,4,0.5833,0.623,0.6044,0.5737,0.6329,0.5833,0.5673,0.7222,0.3939,0.5098,0.5238,0.8148,0.6377,0.6633,"{'n_estimators': 287, 'max_depth': 3, 'learning_rate': 0.05216702167766566, 'subsample': 0.6140193348236005, 'colsample_bytree': 0.8801910641175691, 'min_child_weight': 7, 'gamma': 4.539243157256379, 'reg_alpha': 0.7992877375084741, 'reg_lambda': 0.7760168946875765}",287.0,3.0,,,,,0.05216702167766566,0.6140193348236005,0.8801910641175691,7.0,4.539243157256379,0.7992877375084741,0.7760168946875765,,
9,XGB,5,0.6753,0.6765,0.6816,0.6733,0.6911,0.6753,0.6776,0.5897,0.7188,0.6479,0.7632,0.6444,0.6988,0.7465,"{'n_estimators': 50, 'max_depth': 9, 'learning_rate': 0.23737396150606044, 'subsample': 0.8490475917649614, 'colsample_bytree': 0.6870748705312015, 'min_child_weight': 3, 'gamma': 2.871421244274834, 'reg_alpha': 1.5030866451410132, 'reg_lambda': 0.017847398880368653}",50.0,9.0,,,,,0.23737396150606044,0.8490475917649614,0.6870748705312015,3.0,2.871421244274834,1.5030866451410132,0.017847398880368653,,
