,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Features_K,Score_Function,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.6395,0.6338,0.5432,0.5614,0.6327,0.6395,0.6153,0.7185,0.7797,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 320, 'clf__max_depth': 9, 'clf__min_samples_split': 6, 'clf__min_samples_leaf': 8, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",0.5333,0.3967,0.455,0.6506,0.7027,0.3562,0.4727,0.7646,0.6655,0.8768,0.7566,0.7404,all,f_classif,320.0,9.0,6.0,8.0,log2,True,,,,,,,,,,
1,RF,2,0.5522,0.5396,0.5292,0.4914,0.5551,0.5522,0.5184,0.711,0.7137,91,f_classif,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 366, 'clf__max_depth': 11, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 6, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",0.6145,0.6728,0.6423,0.6805,0.5254,0.1606,0.246,0.6287,0.4787,0.7542,0.5857,0.8238,91,f_classif,366.0,11.0,14.0,6.0,log2,True,,,,,,,,,,
2,RF,3,0.526,0.5231,0.5004,0.5029,0.5377,0.526,0.5238,0.6877,0.7017,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 332, 'clf__max_depth': 13, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 9, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",0.4685,0.6303,0.5375,0.7023,0.4918,0.3614,0.4167,0.6949,0.6089,0.5093,0.5547,0.6659,all,f_classif,332.0,13.0,2.0,9.0,log2,True,,,,,,,,,,
3,RF,4,0.4906,0.4426,0.4264,0.4156,0.4696,0.4906,0.4662,0.6745,0.7031,91,f_classif,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 257, 'clf__max_depth': 4, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",0.3901,0.4545,0.4198,0.6411,0.3548,0.1341,0.1947,0.6749,0.5829,0.6905,0.6322,0.7075,91,f_classif,257.0,4.0,17.0,2.0,sqrt,False,,,,,,,,,,
4,RF,5,0.6381,0.6262,0.6067,0.6021,0.636,0.6381,0.6221,0.7807,0.8005,91,f_classif,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 461, 'clf__max_depth': 4, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",0.6543,0.3985,0.4953,0.7477,0.5505,0.5556,0.553,0.7551,0.6739,0.8659,0.7579,0.8391,91,f_classif,461.0,4.0,7.0,2.0,sqrt,False,balanced,,,,,,,,,
5,XGB,1,0.6617,0.681,0.5633,0.5863,0.6664,0.6617,0.6381,0.722,0.7834,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 129, 'clf__max_depth': 3, 'clf__learning_rate': 0.02322603960091936, 'clf__subsample': 0.7302296268952491, 'clf__colsample_bytree': 0.6531452644460557, 'clf__min_child_weight': 10, 'clf__gamma': 2.877422908712113, 'clf__reg_alpha': 1.8499182119076873, 'clf__reg_lambda': 1.687494586629857}",0.5824,0.438,0.5,0.641,0.7879,0.3562,0.4906,0.7805,0.6726,0.8957,0.7683,0.7444,all,f_classif,129.0,3.0,,,,,,0.02322603960091936,0.7302296268952491,0.6531452644460557,10.0,2.877422908712113,1.8499182119076873,1.687494586629857,,
6,XGB,2,0.5522,0.5479,0.5324,0.4931,0.5642,0.5522,0.5198,0.7057,0.7008,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 54, 'clf__max_depth': 5, 'clf__learning_rate': 0.05873675677326437, 'clf__subsample': 0.7356682748058303, 'clf__colsample_bytree': 0.6664570600484175, 'clf__min_child_weight': 10, 'clf__gamma': 4.053139577562113, 'clf__reg_alpha': 1.8610901743825718, 'clf__reg_lambda': 1.4384399537599672}",0.6243,0.6606,0.6419,0.6678,0.5517,0.1658,0.255,0.6366,0.4678,0.7709,0.5823,0.8126,all,f_classif,54.0,5.0,,,,,,0.05873675677326437,0.7356682748058303,0.6664570600484175,10.0,4.053139577562113,1.8610901743825718,1.4384399537599672,,
7,XGB,3,0.5476,0.5381,0.5235,0.527,0.5537,0.5476,0.5473,0.6937,0.7074,91,f_classif,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 233, 'clf__max_depth': 8, 'clf__learning_rate': 0.02619517984864762, 'clf__subsample': 0.8548615315474469, 'clf__colsample_bytree': 0.6629690166124419, 'clf__min_child_weight': 2, 'clf__gamma': 4.972897720432139, 'clf__reg_alpha': 1.5303690268217116, 'clf__reg_lambda': 1.644941234224573}",0.4925,0.6,0.541,0.6826,0.5,0.4096,0.4503,0.7112,0.6218,0.5607,0.5897,0.6873,91,f_classif,233.0,8.0,,,,,,0.02619517984864762,0.8548615315474469,0.6629690166124419,2.0,4.972897720432139,1.5303690268217116,1.644941234224573,,
8,XGB,4,0.5229,0.4658,0.4544,0.4448,0.4938,0.5229,0.496,0.6804,0.706,91,f_classif,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 210, 'clf__max_depth': 5, 'clf__learning_rate': 0.014736389065213783, 'clf__subsample': 0.799641259075742, 'clf__colsample_bytree': 0.6005737563326596, 'clf__min_child_weight': 2, 'clf__gamma': 4.970774051468275, 'clf__reg_alpha': 1.839110027258638, 'clf__reg_lambda': 1.9252152686012947}",0.4545,0.4545,0.4545,0.6242,0.3514,0.1585,0.2185,0.7246,0.5915,0.75,0.6614,0.6924,91,f_classif,210.0,5.0,,,,,,0.014736389065213783,0.799641259075742,0.6005737563326596,2.0,4.970774051468275,1.839110027258638,1.9252152686012947,,
9,XGB,5,0.6381,0.6795,0.5886,0.5846,0.6676,0.6381,0.6117,0.7735,0.7853,91,f_classif,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 162, 'clf__max_depth': 3, 'clf__learning_rate': 0.010048541371720402, 'clf__subsample': 0.9683926878657508, 'clf__colsample_bytree': 0.6350592574564418, 'clf__min_child_weight': 2, 'clf__gamma': 3.3661404792290686, 'clf__reg_alpha': 0.756085296587504, 'clf__reg_lambda': 1.0281977330936172}",0.5857,0.6165,0.6007,0.7231,0.8108,0.2778,0.4138,0.773,0.642,0.8715,0.7393,0.8243,91,f_classif,162.0,3.0,,,,,,0.010048541371720402,0.9683926878657508,0.6350592574564418,2.0,3.3661404792290686,0.756085296587504,1.0281977330936172,,
