Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,Features_K,Score_Function,Best_Params,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
RF,1,0.7746,0.743,0.7487,0.7456,0.7776,0.7746,0.7759,0.6448,0.6754,0.6598,0.8412,0.8221,0.8315,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__n_estimators': 410, 'clf__max_depth': 8, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 5, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",94,f_classif,410.0,8.0,13.0,5.0,log2,True,balanced,,,,,,,,,
RF,2,0.7829,0.7804,0.8088,0.7771,0.8251,0.7829,0.788,0.6331,0.8943,0.7414,0.9276,0.7234,0.8129,52,f_classif,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__n_estimators': 288, 'clf__max_depth': 13, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",52,f_classif,288.0,13.0,17.0,4.0,sqrt,False,,,,,,,,,,
RF,3,0.7653,0.773,0.7844,0.764,0.7986,0.7653,0.7677,0.6509,0.8755,0.7467,0.895,0.6934,0.7814,42,f_classif,"{'selector__k': 42, 'selector__score_func': 'f_classif', 'clf__n_estimators': 411, 'clf__max_depth': 6, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",42,f_classif,411.0,6.0,13.0,7.0,sqrt,False,,,,,,,,,,
RF,4,0.738,0.7493,0.7419,0.7368,0.7517,0.738,0.7361,0.8128,0.6441,0.7187,0.6857,0.8396,0.7549,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 455, 'clf__max_depth': 10, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 7, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",73,f_classif,455.0,10.0,2.0,7.0,log2,False,balanced,,,,,,,,,
RF,5,0.814,0.8132,0.8143,0.8135,0.8148,0.814,0.8142,0.7904,0.8178,0.8039,0.8361,0.8107,0.8232,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 297, 'clf__max_depth': 9, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 3, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",73,f_classif,297.0,9.0,10.0,3.0,log2,False,balanced,,,,,,,,,
XGB,1,0.7671,0.7339,0.7324,0.7331,0.7664,0.7671,0.7667,0.6418,0.634,0.6378,0.826,0.8308,0.8284,84,f_classif,"{'selector__k': 84, 'selector__score_func': 'f_classif', 'clf__n_estimators': 110, 'clf__max_depth': 6, 'clf__learning_rate': 0.015465913515231381, 'clf__subsample': 0.677224892366106, 'clf__colsample_bytree': 0.6038800597753199, 'clf__min_child_weight': 9, 'clf__gamma': 4.300196102040087, 'clf__reg_alpha': 1.3241833565876329, 'clf__reg_lambda': 0.20894754950702768}",84,f_classif,110.0,6.0,,,,,,0.015465913515231381,0.677224892366106,0.6038800597753199,9.0,4.300196102040087,1.3241833565876329,0.20894754950702768,,
XGB,2,0.7817,0.7828,0.8116,0.7768,0.8296,0.7817,0.7868,0.6287,0.9099,0.7436,0.9368,0.7132,0.8099,52,f_classif,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__n_estimators': 129, 'clf__max_depth': 3, 'clf__learning_rate': 0.04553684532317553, 'clf__subsample': 0.7514972659882362, 'clf__colsample_bytree': 0.8853655486676323, 'clf__min_child_weight': 9, 'clf__gamma': 0.7938576352287963, 'clf__reg_alpha': 0.007018696814178965, 'clf__reg_lambda': 1.6297365372497081}",52,f_classif,129.0,3.0,,,,,,0.04553684532317553,0.7514972659882362,0.8853655486676323,9.0,0.7938576352287963,0.007018696814178965,1.6297365372497081,,
XGB,3,0.7646,0.7537,0.7539,0.7538,0.7647,0.7646,0.7646,0.7014,0.7034,0.7024,0.806,0.8045,0.8052,42,f_classif,"{'selector__k': 42, 'selector__score_func': 'f_classif', 'clf__n_estimators': 77, 'clf__max_depth': 6, 'clf__learning_rate': 0.03452601603333797, 'clf__subsample': 0.9445646275427255, 'clf__colsample_bytree': 0.6506091688707183, 'clf__min_child_weight': 7, 'clf__gamma': 1.557694865684895, 'clf__reg_alpha': 1.8709754833274472, 'clf__reg_lambda': 0.08934261077198846}",42,f_classif,77.0,6.0,,,,,,0.03452601603333797,0.9445646275427255,0.6506091688707183,7.0,1.557694865684895,1.8709754833274472,0.08934261077198846,,
XGB,4,0.7188,0.7396,0.7241,0.7154,0.7428,0.7188,0.7142,0.8207,0.5869,0.6844,0.6585,0.8614,0.7464,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 182, 'clf__max_depth': 3, 'clf__learning_rate': 0.019087455461355006, 'clf__subsample': 0.8577549276676641, 'clf__colsample_bytree': 0.6739321497230917, 'clf__min_child_weight': 5, 'clf__gamma': 2.2521755656595843, 'clf__reg_alpha': 1.2240566635652614, 'clf__reg_lambda': 0.7208282744216921}",all,f_classif,182.0,3.0,,,,,,0.019087455461355006,0.8577549276676641,0.6739321497230917,5.0,2.2521755656595843,1.2240566635652614,0.7208282744216921,,
XGB,5,0.8004,0.8028,0.7963,0.7978,0.8018,0.8004,0.7994,0.8177,0.7358,0.7746,0.788,0.8568,0.821,84,f_classif,"{'selector__k': 84, 'selector__score_func': 'f_classif', 'clf__n_estimators': 73, 'clf__max_depth': 3, 'clf__learning_rate': 0.03542575605818419, 'clf__subsample': 0.8435812686176722, 'clf__colsample_bytree': 0.6641542659513808, 'clf__min_child_weight': 9, 'clf__gamma': 2.5378660082870863, 'clf__reg_alpha': 0.6782559523421158, 'clf__reg_lambda': 1.5667226796519653}",84,f_classif,73.0,3.0,,,,,,0.03542575605818419,0.8435812686176722,0.6641542659513808,9.0,2.5378660082870863,0.6782559523421158,1.5667226796519653,,
