Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,Features_K,Score_Function,Best_Params,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
RF,1,0.7555,0.7231,0.7389,0.7288,0.7675,0.7555,0.7597,0.6009,0.6931,0.6437,0.8454,0.7847,0.8139,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 336, 'clf__max_depth': 6, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",all,f_classif,336.0,6.0,12.0,10.0,sqrt,False,balanced,,,,,,,,,
RF,2,0.8123,0.8039,0.8363,0.8055,0.8479,0.8123,0.817,0.6645,0.9123,0.7689,0.9433,0.7603,0.842,52,f_classif,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__n_estimators': 220, 'clf__max_depth': 11, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",52,f_classif,220.0,11.0,14.0,3.0,sqrt,True,,,,,,,,,,
RF,3,0.779,0.7745,0.7877,0.775,0.7957,0.779,0.7816,0.6778,0.8273,0.7451,0.8712,0.7481,0.805,52,f_classif,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__n_estimators': 316, 'clf__max_depth': 11, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",52,f_classif,316.0,11.0,18.0,2.0,sqrt,True,,,,,,,,,,
RF,4,0.7151,0.7483,0.7213,0.7087,0.7518,0.7151,0.7072,0.8484,0.5476,0.6656,0.6481,0.8949,0.7518,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 350, 'clf__max_depth': 19, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",73,f_classif,350.0,19.0,20.0,5.0,sqrt,True,,,,,,,,,,
RF,5,0.813,0.8124,0.8106,0.8113,0.8128,0.813,0.8128,0.8066,0.7809,0.7935,0.8182,0.8404,0.8291,84,f_classif,"{'selector__k': 84, 'selector__score_func': 'f_classif', 'clf__n_estimators': 225, 'clf__max_depth': 12, 'clf__min_samples_split': 4, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",84,f_classif,225.0,12.0,4.0,3.0,sqrt,False,balanced,,,,,,,,,
XGB,1,0.7522,0.714,0.7086,0.7111,0.7494,0.7522,0.7506,0.6166,0.5882,0.6021,0.8115,0.8289,0.8201,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 92, 'clf__max_depth': 11, 'clf__learning_rate': 0.021286495908069115, 'clf__subsample': 0.849406345573228, 'clf__colsample_bytree': 0.6265745368165254, 'clf__min_child_weight': 4, 'clf__gamma': 2.3667275233668827, 'clf__reg_alpha': 0.9954821792515546, 'clf__reg_lambda': 1.1509547845036605}",all,f_classif,92.0,11.0,,,,,,0.021286495908069115,0.849406345573228,0.6265745368165254,4.0,2.3667275233668827,0.9954821792515546,1.1509547845036605,,
XGB,2,0.7838,0.7824,0.8135,0.7779,0.8313,0.7838,0.7893,0.6273,0.9079,0.7419,0.9375,0.7192,0.814,52,f_classif,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__n_estimators': 182, 'clf__max_depth': 6, 'clf__learning_rate': 0.015327721389306907, 'clf__subsample': 0.6601297038645116, 'clf__colsample_bytree': 0.6382061214601005, 'clf__min_child_weight': 2, 'clf__gamma': 0.3517836617849681, 'clf__reg_alpha': 0.614344116960182, 'clf__reg_lambda': 1.0718971043136998}",52,f_classif,182.0,6.0,,,,,,0.015327721389306907,0.6601297038645116,0.6382061214601005,2.0,0.3517836617849681,0.614344116960182,1.0718971043136998,,
XGB,3,0.6938,0.6922,0.7019,0.6896,0.7156,0.6938,0.6975,0.5856,0.7386,0.6532,0.7989,0.6651,0.7259,21,f_classif,"{'selector__k': 21, 'selector__score_func': 'f_classif', 'clf__n_estimators': 489, 'clf__max_depth': 10, 'clf__learning_rate': 0.06672272388297532, 'clf__subsample': 0.6722167794688765, 'clf__colsample_bytree': 0.8736400537839205, 'clf__min_child_weight': 7, 'clf__gamma': 4.995062390972044, 'clf__reg_alpha': 1.9288398581964108, 'clf__reg_lambda': 1.0735164047716481}",21,f_classif,489.0,10.0,,,,,,0.06672272388297532,0.6722167794688765,0.8736400537839205,7.0,4.995062390972044,1.9288398581964108,1.0735164047716481,,
XGB,4,0.6986,0.7124,0.7027,0.6961,0.7147,0.6986,0.6952,0.7762,0.5873,0.6687,0.6486,0.8182,0.7236,52,f_classif,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__n_estimators': 51, 'clf__max_depth': 3, 'clf__learning_rate': 0.08328179992489314, 'clf__subsample': 0.640828613274397, 'clf__colsample_bytree': 0.8044932740411616, 'clf__min_child_weight': 5, 'clf__gamma': 0.596933717891501, 'clf__reg_alpha': 0.14460433687147728, 'clf__reg_lambda': 1.7814855555869766}",52,f_classif,51.0,3.0,,,,,,0.08328179992489314,0.640828613274397,0.8044932740411616,5.0,0.596933717891501,0.14460433687147728,1.7814855555869766,,
XGB,5,0.802,0.8039,0.7972,0.7989,0.803,0.802,0.8009,0.815,0.7371,0.7741,0.7928,0.8574,0.8238,84,f_classif,"{'selector__k': 84, 'selector__score_func': 'f_classif', 'clf__n_estimators': 235, 'clf__max_depth': 4, 'clf__learning_rate': 0.015127000210610331, 'clf__subsample': 0.831570870804152, 'clf__colsample_bytree': 0.7166350716889853, 'clf__min_child_weight': 9, 'clf__gamma': 4.524133486953402, 'clf__reg_alpha': 1.0937467969464028, 'clf__reg_lambda': 1.808982905613443}",84,f_classif,235.0,4.0,,,,,,0.015127000210610331,0.831570870804152,0.7166350716889853,9.0,4.524133486953402,1.0937467969464028,1.808982905613443,,
