Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,Features_K,Score_Function,Best_Params,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
RF,1,0.7793,0.754,0.7565,0.7552,0.7804,0.7793,0.7798,0.6716,0.6853,0.6784,0.8364,0.8277,0.832,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__n_estimators': 363, 'clf__max_depth': 12, 'clf__min_samples_split': 6, 'clf__min_samples_leaf': 8, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",94,f_classif,363.0,12.0,6.0,8.0,log2,False,balanced,,,,,,,,,
RF,2,0.8464,0.8375,0.8562,0.8417,0.8601,0.8464,0.8485,0.7464,0.8957,0.8142,0.9286,0.8168,0.8691,52,f_classif,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__n_estimators': 255, 'clf__max_depth': 12, 'clf__min_samples_split': 6, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",52,f_classif,255.0,12.0,6.0,5.0,sqrt,False,,,,,,,,,,
RF,3,0.8136,0.8128,0.8217,0.8122,0.8261,0.8136,0.8149,0.7328,0.8702,0.7956,0.8929,0.7732,0.8287,52,f_classif,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__n_estimators': 188, 'clf__max_depth': 10, 'clf__min_samples_split': 9, 'clf__min_samples_leaf': 2, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': None}",52,f_classif,188.0,10.0,9.0,2.0,log2,False,,,,,,,,,,
RF,4,0.7101,0.7439,0.7302,0.7086,0.7597,0.7101,0.706,0.871,0.5684,0.6879,0.6168,0.8919,0.7293,84,f_classif,"{'selector__k': 84, 'selector__score_func': 'f_classif', 'clf__n_estimators': 238, 'clf__max_depth': 11, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",84,f_classif,238.0,11.0,7.0,5.0,sqrt,False,balanced,,,,,,,,,
RF,5,0.8552,0.8553,0.8551,0.8551,0.8553,0.8552,0.8552,0.8594,0.8458,0.8526,0.8511,0.8643,0.8577,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 255, 'clf__max_depth': 13, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 4, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",73,f_classif,255.0,13.0,19.0,4.0,log2,False,balanced,,,,,,,,,
XGB,1,0.7517,0.7236,0.7257,0.7246,0.753,0.7517,0.7523,0.6318,0.6447,0.6382,0.8153,0.8068,0.811,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 124, 'clf__max_depth': 10, 'clf__learning_rate': 0.01617200811462791, 'clf__subsample': 0.8284916579461876, 'clf__colsample_bytree': 0.6883369917297638, 'clf__min_child_weight': 5, 'clf__gamma': 4.4180806677315125, 'clf__reg_alpha': 1.4810355970481497, 'clf__reg_lambda': 1.3506983548186606}",all,f_classif,124.0,10.0,,,,,,0.01617200811462791,0.8284916579461876,0.6883369917297638,5.0,4.4180806677315125,1.4810355970481497,1.3506983548186606,,
XGB,2,0.8039,0.8056,0.8256,0.8012,0.8374,0.8039,0.807,0.6774,0.913,0.7778,0.9338,0.7382,0.8246,52,f_classif,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__n_estimators': 273, 'clf__max_depth': 12, 'clf__learning_rate': 0.022552966961066134, 'clf__subsample': 0.7100735119679217, 'clf__colsample_bytree': 0.6288162116102994, 'clf__min_child_weight': 2, 'clf__gamma': 3.3838443345596834, 'clf__reg_alpha': 1.8723712970954094, 'clf__reg_lambda': 1.2767093100313651}",52,f_classif,273.0,12.0,,,,,,0.022552966961066134,0.7100735119679217,0.6288162116102994,2.0,3.3838443345596834,1.8723712970954094,1.2767093100313651,,
XGB,3,0.7335,0.7387,0.7447,0.7326,0.7546,0.7335,0.7351,0.6426,0.8125,0.7176,0.8347,0.677,0.7476,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__n_estimators': 249, 'clf__max_depth': 9, 'clf__learning_rate': 0.013260453635813036, 'clf__subsample': 0.7369413354262115, 'clf__colsample_bytree': 0.772891476183738, 'clf__min_child_weight': 7, 'clf__gamma': 0.9642276849731108, 'clf__reg_alpha': 0.41626775210599426, 'clf__reg_lambda': 0.6409463379769057}",31,f_classif,249.0,9.0,,,,,,0.013260453635813036,0.7369413354262115,0.772891476183738,7.0,0.9642276849731108,0.41626775210599426,0.6409463379769057,,
XGB,4,0.7604,0.7822,0.7764,0.7601,0.7966,0.7604,0.7591,0.8978,0.6474,0.7523,0.6667,0.9054,0.7679,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__n_estimators': 341, 'clf__max_depth': 5, 'clf__learning_rate': 0.01749014110345943, 'clf__subsample': 0.6358204937364779, 'clf__colsample_bytree': 0.6963792969396917, 'clf__min_child_weight': 9, 'clf__gamma': 2.7870760119489106, 'clf__reg_alpha': 1.1332012543063168, 'clf__reg_lambda': 1.4848075349067504}",94,f_classif,341.0,5.0,,,,,,0.01749014110345943,0.6358204937364779,0.6963792969396917,9.0,2.7870760119489106,1.1332012543063168,1.4848075349067504,,
XGB,5,0.8043,0.8099,0.8036,0.8032,0.8095,0.8043,0.8033,0.8493,0.7352,0.7881,0.7705,0.8721,0.8182,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__n_estimators': 75, 'clf__max_depth': 5, 'clf__learning_rate': 0.025128819857770587, 'clf__subsample': 0.7495730371503454, 'clf__colsample_bytree': 0.6666326369671716, 'clf__min_child_weight': 10, 'clf__gamma': 3.7503807703117076, 'clf__reg_alpha': 0.7727137010706535, 'clf__reg_lambda': 0.44185238495219004}",94,f_classif,75.0,5.0,,,,,,0.025128819857770587,0.7495730371503454,0.6666326369671716,10.0,3.7503807703117076,0.7727137010706535,0.44185238495219004,,
DT,1,0.7707,0.7505,0.7709,0.7558,0.7881,0.7707,0.7752,0.6333,0.7716,0.6957,0.8676,0.7702,0.816,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 1, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__splitter': 'best', 'clf__class_weight': None}",31,f_classif,,1.0,10.0,1.0,sqrt,,,,,,,,,,gini,best
DT,2,0.7647,0.7858,0.7994,0.7639,0.8259,0.7647,0.7673,0.6243,0.9391,0.75,0.9474,0.6597,0.7778,52,f_classif,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",52,f_classif,,2.0,20.0,10.0,sqrt,,balanced,,,,,,,,gini,best
DT,3,0.6794,0.7569,0.7196,0.6745,0.7883,0.6794,0.6679,0.5682,0.9615,0.7143,0.9456,0.4777,0.6347,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__criterion': 'entropy', 'clf__max_depth': 3, 'clf__min_samples_split': 15, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",31,f_classif,,3.0,15.0,8.0,sqrt,,,,,,,,,,entropy,random
DT,4,0.7189,0.7295,0.7298,0.7189,0.7406,0.7189,0.719,0.8188,0.6421,0.7198,0.6402,0.8176,0.7181,84,f_classif,"{'selector__k': 84, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 1, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 9, 'clf__max_features': 'log2', 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",84,f_classif,,1.0,18.0,9.0,log2,,balanced,,,,,,,,gini,best
DT,5,0.5988,0.7762,0.6027,0.5263,0.7784,0.5988,0.5244,0.5524,1.0,0.7117,1.0,0.2054,0.3408,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 1, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",73,f_classif,,1.0,13.0,8.0,sqrt,,,,,,,,,,gini,random
RF,MEAN,0.8009,0.8007,0.8039,0.7946,0.8163,0.8009,0.8009,0.7762,0.7731,0.7657,0.8252,0.8348,0.8234,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
RF,STD,0.0589,0.0497,0.0578,0.0615,0.0448,0.0589,0.061,0.0861,0.1409,0.0782,0.122,0.0456,0.0553,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
XGB,MEAN,0.7708,0.772,0.7752,0.7643,0.7902,0.7708,0.7714,0.7398,0.7506,0.7348,0.8042,0.7999,0.7939,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
XGB,STD,0.0319,0.0391,0.041,0.037,0.0364,0.0319,0.0321,0.1245,0.1144,0.0605,0.0973,0.0939,0.0341,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
