Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,Features_K,Score_Function,Best_Params,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
RF,1,0.7682,0.7362,0.7522,0.7422,0.7792,0.7682,0.772,0.6182,0.7083,0.6602,0.8542,0.7961,0.8241,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 328, 'clf__max_depth': 4, 'clf__min_samples_split': 6, 'clf__min_samples_leaf': 6, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",all,f_classif,328.0,4.0,6.0,6.0,log2,True,balanced,,,,,,,,,
RF,2,0.8125,0.803,0.831,0.8057,0.8411,0.8125,0.8166,0.6757,0.8929,0.7692,0.9302,0.7692,0.8421,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 351, 'clf__max_depth': 18, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 8, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",73,f_classif,351.0,18.0,12.0,8.0,log2,True,,,,,,,,,,
RF,3,0.7405,0.7498,0.7633,0.7386,0.7818,0.7405,0.7438,0.6143,0.86,0.7167,0.8852,0.6667,0.7606,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 463, 'clf__max_depth': 12, 'clf__min_samples_split': 9, 'clf__min_samples_leaf': 6, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",all,f_classif,463.0,12.0,9.0,6.0,log2,True,balanced,,,,,,,,,
RF,4,0.6705,0.7202,0.6936,0.6652,0.7358,0.6705,0.6605,0.8571,0.4898,0.6234,0.5833,0.8974,0.7071,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__n_estimators': 183, 'clf__max_depth': 11, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",94,f_classif,183.0,11.0,2.0,2.0,sqrt,False,balanced,,,,,,,,,
RF,5,0.7895,0.7921,0.7926,0.7895,0.7954,0.7895,0.7896,0.7429,0.8387,0.7879,0.8413,0.7465,0.791,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 483, 'clf__max_depth': 13, 'clf__min_samples_split': 11, 'clf__min_samples_leaf': 5, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",all,f_classif,483.0,13.0,11.0,5.0,log2,True,balanced,,,,,,,,,
XGB,1,0.7417,0.7017,0.6994,0.7005,0.7403,0.7417,0.741,0.5957,0.5833,0.5895,0.8077,0.8155,0.8116,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__n_estimators': 328, 'clf__max_depth': 11, 'clf__learning_rate': 0.12232956077406881, 'clf__subsample': 0.9352810866856994, 'clf__colsample_bytree': 0.8613647378427552, 'clf__min_child_weight': 1, 'clf__gamma': 4.765745081718396, 'clf__reg_alpha': 1.1927047588424542, 'clf__reg_lambda': 0.33967910594318584}",94,f_classif,328.0,11.0,,,,,,0.12232956077406881,0.9352810866856994,0.8613647378427552,1.0,4.765745081718396,1.1927047588424542,0.33967910594318584,,
XGB,2,0.825,0.8183,0.8489,0.8195,0.8585,0.825,0.8289,0.6842,0.9286,0.7879,0.9524,0.7692,0.8511,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 247, 'clf__max_depth': 12, 'clf__learning_rate': 0.034721387061418765, 'clf__subsample': 0.7809305251510433, 'clf__colsample_bytree': 0.8747942568961515, 'clf__min_child_weight': 4, 'clf__gamma': 3.973226820560444, 'clf__reg_alpha': 1.168285721382536, 'clf__reg_lambda': 1.9237018071335803}",73,f_classif,247.0,12.0,,,,,,0.034721387061418765,0.7809305251510433,0.8747942568961515,4.0,3.973226820560444,1.168285721382536,1.9237018071335803,,
XGB,3,0.7557,0.7606,0.7757,0.7533,0.791,0.7557,0.7591,0.6324,0.86,0.7288,0.8889,0.6914,0.7778,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__n_estimators': 457, 'clf__max_depth': 12, 'clf__learning_rate': 0.02031881976060475, 'clf__subsample': 0.8430156189646673, 'clf__colsample_bytree': 0.8713862084779178, 'clf__min_child_weight': 5, 'clf__gamma': 3.6160606613956943, 'clf__reg_alpha': 1.7438577410771972, 'clf__reg_lambda': 1.8890013880947396}",94,f_classif,457.0,12.0,,,,,,0.02031881976060475,0.8430156189646673,0.8713862084779178,5.0,3.6160606613956943,1.7438577410771972,1.8890013880947396,,
XGB,4,0.6932,0.7351,0.714,0.6899,0.75,0.6932,0.6863,0.8667,0.5306,0.6582,0.6034,0.8974,0.7216,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__n_estimators': 334, 'clf__max_depth': 4, 'clf__learning_rate': 0.0135776401443501, 'clf__subsample': 0.7608742470731585, 'clf__colsample_bytree': 0.6135565299437112, 'clf__min_child_weight': 1, 'clf__gamma': 0.38486713010838625, 'clf__reg_alpha': 0.13658275040299034, 'clf__reg_lambda': 1.3890190518382015}",94,f_classif,334.0,4.0,,,,,,0.0135776401443501,0.7608742470731585,0.6135565299437112,1.0,0.38486713010838625,0.13658275040299034,1.3890190518382015,,
XGB,5,0.797,0.8026,0.7915,0.7932,0.8007,0.797,0.7951,0.8302,0.7097,0.7652,0.775,0.8732,0.8212,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__n_estimators': 360, 'clf__max_depth': 4, 'clf__learning_rate': 0.025033991372233246, 'clf__subsample': 0.6845500299620746, 'clf__colsample_bytree': 0.6410289290990102, 'clf__min_child_weight': 1, 'clf__gamma': 4.55766560690927, 'clf__reg_alpha': 1.003934697362269, 'clf__reg_lambda': 1.4303177301544232}",94,f_classif,360.0,4.0,,,,,,0.025033991372233246,0.6845500299620746,0.6410289290990102,1.0,4.55766560690927,1.003934697362269,1.4303177301544232,,
