Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,Features_K,Score_Function,Best_Params,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
RF,1,0.7628,0.7277,0.7314,0.7295,0.7648,0.7628,0.7637,0.625,0.6443,0.6345,0.8305,0.8184,0.8244,84,f_classif,"{'selector__k': 84, 'selector__score_func': 'f_classif', 'clf__n_estimators': 51, 'clf__max_depth': 5, 'clf__min_samples_split': 6, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",84,f_classif,51.0,5.0,6.0,1.0,sqrt,True,balanced,,,,,,,,,
RF,2,0.8012,0.7948,0.8252,0.7948,0.8383,0.8012,0.806,0.6538,0.9027,0.7584,0.9357,0.7477,0.8312,84,f_classif,"{'selector__k': 84, 'selector__score_func': 'f_classif', 'clf__n_estimators': 334, 'clf__max_depth': 12, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 10, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",84,f_classif,334.0,12.0,2.0,10.0,log2,False,balanced,,,,,,,,,
RF,3,0.7338,0.7392,0.75,0.732,0.7642,0.7338,0.7367,0.6218,0.8261,0.7095,0.8566,0.674,0.7544,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__n_estimators': 298, 'clf__max_depth': 14, 'clf__min_samples_split': 15, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",31,f_classif,298.0,14.0,15.0,1.0,sqrt,True,,,,,,,,,,
RF,4,0.7047,0.7388,0.7131,0.6987,0.7437,0.7047,0.6966,0.8417,0.5372,0.6558,0.636,0.8889,0.7415,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 267, 'clf__max_depth': 18, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",73,f_classif,267.0,18.0,20.0,2.0,sqrt,False,balanced,,,,,,,,,
RF,5,0.8253,0.827,0.8215,0.8231,0.8261,0.8253,0.8245,0.8384,0.7711,0.8033,0.8155,0.872,0.8428,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 496, 'clf__max_depth': 17, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",all,f_classif,496.0,17.0,2.0,5.0,sqrt,False,balanced,,,,,,,,,
XGB,1,0.7628,0.7271,0.7245,0.7258,0.7615,0.7628,0.7621,0.6316,0.6186,0.625,0.8225,0.8305,0.8265,84,f_classif,"{'selector__k': 84, 'selector__score_func': 'f_classif', 'clf__n_estimators': 56, 'clf__max_depth': 5, 'clf__learning_rate': 0.04365692795493456, 'clf__subsample': 0.9752580890083029, 'clf__colsample_bytree': 0.8770703506504504, 'clf__min_child_weight': 4, 'clf__gamma': 4.973833239454635, 'clf__reg_alpha': 0.4999697228928094, 'clf__reg_lambda': 1.7355715406206522}",84,f_classif,56.0,5.0,,,,,,0.04365692795493456,0.9752580890083029,0.8770703506504504,4.0,4.973833239454635,0.4999697228928094,1.7355715406206522,,
XGB,2,0.8104,0.7978,0.8259,0.8021,0.8363,0.8104,0.8146,0.6735,0.8761,0.7615,0.9222,0.7757,0.8426,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__n_estimators': 397, 'clf__max_depth': 3, 'clf__learning_rate': 0.026687732393048308, 'clf__subsample': 0.9530868557301748, 'clf__colsample_bytree': 0.6134815595665672, 'clf__min_child_weight': 2, 'clf__gamma': 4.897678384636062, 'clf__reg_alpha': 0.42272004955051223, 'clf__reg_lambda': 1.8784200809008}",94,f_classif,397.0,3.0,,,,,,0.026687732393048308,0.9530868557301748,0.6134815595665672,2.0,4.897678384636062,0.42272004955051223,1.8784200809008,,
XGB,3,0.7281,0.7248,0.7352,0.7239,0.7458,0.7281,0.7312,0.626,0.7681,0.6898,0.8235,0.7022,0.758,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__n_estimators': 490, 'clf__max_depth': 11, 'clf__learning_rate': 0.05004439004839043, 'clf__subsample': 0.895400942673265, 'clf__colsample_bytree': 0.7086633553435607, 'clf__min_child_weight': 5, 'clf__gamma': 4.502484347278179, 'clf__reg_alpha': 0.21328057512590332, 'clf__reg_lambda': 0.7199510934381408}",31,f_classif,490.0,11.0,,,,,,0.05004439004839043,0.895400942673265,0.7086633553435607,5.0,4.502484347278179,0.21328057512590332,0.7199510934381408,,
XGB,4,0.7159,0.7447,0.7234,0.7113,0.7492,0.7159,0.7096,0.8413,0.5638,0.6752,0.6481,0.883,0.7475,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 418, 'clf__max_depth': 10, 'clf__learning_rate': 0.013505342351391352, 'clf__subsample': 0.6364850643514379, 'clf__colsample_bytree': 0.6919450175713229, 'clf__min_child_weight': 8, 'clf__gamma': 3.231105217506393, 'clf__reg_alpha': 0.8189229493149806, 'clf__reg_lambda': 0.11444210711575487}",73,f_classif,418.0,10.0,,,,,,0.013505342351391352,0.6364850643514379,0.6919450175713229,8.0,3.231105217506393,0.8189229493149806,0.11444210711575487,,
XGB,5,0.8086,0.811,0.804,0.8057,0.8099,0.8086,0.8075,0.8259,0.743,0.7822,0.7962,0.8651,0.8292,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 118, 'clf__max_depth': 3, 'clf__learning_rate': 0.1431564031639755, 'clf__subsample': 0.6546222785562366, 'clf__colsample_bytree': 0.6425621977164043, 'clf__min_child_weight': 1, 'clf__gamma': 4.779099920490755, 'clf__reg_alpha': 1.1085317614951808, 'clf__reg_lambda': 1.9785869689825357}",all,f_classif,118.0,3.0,,,,,,0.1431564031639755,0.6546222785562366,0.6425621977164043,1.0,4.779099920490755,1.1085317614951808,1.9785869689825357,,
DT,1,0.659,0.6661,0.6906,0.6499,0.7334,0.659,0.6702,0.4794,0.7784,0.5933,0.8527,0.6029,0.7064,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",10,f_classif,,2.0,12.0,5.0,sqrt,,balanced,,,,,,,,gini,best
DT,2,0.6361,0.7194,0.7115,0.6359,0.7914,0.6361,0.6331,0.4865,0.9558,0.6448,0.9524,0.4673,0.627,21,f_classif,"{'selector__k': 21, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 3, 'clf__max_features': None, 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",21,f_classif,,2.0,17.0,3.0,,,balanced,,,,,,,,gini,best
DT,3,0.6863,0.6711,0.6506,0.6539,0.6792,0.6863,0.6764,0.6329,0.4831,0.5479,0.7092,0.8182,0.7598,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__splitter': 'best', 'clf__class_weight': None}",31,f_classif,,2.0,16.0,10.0,sqrt,,,,,,,,,,gini,best
DT,4,0.649,0.6572,0.6533,0.6478,0.6595,0.649,0.6468,0.7067,0.5638,0.6272,0.6077,0.7427,0.6684,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 5, 'clf__max_features': None, 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",94,f_classif,,2.0,13.0,5.0,,,balanced,,,,,,,,gini,best
DT,5,0.6933,0.7116,0.7026,0.6917,0.7179,0.6933,0.69,0.628,0.8273,0.714,0.7952,0.5779,0.6693,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",all,f_classif,,2.0,16.0,9.0,sqrt,,,,,,,,,,entropy,random
RF,MEAN,0.7656,0.7655,0.7682,0.7556,0.7874,0.7656,0.7655,0.7161,0.7363,0.7123,0.8149,0.8002,0.7989,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
RF,STD,0.0489,0.0432,0.052,0.0514,0.042,0.0489,0.0517,0.1138,0.1458,0.0701,0.1102,0.0895,0.0472,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
XGB,MEAN,0.7652,0.7611,0.7626,0.7538,0.7805,0.7652,0.765,0.7197,0.7139,0.7067,0.8025,0.8113,0.8008,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
XGB,STD,0.044,0.0406,0.0486,0.0461,0.0404,0.044,0.0461,0.1058,0.1242,0.0645,0.0988,0.0734,0.0444,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
DT,MEAN,0.6647,0.6851,0.6817,0.6558,0.7163,0.6647,0.6633,0.5867,0.7217,0.6254,0.7834,0.6418,0.6862,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
DT,STD,0.0244,0.0283,0.0282,0.0211,0.0513,0.0244,0.023,0.0997,0.1943,0.0618,0.1322,0.1391,0.0498,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
