Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,Features_K,Score_Function,Best_Params,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
RF,1,0.778,0.7497,0.7641,0.7553,0.787,0.778,0.7811,0.6421,0.7241,0.6806,0.8573,0.8041,0.8299,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 459, 'clf__max_depth': 6, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",all,f_classif,459.0,6.0,13.0,9.0,sqrt,True,balanced,,,,,,,,,
RF,2,0.7946,0.792,0.819,0.7895,0.8329,0.7946,0.799,0.6516,0.9028,0.7569,0.9324,0.7352,0.8222,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 304, 'clf__max_depth': 9, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 3, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",73,f_classif,304.0,9.0,18.0,3.0,log2,False,balanced,,,,,,,,,
RF,3,0.7942,0.7921,0.804,0.7916,0.8107,0.7942,0.7963,0.6989,0.8533,0.7684,0.8852,0.7548,0.8148,52,f_classif,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__n_estimators': 177, 'clf__max_depth': 11, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",52,f_classif,177.0,11.0,7.0,4.0,sqrt,True,,,,,,,,,,
RF,4,0.7332,0.768,0.7423,0.7286,0.774,0.7332,0.7267,0.8791,0.5723,0.6933,0.657,0.9123,0.7639,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 344, 'clf__max_depth': 15, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",73,f_classif,344.0,15.0,7.0,8.0,sqrt,True,,,,,,,,,,
RF,5,0.8179,0.8238,0.8218,0.8178,0.8273,0.8179,0.8176,0.7633,0.8891,0.8214,0.8843,0.7546,0.8143,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 444, 'clf__max_depth': 6, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 7, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",all,f_classif,444.0,6.0,13.0,7.0,log2,True,balanced,,,,,,,,,
XGB,1,0.7647,0.7324,0.7271,0.7296,0.7623,0.7647,0.7634,0.6462,0.6187,0.6321,0.8187,0.8356,0.8271,84,f_classif,"{'selector__k': 84, 'selector__score_func': 'f_classif', 'clf__n_estimators': 145, 'clf__max_depth': 4, 'clf__learning_rate': 0.01113693326782652, 'clf__subsample': 0.9262114989709592, 'clf__colsample_bytree': 0.6416282724956046, 'clf__min_child_weight': 9, 'clf__gamma': 4.428234802155962, 'clf__reg_alpha': 1.016487849144354, 'clf__reg_lambda': 0.4368696735344362}",84,f_classif,145.0,4.0,,,,,,0.01113693326782652,0.9262114989709592,0.6416282724956046,9.0,4.428234802155962,1.016487849144354,0.4368696735344362,,
XGB,2,0.7946,0.7907,0.8174,0.7892,0.8308,0.7946,0.799,0.6532,0.8958,0.7555,0.9282,0.739,0.8229,52,f_classif,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__n_estimators': 112, 'clf__max_depth': 3, 'clf__learning_rate': 0.07253410153662936, 'clf__subsample': 0.8194897628473555, 'clf__colsample_bytree': 0.6906383420034428, 'clf__min_child_weight': 10, 'clf__gamma': 2.1562599743977247, 'clf__reg_alpha': 0.2178672114752917, 'clf__reg_lambda': 1.183310292660553}",52,f_classif,112.0,3.0,,,,,,0.07253410153662936,0.8194897628473555,0.6906383420034428,10.0,2.1562599743977247,0.2178672114752917,1.183310292660553,,
XGB,3,0.7851,0.7774,0.7853,0.7797,0.7912,0.7851,0.7866,0.7084,0.7867,0.7455,0.8464,0.784,0.814,52,f_classif,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__n_estimators': 107, 'clf__max_depth': 5, 'clf__learning_rate': 0.02956213456190244, 'clf__subsample': 0.6714107176085895, 'clf__colsample_bytree': 0.6404817079372288, 'clf__min_child_weight': 10, 'clf__gamma': 2.8591042555104336, 'clf__reg_alpha': 0.8410212796295634, 'clf__reg_lambda': 0.6879217443576457}",52,f_classif,107.0,5.0,,,,,,0.02956213456190244,0.6714107176085895,0.6404817079372288,10.0,2.8591042555104336,0.8410212796295634,0.6879217443576457,,
XGB,4,0.7186,0.7479,0.7272,0.7145,0.7533,0.7186,0.7127,0.8476,0.5681,0.6803,0.6482,0.8863,0.7487,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 164, 'clf__max_depth': 7, 'clf__learning_rate': 0.013041297144600622, 'clf__subsample': 0.6430996347791346, 'clf__colsample_bytree': 0.6282633368585283, 'clf__min_child_weight': 10, 'clf__gamma': 3.460201934270419, 'clf__reg_alpha': 1.5370097258392705, 'clf__reg_lambda': 0.680451844785994}",all,f_classif,164.0,7.0,,,,,,0.013041297144600622,0.6430996347791346,0.6282633368585283,10.0,3.460201934270419,1.5370097258392705,0.680451844785994,,
XGB,5,0.8104,0.8143,0.8067,0.808,0.8129,0.8104,0.8093,0.8372,0.7417,0.7866,0.7913,0.8717,0.8295,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 138, 'clf__max_depth': 6, 'clf__learning_rate': 0.012157775494982809, 'clf__subsample': 0.6676857470843597, 'clf__colsample_bytree': 0.6674680493619363, 'clf__min_child_weight': 5, 'clf__gamma': 1.0793877242404641, 'clf__reg_alpha': 1.2783804281516318, 'clf__reg_lambda': 1.8875918060501036}",73,f_classif,138.0,6.0,,,,,,0.012157775494982809,0.6676857470843597,0.6674680493619363,5.0,1.0793877242404641,1.2783804281516318,1.8875918060501036,,
