Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,Features_K,Score_Function,Best_Params,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
RF,1,0.7711,0.7449,0.7563,0.7494,0.7783,0.7711,0.7737,0.6434,0.7114,0.6757,0.8463,0.8012,0.8232,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 391, 'clf__max_depth': 8, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",all,f_classif,391.0,8.0,16.0,3.0,sqrt,True,balanced,,,,,,,,,
RF,2,0.8363,0.8294,0.8515,0.832,0.8573,0.8363,0.8389,0.7213,0.9103,0.8049,0.9375,0.7927,0.859,84,f_classif,"{'selector__k': 84, 'selector__score_func': 'f_classif', 'clf__n_estimators': 353, 'clf__max_depth': 12, 'clf__min_samples_split': 8, 'clf__min_samples_leaf': 4, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",84,f_classif,353.0,12.0,8.0,4.0,log2,True,balanced,,,,,,,,,
RF,3,0.783,0.7891,0.7981,0.7822,0.8087,0.783,0.7847,0.6815,0.8808,0.7685,0.8967,0.7154,0.7959,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 217, 'clf__max_depth': 7, 'clf__min_samples_split': 3, 'clf__min_samples_leaf': 8, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",73,f_classif,217.0,7.0,3.0,8.0,log2,True,,,,,,,,,,
RF,4,0.7395,0.7542,0.7499,0.7393,0.763,0.7395,0.7384,0.8444,0.6441,0.7308,0.664,0.8557,0.7477,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 485, 'clf__max_depth': 11, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 9, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",73,f_classif,485.0,11.0,16.0,9.0,log2,False,balanced,,,,,,,,,
RF,5,0.8136,0.8159,0.8127,0.8128,0.8154,0.8136,0.8131,0.8385,0.7673,0.8013,0.7933,0.858,0.8244,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 481, 'clf__max_depth': 20, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 6, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",all,f_classif,481.0,20.0,18.0,6.0,sqrt,False,balanced,,,,,,,,,
XGB,1,0.7834,0.7569,0.7595,0.7582,0.7845,0.7834,0.7839,0.6733,0.687,0.6801,0.8406,0.832,0.8363,84,f_classif,"{'selector__k': 84, 'selector__score_func': 'f_classif', 'clf__n_estimators': 69, 'clf__max_depth': 10, 'clf__learning_rate': 0.024833174917514595, 'clf__subsample': 0.7534679966585921, 'clf__colsample_bytree': 0.9791232527328492, 'clf__min_child_weight': 5, 'clf__gamma': 3.1178861435963117, 'clf__reg_alpha': 0.8463059602258057, 'clf__reg_lambda': 0.45635047617254226}",84,f_classif,69.0,10.0,,,,,,0.024833174917514595,0.7534679966585921,0.9791232527328492,5.0,3.1178861435963117,0.8463059602258057,0.45635047617254226,,
XGB,2,0.8286,0.8231,0.8454,0.8245,0.8524,0.8286,0.8315,0.7097,0.9103,0.7976,0.9366,0.7805,0.8514,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__n_estimators': 291, 'clf__max_depth': 5, 'clf__learning_rate': 0.013245439384501982, 'clf__subsample': 0.6334074192451434, 'clf__colsample_bytree': 0.6810117151887856, 'clf__min_child_weight': 10, 'clf__gamma': 0.6421721251138046, 'clf__reg_alpha': 1.2212024113975346, 'clf__reg_lambda': 1.974645680545746}",94,f_classif,291.0,5.0,,,,,,0.013245439384501982,0.6334074192451434,0.6810117151887856,10.0,0.6421721251138046,1.2212024113975346,1.974645680545746,,
XGB,3,0.6918,0.7057,0.7097,0.6915,0.7268,0.6918,0.6933,0.5899,0.8077,0.6818,0.8214,0.6117,0.7012,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 99, 'clf__max_depth': 6, 'clf__learning_rate': 0.02086914800392202, 'clf__subsample': 0.8097528625990739, 'clf__colsample_bytree': 0.6339079092154009, 'clf__min_child_weight': 7, 'clf__gamma': 1.0384885772619277, 'clf__reg_alpha': 1.1404992136340832, 'clf__reg_lambda': 0.20669235206982578}",10,f_classif,99.0,6.0,,,,,,0.02086914800392202,0.8097528625990739,0.6339079092154009,7.0,1.0384885772619277,1.1404992136340832,0.20669235206982578,,
XGB,4,0.7279,0.7581,0.7429,0.7261,0.7695,0.7279,0.7239,0.8742,0.589,0.7038,0.6421,0.8969,0.7484,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__n_estimators': 129, 'clf__max_depth': 7, 'clf__learning_rate': 0.023865653742736682, 'clf__subsample': 0.7045144255221693, 'clf__colsample_bytree': 0.9002559388667541, 'clf__min_child_weight': 4, 'clf__gamma': 4.973833239454635, 'clf__reg_alpha': 1.7832960806169742, 'clf__reg_lambda': 1.4432866023755504}",94,f_classif,129.0,7.0,,,,,,0.023865653742736682,0.7045144255221693,0.9002559388667541,4.0,4.973833239454635,1.7832960806169742,1.4432866023755504,,
XGB,5,0.8197,0.8252,0.8184,0.8185,0.8245,0.8197,0.8188,0.8628,0.7516,0.8034,0.7876,0.8852,0.8336,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 324, 'clf__max_depth': 9, 'clf__learning_rate': 0.010072405863407517, 'clf__subsample': 0.6383656446755445, 'clf__colsample_bytree': 0.8396158297716653, 'clf__min_child_weight': 8, 'clf__gamma': 2.949219422029712, 'clf__reg_alpha': 1.6132570252508989, 'clf__reg_lambda': 0.14840152751570107}",73,f_classif,324.0,9.0,,,,,,0.010072405863407517,0.6383656446755445,0.8396158297716653,8.0,2.949219422029712,1.6132570252508989,0.14840152751570107,,
DT,1,0.7112,0.6972,0.7193,0.6975,0.7454,0.7112,0.7187,0.5512,0.7439,0.6332,0.8433,0.6947,0.7618,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 7, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': None}",73,f_classif,,2.0,17.0,7.0,,,,,,,,,,,gini,random
DT,2,0.7391,0.7202,0.7176,0.7189,0.7377,0.7391,0.7384,0.6525,0.6345,0.6434,0.788,0.8008,0.7944,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_split': 15, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",10,f_classif,,3.0,15.0,4.0,sqrt,,,,,,,,,,gini,random
DT,3,0.6792,0.7172,0.7097,0.6788,0.7441,0.6792,0.6766,0.57,0.8769,0.6909,0.8644,0.5426,0.6667,21,f_classif,"{'selector__k': 21, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 5, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': None}",21,f_classif,,2.0,12.0,5.0,,,,,,,,,,,gini,random
DT,4,0.5581,0.7156,0.5956,0.5057,0.7362,0.5581,0.49,0.9259,0.2119,0.3448,0.5053,0.9794,0.6667,42,f_classif,"{'selector__k': 42, 'selector__score_func': 'f_classif', 'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__min_samples_split': 3, 'clf__min_samples_leaf': 3, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': None}",42,f_classif,,2.0,3.0,3.0,,,,,,,,,,,entropy,random
DT,5,0.7211,0.7968,0.7261,0.7049,0.7999,0.7211,0.7035,0.6418,0.9748,0.774,0.9518,0.4773,0.6358,84,f_classif,"{'selector__k': 84, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 2, 'clf__max_features': 'log2', 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",84,f_classif,,2.0,19.0,2.0,log2,,balanced,,,,,,,,gini,best
RF,MEAN,0.7887,0.7867,0.7937,0.7831,0.8045,0.7887,0.7898,0.7458,0.7828,0.7562,0.8276,0.8046,0.81,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
RF,STD,0.0376,0.037,0.0419,0.0398,0.0365,0.0376,0.0383,0.0916,0.1123,0.054,0.1062,0.0583,0.0414,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
XGB,MEAN,0.7703,0.7738,0.7752,0.7638,0.7915,0.7703,0.7703,0.742,0.7491,0.7333,0.8057,0.8013,0.7942,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
XGB,STD,0.0591,0.0506,0.0556,0.0578,0.0488,0.0591,0.0599,0.1235,0.1214,0.0621,0.1069,0.1157,0.0658,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
DT,MEAN,0.6817,0.7294,0.6937,0.6612,0.7527,0.6817,0.6654,0.6683,0.6884,0.6173,0.7906,0.699,0.7051,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
DT,STD,0.0725,0.0387,0.0551,0.0881,0.0267,0.0725,0.1006,0.1506,0.2961,0.1621,0.17,0.2016,0.0688,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
