Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,Features_K,Score_Function,Best_Params,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
RF,1,0.7723,0.7419,0.749,0.7451,0.7762,0.7723,0.7739,0.6429,0.6818,0.6618,0.8409,0.8162,0.8284,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 348, 'clf__max_depth': 7, 'clf__min_samples_split': 8, 'clf__min_samples_leaf': 7, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",all,f_classif,348.0,7.0,8.0,7.0,log2,True,balanced,,,,,,,,,
RF,2,0.844,0.8369,0.8611,0.8397,0.8665,0.844,0.8467,0.7255,0.925,0.8132,0.9483,0.7971,0.8661,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 237, 'clf__max_depth': 15, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",73,f_classif,237.0,15.0,5.0,7.0,sqrt,False,balanced,,,,,,,,,
RF,3,0.8171,0.8147,0.826,0.815,0.8308,0.8171,0.8188,0.7294,0.8732,0.7949,0.9,0.7788,0.8351,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__n_estimators': 236, 'clf__max_depth': 19, 'clf__min_samples_split': 4, 'clf__min_samples_leaf': 3, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",94,f_classif,236.0,19.0,4.0,3.0,log2,False,balanced,,,,,,,,,
RF,4,0.7583,0.786,0.7633,0.7545,0.7893,0.7583,0.7535,0.8837,0.6129,0.7238,0.6883,0.9138,0.7852,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__n_estimators': 370, 'clf__max_depth': 19, 'clf__min_samples_split': 11, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",94,f_classif,370.0,19.0,11.0,2.0,sqrt,True,balanced,,,,,,,,,
RF,5,0.8222,0.8239,0.8255,0.8221,0.8277,0.8222,0.8224,0.7742,0.8675,0.8182,0.8736,0.7835,0.8261,84,f_classif,"{'selector__k': 84, 'selector__score_func': 'f_classif', 'clf__n_estimators': 430, 'clf__max_depth': 14, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 6, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",84,f_classif,430.0,14.0,19.0,6.0,log2,False,balanced,,,,,,,,,
XGB,1,0.7723,0.7412,0.7412,0.7412,0.7723,0.7723,0.7723,0.6515,0.6515,0.6515,0.8309,0.8309,0.8309,84,f_classif,"{'selector__k': 84, 'selector__score_func': 'f_classif', 'clf__n_estimators': 256, 'clf__max_depth': 12, 'clf__learning_rate': 0.018592019070817044, 'clf__subsample': 0.8149118051424098, 'clf__colsample_bytree': 0.9166508496249729, 'clf__min_child_weight': 3, 'clf__gamma': 3.3447821476351414, 'clf__reg_alpha': 1.0421430347145773, 'clf__reg_lambda': 0.5285668494846079}",84,f_classif,256.0,12.0,,,,,,0.018592019070817044,0.8149118051424098,0.9166508496249729,3.0,3.3447821476351414,1.0421430347145773,0.5285668494846079,,
XGB,2,0.8716,0.8608,0.8828,0.8666,0.8848,0.8716,0.8734,0.7708,0.925,0.8409,0.9508,0.8406,0.8923,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__n_estimators': 448, 'clf__max_depth': 9, 'clf__learning_rate': 0.020731890453180392, 'clf__subsample': 0.8401917937726953, 'clf__colsample_bytree': 0.6548821374280495, 'clf__min_child_weight': 2, 'clf__gamma': 4.551431710896592, 'clf__reg_alpha': 1.1332012543063168, 'clf__reg_lambda': 1.391773610875526}",94,f_classif,448.0,9.0,,,,,,0.020731890453180392,0.8401917937726953,0.6548821374280495,2.0,4.551431710896592,1.1332012543063168,1.391773610875526,,
XGB,3,0.7943,0.7902,0.8001,0.7913,0.8052,0.7943,0.796,0.7108,0.831,0.7662,0.8696,0.7692,0.8163,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 409, 'clf__max_depth': 11, 'clf__learning_rate': 0.013797655410951565, 'clf__subsample': 0.626448064839973, 'clf__colsample_bytree': 0.6361275509924508, 'clf__min_child_weight': 7, 'clf__gamma': 4.484519534835343, 'clf__reg_alpha': 0.29000540071363956, 'clf__reg_lambda': 1.0662225817202986}",73,f_classif,409.0,11.0,,,,,,0.013797655410951565,0.626448064839973,0.6361275509924508,7.0,4.484519534835343,0.29000540071363956,1.0662225817202986,,
XGB,4,0.7417,0.7679,0.7467,0.7376,0.771,0.7417,0.7365,0.8605,0.5968,0.7048,0.6753,0.8966,0.7704,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__n_estimators': 107, 'clf__max_depth': 8, 'clf__learning_rate': 0.056122911000739545, 'clf__subsample': 0.8930171693903263, 'clf__colsample_bytree': 0.7465298763456603, 'clf__min_child_weight': 1, 'clf__gamma': 3.372715411167535, 'clf__reg_alpha': 1.3490967149399447, 'clf__reg_lambda': 1.1774771476490815}",94,f_classif,107.0,8.0,,,,,,0.056122911000739545,0.8930171693903263,0.7465298763456603,1.0,3.372715411167535,1.3490967149399447,1.1774771476490815,,
XGB,5,0.8111,0.8103,0.8091,0.8096,0.8109,0.8111,0.8109,0.8025,0.7831,0.7927,0.8182,0.8351,0.8265,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 61, 'clf__max_depth': 9, 'clf__learning_rate': 0.07700289234482109, 'clf__subsample': 0.6692505786560934, 'clf__colsample_bytree': 0.955177500690779, 'clf__min_child_weight': 2, 'clf__gamma': 3.5325911990481225, 'clf__reg_alpha': 0.8160465212951025, 'clf__reg_lambda': 0.47446155797204437}",73,f_classif,61.0,9.0,,,,,,0.07700289234482109,0.6692505786560934,0.955177500690779,2.0,3.5325911990481225,0.8160465212951025,0.47446155797204437,,
