Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,Features_K,Score_Function,Best_Params,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
RF,1,0.7854,0.7561,0.7525,0.7542,0.784,0.7854,0.7847,0.6757,0.6579,0.6667,0.8365,0.8471,0.8418,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 360, 'clf__max_depth': 15, 'clf__min_samples_split': 4, 'clf__min_samples_leaf': 4, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",73.0,f_classif,360.0,15.0,4.0,4.0,log2,True,,,,,,,,,,
RF,2,0.8387,0.8277,0.8545,0.8324,0.8607,0.8387,0.8418,0.7143,0.9091,0.8,0.9412,0.8,0.8649,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 331, 'clf__max_depth': 20, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",73.0,f_classif,331.0,20.0,20.0,8.0,sqrt,False,balanced,,,,,,,,,
RF,3,0.7438,0.7476,0.7578,0.742,0.7697,0.7438,0.7464,0.6381,0.8272,0.7204,0.8571,0.6885,0.7636,42,f_classif,"{'selector__k': 42, 'selector__score_func': 'f_classif', 'clf__n_estimators': 360, 'clf__max_depth': 16, 'clf__min_samples_split': 3, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",42.0,f_classif,360.0,16.0,3.0,1.0,sqrt,False,balanced,,,,,,,,,
RF,4,0.7246,0.7445,0.7321,0.7225,0.7495,0.7246,0.7211,0.8302,0.6027,0.6984,0.6588,0.8615,0.7467,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 183, 'clf__max_depth': 13, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 6, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",73.0,f_classif,183.0,13.0,18.0,6.0,sqrt,False,balanced,,,,,,,,,
RF,5,0.7005,0.7539,0.7139,0.6917,0.7623,0.7005,0.6884,0.6207,0.9278,0.7438,0.8871,0.5,0.6395,21,f_classif,"{'selector__k': 21, 'selector__score_func': 'f_classif', 'clf__n_estimators': 371, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",21.0,f_classif,371.0,3.0,20.0,7.0,sqrt,False,balanced,,,,,,,,,
XGB,1,0.7811,0.7512,0.7459,0.7484,0.7791,0.7811,0.7799,0.6712,0.6447,0.6577,0.8313,0.8471,0.8391,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__n_estimators': 372, 'clf__max_depth': 10, 'clf__learning_rate': 0.013707953799103738, 'clf__subsample': 0.9031068510826213, 'clf__colsample_bytree': 0.6251048748383486, 'clf__min_child_weight': 4, 'clf__gamma': 4.620779342849702, 'clf__reg_alpha': 1.4787390165266117, 'clf__reg_lambda': 1.5924597722124971}",94.0,f_classif,372.0,10.0,,,,,,0.013707953799103738,0.9031068510826213,0.6251048748383486,4.0,4.620779342849702,1.4787390165266117,1.5924597722124971,,
XGB,2,0.8387,0.8277,0.8545,0.8324,0.8607,0.8387,0.8418,0.7143,0.9091,0.8,0.9412,0.8,0.8649,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 245, 'clf__max_depth': 10, 'clf__learning_rate': 0.03457814734907554, 'clf__subsample': 0.826283903951477, 'clf__colsample_bytree': 0.8819353333347035, 'clf__min_child_weight': 3, 'clf__gamma': 4.542248390245322, 'clf__reg_alpha': 0.32965240674620055, 'clf__reg_lambda': 1.0471529600472218}",73.0,f_classif,245.0,10.0,,,,,,0.03457814734907554,0.826283903951477,0.8819353333347035,3.0,4.542248390245322,0.32965240674620055,1.0471529600472218,,
XGB,3,0.803,0.8007,0.8132,0.8004,0.8196,0.803,0.805,0.7071,0.8642,0.7778,0.8942,0.7623,0.823,84,f_classif,"{'selector__k': 84, 'selector__score_func': 'f_classif', 'clf__n_estimators': 282, 'clf__max_depth': 10, 'clf__learning_rate': 0.023476750319798102, 'clf__subsample': 0.7206298481767054, 'clf__colsample_bytree': 0.7822401259083843, 'clf__min_child_weight': 1, 'clf__gamma': 3.7503807703117076, 'clf__reg_alpha': 0.6660021006969881, 'clf__reg_lambda': 0.9572614537526511}",84.0,f_classif,282.0,10.0,,,,,,0.023476750319798102,0.7206298481767054,0.7822401259083843,1.0,3.7503807703117076,0.6660021006969881,0.9572614537526511,,
XGB,4,0.7391,0.7647,0.7475,0.7364,0.7704,0.7391,0.7349,0.8627,0.6027,0.7097,0.6667,0.8923,0.7632,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 313, 'clf__max_depth': 11, 'clf__learning_rate': 0.0844901500484204, 'clf__subsample': 0.6323966196835862, 'clf__colsample_bytree': 0.8113832698456008, 'clf__min_child_weight': 4, 'clf__gamma': 2.7582698134694184, 'clf__reg_alpha': 1.6799061383559095, 'clf__reg_lambda': 0.492837262835587}",73.0,f_classif,313.0,11.0,,,,,,0.0844901500484204,0.6323966196835862,0.8113832698456008,4.0,2.7582698134694184,1.6799061383559095,0.492837262835587,,
XGB,5,0.8261,0.8281,0.823,0.8243,0.8272,0.8261,0.8254,0.8427,0.7732,0.8065,0.8136,0.8727,0.8421,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__n_estimators': 163, 'clf__max_depth': 6, 'clf__learning_rate': 0.012570398253647362, 'clf__subsample': 0.761510048885947, 'clf__colsample_bytree': 0.6798212937601775, 'clf__min_child_weight': 8, 'clf__gamma': 4.046992716040371, 'clf__reg_alpha': 0.21454778862450152, 'clf__reg_lambda': 1.8503866544662582}",94.0,f_classif,163.0,6.0,,,,,,0.012570398253647362,0.761510048885947,0.6798212937601775,8.0,4.046992716040371,0.21454778862450152,1.8503866544662582,,
