,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_pca__n_components,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.5029,0.4554,0.443,0.4373,0.5576,0.5029,0.5224,0.7413,0.7403,"{'pca__n_components': 0.9, 'clf__n_estimators': 242, 'clf__max_depth': 3, 'clf__min_samples_split': 4, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.4595,0.3469,0.3953,0.7386,0.1923,0.3571,0.25,0.6866,0.7143,0.625,0.6667,0.7986,0.9,242.0,3.0,4.0,1.0,sqrt,True,balanced,,,,,,,,,
1,RF,2,0.443,0.421,0.4046,0.3912,0.449,0.443,0.424,0.6276,0.6478,"{'pca__n_components': 0.7, 'clf__n_estimators': 353, 'clf__max_depth': 3, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 3, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.22,0.275,0.2444,0.5345,0.4783,0.2115,0.2933,0.6408,0.5647,0.7273,0.6358,0.7075,0.7,353.0,3.0,18.0,3.0,log2,True,balanced,,,,,,,,,
2,RF,3,0.3974,0.3926,0.4339,0.384,0.4159,0.3974,0.3753,0.6368,0.6256,"{'pca__n_components': 0.95, 'clf__n_estimators': 349, 'clf__max_depth': 3, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.4833,0.2566,0.3353,0.5919,0.2909,0.2909,0.2909,0.5142,0.4035,0.7541,0.5257,0.8044,0.95,349.0,3.0,7.0,2.0,sqrt,True,balanced,,,,,,,,,
3,RF,4,0.4953,0.457,0.4371,0.422,0.4882,0.4953,0.4727,0.6574,0.6707,"{'pca__n_components': 0.95, 'clf__n_estimators': 349, 'clf__max_depth': 3, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.4474,0.6711,0.5368,0.6409,0.3333,0.119,0.1754,0.6214,0.5904,0.5213,0.5537,0.71,0.95,349.0,3.0,7.0,2.0,sqrt,True,balanced,,,,,,,,,
4,RF,5,0.406,0.3633,0.3702,0.3614,0.385,0.406,0.3898,0.6245,0.6441,"{'pca__n_components': 0.7, 'clf__n_estimators': 357, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.4103,0.3478,0.3765,0.7205,0.2083,0.1515,0.1754,0.5038,0.4714,0.6111,0.5323,0.6493,0.7,357.0,3.0,20.0,2.0,sqrt,True,balanced,,,,,,,,,
5,XGB,1,0.6416,0.5408,0.514,0.4985,0.6253,0.6416,0.6179,0.7463,0.8082,"{'pca__n_components': 0.99, 'clf__n_estimators': 209, 'clf__max_depth': 4, 'clf__learning_rate': 0.07572473070409673, 'clf__subsample': 0.9981260929948684, 'clf__colsample_bytree': 0.7944329019949419, 'clf__min_child_weight': 5, 'clf__gamma': 4.1647975076721195, 'clf__reg_alpha': 0.44542072600967786, 'clf__reg_lambda': 1.1467149888370018}",0.4697,0.6327,0.5391,0.7368,0.375,0.1071,0.1667,0.6983,0.7778,0.8021,0.7897,0.8039,0.99,209.0,4.0,,,,,,0.07572473070409673,0.9981260929948684,0.7944329019949419,5.0,4.1647975076721195,0.44542072600967786,1.1467149888370018,,
6,XGB,2,0.4304,0.2778,0.4091,0.3293,0.3018,0.4304,0.3533,0.6347,0.6316,"{'pca__n_components': 0.75, 'clf__n_estimators': 498, 'clf__max_depth': 10, 'clf__learning_rate': 0.010768652416997078, 'clf__subsample': 0.6873064153189612, 'clf__colsample_bytree': 0.9365163110506801, 'clf__min_child_weight': 10, 'clf__gamma': 1.9024157076259858, 'clf__reg_alpha': 1.9973108122787475, 'clf__reg_lambda': 0.568720373704447}",0.2817,0.5,0.3604,0.5386,0.0,0.0,0.0,0.6513,0.5517,0.7273,0.6275,0.7141,0.75,498.0,10.0,,,,,,0.010768652416997078,0.6873064153189612,0.9365163110506801,10.0,1.9024157076259858,1.9973108122787475,0.568720373704447,,
7,XGB,3,0.5284,0.644,0.524,0.4528,0.6741,0.5284,0.4951,0.6556,0.6247,"{'pca__n_components': 0.99, 'clf__n_estimators': 499, 'clf__max_depth': 5, 'clf__learning_rate': 0.012502454259399188, 'clf__subsample': 0.9339582218412478, 'clf__colsample_bytree': 0.7635811562708292, 'clf__min_child_weight': 10, 'clf__gamma': 4.392430055312927, 'clf__reg_alpha': 0.8816003413865147, 'clf__reg_lambda': 1.7427926964405367}",0.7887,0.4956,0.6087,0.6793,0.75,0.1091,0.1905,0.4995,0.3933,0.9672,0.5592,0.7881,0.99,499.0,5.0,,,,,,0.012502454259399188,0.9339582218412478,0.7635811562708292,10.0,4.392430055312927,0.8816003413865147,1.7427926964405367,,
8,XGB,4,0.5047,0.6718,0.425,0.3863,0.6115,0.5047,0.4584,0.67,0.7083,"{'pca__n_components': 0.99, 'clf__n_estimators': 151, 'clf__max_depth': 5, 'clf__learning_rate': 0.08509567241160984, 'clf__subsample': 0.9777242538982807, 'clf__colsample_bytree': 0.8147617015501268, 'clf__min_child_weight': 5, 'clf__gamma': 4.846349260243589, 'clf__reg_alpha': 0.33232368547851165, 'clf__reg_lambda': 1.3774749670909132}",0.4336,0.6447,0.5185,0.6595,1.0,0.0238,0.0465,0.6333,0.5816,0.6064,0.5938,0.7171,0.99,151.0,5.0,,,,,,0.08509567241160984,0.9777242538982807,0.8147617015501268,5.0,4.846349260243589,0.33232368547851165,1.3774749670909132,,
9,XGB,5,0.4812,0.3219,0.4219,0.363,0.3626,0.4812,0.4111,0.6062,0.65,"{'pca__n_components': 0.7, 'clf__n_estimators': 337, 'clf__max_depth': 11, 'clf__learning_rate': 0.049833191601257244, 'clf__subsample': 0.6478376983753207, 'clf__colsample_bytree': 0.885297914889198, 'clf__min_child_weight': 8, 'clf__gamma': 2.8063859878474813, 'clf__reg_alpha': 1.541934359909122, 'clf__reg_lambda': 0.9875911927287815}",0.4902,0.5435,0.5155,0.7098,0.0,0.0,0.0,0.4471,0.4756,0.7222,0.5735,0.6617,0.7,337.0,11.0,,,,,,0.049833191601257244,0.6478376983753207,0.885297914889198,8.0,2.8063859878474813,1.541934359909122,0.9875911927287815,,
