config,fold,model,best_params,optimization_score,n_trials,train_size,test_size,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,precision_positive,recall_positive,f1_positive,precision_negative,recall_negative,f1_negative,auc
1s_no,1,RF,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 225, 'clf__max_depth': 13, 'clf__min_samples_split': 15, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",-0.5167140109413518,50,1782,616,0.7613636363636364,0.7263230534932419,0.7304495838532643,0.728260575996831,0.763722137133759,0.7613636363636364,0.7624414104220905,0.6225490196078431,0.6446700507614214,0.6334164588528678,0.8300970873786407,0.8162291169451074,0.8231046931407943,0.8334807312552245
1s_no,1,XGB,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__n_estimators': 226, 'clf__max_depth': 4, 'clf__learning_rate': 0.010182171670815868, 'clf__subsample': 0.8175864106947313, 'clf__colsample_bytree': 0.631825236699314, 'clf__min_child_weight': 2, 'clf__gamma': 4.553156721427281, 'clf__reg_alpha': 1.9239314873456541, 'clf__reg_lambda': 1.6533908277899665}",-0.5054794659077033,50,1782,616,0.7548701298701299,0.7181972789115646,0.717607792302194,0.7178999596636004,0.7545426937008569,0.7548701298701299,0.7547043443535086,0.6173469387755102,0.6142131979695431,0.6157760814249363,0.819047619047619,0.8210023866348448,0.8200238379022646,0.8421428831033522
1s_no,1,DT,"{'selector__k': 42, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",-0.6104448793328004,50,1782,616,0.7483766233766234,0.7097660404112017,0.7007317398204572,0.7046587088252853,0.7437801254045494,0.7483766233766234,0.74560966675945,0.6153846153846154,0.5685279187817259,0.5910290237467019,0.804147465437788,0.8329355608591885,0.8182883939038686,0.7947251735459094
1s_no,2,RF,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 450, 'clf__max_depth': 19, 'clf__min_samples_split': 4, 'clf__min_samples_leaf': 5, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",-0.5157335832769496,50,2064,334,0.8083832335329342,0.8031809858902093,0.8352987889616835,0.8024253179532683,0.8482671321271578,0.8083832335329342,0.8131084769237036,0.6583850931677019,0.9217391304347826,0.7681159420289855,0.9479768786127167,0.7488584474885844,0.8367346938775511,0.897756601151479
1s_no,2,XGB,"{'selector__k': 42, 'selector__score_func': 'f_classif', 'clf__n_estimators': 217, 'clf__max_depth': 10, 'clf__learning_rate': 0.030192989389966018, 'clf__subsample': 0.7125472634316612, 'clf__colsample_bytree': 0.7977349004872155, 'clf__min_child_weight': 10, 'clf__gamma': 4.740858811013511, 'clf__reg_alpha': 1.1524500587390105, 'clf__reg_lambda': 1.7737212204386446}",-0.5224351816188396,50,2064,334,0.8143712574850299,0.8047576139845017,0.8357355568790947,0.8072957379490042,0.8464167358201241,0.8143712574850299,0.8187934571950459,0.6709677419354839,0.9043478260869565,0.7703703703703704,0.9385474860335196,0.7671232876712328,0.8442211055276382,0.9110581695453643
1s_no,2,DT,"{'selector__k': 42, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",-0.5814449646962666,50,2064,334,0.6616766467065869,0.6770893580104107,0.6945205479452055,0.657473204643016,0.7305200905303332,0.6616766467065869,0.6692882850379178,0.5054945054945055,0.8,0.6195286195286195,0.8486842105263158,0.589041095890411,0.6954177897574124,0.7193170538018663
1s_no,3,RF,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 268, 'clf__max_depth': 12, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",-0.5207094260167957,50,1863,535,0.7794392523364486,0.7804682040531097,0.794029304029304,0.7770833333333333,0.8041340935363154,0.7794392523364486,0.7820093457943925,0.6703703703703704,0.861904761904762,0.7541666666666667,0.8905660377358491,0.7261538461538461,0.8,0.8530842490842491
1s_no,3,XGB,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 55, 'clf__max_depth': 8, 'clf__learning_rate': 0.04019097334792248, 'clf__subsample': 0.7639810848195495, 'clf__colsample_bytree': 0.695058445567296, 'clf__min_child_weight': 9, 'clf__gamma': 3.8671455159594785, 'clf__reg_alpha': 0.020696877938192415, 'clf__reg_lambda': 0.008389243026442998}",-0.49941094182596,50,1863,535,0.7700934579439253,0.7616122922085264,0.7711721611721611,0.7639951368042779,0.7787234160606468,0.7700934579439253,0.772149868560783,0.6820083682008368,0.7761904761904762,0.7260579064587973,0.8412162162162162,0.7661538461538462,0.8019323671497585,0.8342051282051283
1s_no,3,DT,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 7, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': None}",-0.5551323060179304,50,1863,535,0.6841121495327103,0.7255970149253732,0.7214652014652014,0.684001747487986,0.7609359743339378,0.6841121495327103,0.682732123973657,0.5611940298507463,0.8952380952380953,0.689908256880734,0.89,0.5476923076923077,0.6780952380952381,0.7606446886446886
1s_no,4,RF,"{'selector__k': 84, 'selector__score_func': 'f_classif', 'clf__n_estimators': 316, 'clf__max_depth': 8, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",-0.4817981497633033,50,2032,366,0.6967213114754098,0.7199122949488388,0.7024521531100478,0.6920663073879527,0.7230341581087234,0.6967213114754098,0.6906180838940772,0.8015267175572519,0.5526315789473685,0.6542056074766355,0.6382978723404256,0.8522727272727273,0.7299270072992701,0.7954844497607655
