,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Features_K,Score_Function,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.5688,0.5144,0.5146,0.5131,0.5652,0.5688,0.5656,0.6855,0.7249,91,f_classif,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 288, 'clf__max_depth': 4, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",0.6509,0.6082,0.6288,0.7424,0.3074,0.2731,0.2892,0.5802,0.5851,0.6624,0.6213,0.734,91,f_classif,288.0,4.0,14.0,4.0,sqrt,False,,,,,,,,,,
1,RF,2,0.5256,0.5157,0.4632,0.4606,0.5221,0.5256,0.5054,0.6667,0.7087,91,f_classif,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 483, 'clf__max_depth': 5, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 2, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",0.4921,0.5736,0.5297,0.7024,0.5,0.172,0.256,0.6231,0.5549,0.6439,0.5961,0.6746,91,f_classif,483.0,5.0,17.0,2.0,log2,True,,,,,,,,,,
2,RF,3,0.5608,0.6392,0.446,0.4201,0.6047,0.5608,0.5125,0.7012,0.7494,81,f_classif,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 460, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",0.4208,0.4597,0.4394,0.5834,0.8571,0.0533,0.1004,0.773,0.6397,0.8249,0.7206,0.7473,81,f_classif,460.0,3.0,20.0,1.0,sqrt,False,,,,,,,,,,
3,RF,4,0.6481,0.6191,0.5887,0.5883,0.6638,0.6481,0.6413,0.7867,0.8084,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 457, 'clf__max_depth': 5, 'clf__min_samples_split': 11, 'clf__min_samples_leaf': 7, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.736,0.4381,0.5492,0.7817,0.404,0.4951,0.4449,0.7319,0.7172,0.833,0.7708,0.8465,all,f_classif,457.0,5.0,11.0,7.0,log2,True,balanced,,,,,,,,,
4,RF,5,0.4721,0.5144,0.5211,0.4071,0.5182,0.4721,0.3798,0.7081,0.65,91,f_classif,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 336, 'clf__max_depth': 7, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 8, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",0.4513,0.5738,0.5052,0.6143,0.6071,0.0396,0.0744,0.635,0.4846,0.9498,0.6418,0.8748,91,f_classif,336.0,7.0,17.0,8.0,log2,True,,,,,,,,,,
5,XGB,1,0.4648,0.4426,0.4409,0.4362,0.4957,0.4648,0.4758,0.652,0.6742,30,f_classif,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 257, 'clf__max_depth': 5, 'clf__learning_rate': 0.01024489398187464, 'clf__subsample': 0.6060362615641569, 'clf__colsample_bytree': 0.6843797282962657, 'clf__min_child_weight': 10, 'clf__gamma': 4.329811058025972, 'clf__reg_alpha': 1.8446004347289064, 'clf__reg_lambda': 1.4621287313843148}",0.5461,0.4421,0.4886,0.6351,0.2107,0.3192,0.2538,0.5979,0.5709,0.5615,0.5661,0.723,30,f_classif,257.0,5.0,,,,,,0.01024489398187464,0.6060362615641569,0.6843797282962657,10.0,4.329811058025972,1.8446004347289064,1.4621287313843148,,
6,XGB,2,0.5321,0.487,0.4305,0.3918,0.5054,0.5321,0.4712,0.6546,0.6987,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 168, 'clf__max_depth': 8, 'clf__learning_rate': 0.02269740670661081, 'clf__subsample': 0.9732467485703675, 'clf__colsample_bytree': 0.6604899534111945, 'clf__min_child_weight': 1, 'clf__gamma': 4.971349933675043, 'clf__reg_alpha': 1.9252459446378503, 'clf__reg_lambda': 1.417544371391384}",0.523,0.454,0.486,0.6521,0.4,0.0215,0.0408,0.629,0.5381,0.816,0.6485,0.6826,10,f_classif,168.0,8.0,,,,,,0.02269740670661081,0.9732467485703675,0.6604899534111945,1.0,4.971349933675043,1.9252459446378503,1.417544371391384,,
7,XGB,3,0.585,0.5516,0.5031,0.5085,0.5715,0.585,0.5662,0.7024,0.7524,71,f_classif,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 89, 'clf__max_depth': 3, 'clf__learning_rate': 0.02868901041680366, 'clf__subsample': 0.8938227297352905, 'clf__colsample_bytree': 0.7861256482767721, 'clf__min_child_weight': 6, 'clf__gamma': 2.8834280320240775, 'clf__reg_alpha': 0.4859806826103613, 'clf__reg_lambda': 1.0811929536227218}",0.4573,0.4573,0.4573,0.59,0.5283,0.2489,0.3384,0.7591,0.669,0.803,0.7299,0.7581,71,f_classif,89.0,3.0,,,,,,0.02868901041680366,0.8938227297352905,0.7861256482767721,6.0,2.8834280320240775,0.4859806826103613,1.0811929536227218,,
8,XGB,4,0.6667,0.6026,0.5829,0.5871,0.6488,0.6667,0.6537,0.7267,0.7813,71,f_classif,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 71, 'clf__max_depth': 8, 'clf__learning_rate': 0.010532908711473624, 'clf__subsample': 0.932057712717099, 'clf__colsample_bytree': 0.6190788332226409, 'clf__min_child_weight': 5, 'clf__gamma': 3.372869078817388, 'clf__reg_alpha': 1.7674054028503736, 'clf__reg_lambda': 1.9553821354402818}",0.5909,0.5891,0.59,0.7257,0.4638,0.3137,0.3743,0.6208,0.7533,0.8459,0.7969,0.8334,71,f_classif,71.0,8.0,,,,,,0.010532908711473624,0.932057712717099,0.6190788332226409,5.0,3.372869078817388,1.7674054028503736,1.9553821354402818,,
9,XGB,5,0.4556,0.4391,0.5063,0.3979,0.4357,0.4556,0.3712,0.6909,0.6393,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 149, 'clf__max_depth': 3, 'clf__learning_rate': 0.017752521314739627, 'clf__subsample': 0.6033402383613943, 'clf__colsample_bytree': 0.6276354949172027, 'clf__min_child_weight': 10, 'clf__gamma': 2.338482975732663, 'clf__reg_alpha': 1.057517762797811, 'clf__reg_lambda': 1.545863563595898}",0.4447,0.5167,0.478,0.608,0.4038,0.049,0.0873,0.5948,0.4688,0.9532,0.6284,0.87,all,f_classif,149.0,3.0,,,,,,0.017752521314739627,0.6033402383613943,0.6276354949172027,10.0,2.338482975732663,1.057517762797811,1.545863563595898,,
