,Model,Fold,Test_Experiment,CM_non_void_pred_non_void,CM_non_void_pred_void,CM_void_pred_non_void,CM_void_pred_void,TP,TN,FP,FN,Sensitivity,Specificity,PPV,NPV
74,XGB,34,34,16,0,2,1,1,16,0,2,0.3333333333333333,1.0,1.0,0.8888888888888888
75,XGB,35,35,7,0,22,2,2,7,0,22,0.08333333333333333,1.0,1.0,0.2413793103448276
76,XGB,36,36,8,9,0,12,12,8,9,0,1.0,0.47058823529411764,0.5714285714285714,1.0
77,XGB,37,37,6,13,0,14,14,6,13,0,1.0,0.3157894736842105,0.5185185185185185,1.0
78,XGB,38,38,6,2,0,13,13,6,2,0,1.0,0.75,0.8666666666666667,1.0
79,XGB,39,39,4,2,0,12,12,4,2,0,1.0,0.6666666666666666,0.8571428571428571,1.0
80,XGB,40,40,82,4,7,3,3,82,4,7,0.3,0.9534883720930233,0.42857142857142855,0.9213483146067416
81,XGB,41,41,5,4,2,9,9,5,4,2,0.8181818181818182,0.5555555555555556,0.6923076923076923,0.7142857142857143
82,DT,1,1,7,5,2,10,10,7,5,2,0.8333333333333334,0.5833333333333334,0.6666666666666666,0.7777777777777778
83,DT,2,2,7,5,0,6,6,7,5,0,1.0,0.5833333333333334,0.5454545454545454,1.0
84,DT,3,3,9,14,0,8,8,9,14,0,1.0,0.391304347826087,0.36363636363636365,1.0
85,DT,4,4,10,5,0,13,13,10,5,0,1.0,0.6666666666666666,0.7222222222222222,1.0
86,DT,5,5,6,2,2,7,7,6,2,2,0.7777777777777778,0.75,0.7777777777777778,0.75
87,DT,6,6,22,3,4,7,7,22,3,4,0.6363636363636364,0.88,0.7,0.8461538461538461
88,DT,7,7,10,3,1,9,9,10,3,1,0.9,0.7692307692307693,0.75,0.9090909090909091
89,DT,8,8,4,6,0,11,11,4,6,0,1.0,0.4,0.6470588235294118,1.0
90,DT,9,9,15,2,14,8,8,15,2,14,0.36363636363636365,0.8823529411764706,0.8,0.5172413793103449
91,DT,10,10,12,3,2,15,15,12,3,2,0.8823529411764706,0.8,0.8333333333333334,0.8571428571428571
92,DT,11,11,6,24,1,15,15,6,24,1,0.9375,0.2,0.38461538461538464,0.8571428571428571
93,DT,12,12,17,6,15,1,1,17,6,15,0.0625,0.7391304347826086,0.14285714285714285,0.53125
94,DT,13,13,11,4,4,6,6,11,4,4,0.6,0.7333333333333333,0.6,0.7333333333333333
95,DT,14,14,7,6,7,11,11,7,6,7,0.6111111111111112,0.5384615384615384,0.6470588235294118,0.5
96,DT,15,15,3,0,6,6,6,3,0,6,0.5,1.0,1.0,0.3333333333333333
97,DT,16,16,3,3,5,8,8,3,3,5,0.6153846153846154,0.5,0.7272727272727273,0.375
98,DT,17,17,5,5,4,6,6,5,5,4,0.6,0.5,0.5454545454545454,0.5555555555555556
99,DT,18,18,36,0,10,0,0,36,0,10,0.0,1.0,0.0,0.782608695652174
100,DT,19,19,6,6,0,5,5,6,6,0,1.0,0.5,0.45454545454545453,1.0
101,DT,20,20,5,4,2,6,6,5,4,2,0.75,0.5555555555555556,0.6,0.7142857142857143
102,DT,21,21,5,6,0,7,7,5,6,0,1.0,0.45454545454545453,0.5384615384615384,1.0
103,DT,22,22,18,15,0,7,7,18,15,0,1.0,0.5454545454545454,0.3181818181818182,1.0
104,DT,23,23,6,1,1,16,16,6,1,1,0.9411764705882353,0.8571428571428571,0.9411764705882353,0.8571428571428571
105,DT,24,24,12,8,0,9,9,12,8,0,1.0,0.6,0.5294117647058824,1.0
106,DT,25,25,22,0,8,10,10,22,0,8,0.5555555555555556,1.0,1.0,0.7333333333333333
107,DT,26,26,23,4,0,6,6,23,4,0,1.0,0.8518518518518519,0.6,1.0
108,DT,27,27,41,12,0,14,14,41,12,0,1.0,0.7735849056603774,0.5384615384615384,1.0
109,DT,28,28,6,3,1,12,12,6,3,1,0.9230769230769231,0.6666666666666666,0.8,0.8571428571428571
110,DT,29,29,6,2,4,6,6,6,2,4,0.6,0.75,0.75,0.6
111,DT,30,30,0,5,3,16,16,0,5,3,0.8421052631578947,0.0,0.7619047619047619,0.0
112,DT,31,31,17,1,3,4,4,17,1,3,0.5714285714285714,0.9444444444444444,0.8,0.85
113,DT,32,32,7,3,3,1,1,7,3,3,0.25,0.7,0.25,0.7
114,DT,33,33,12,2,9,0,0,12,2,9,0.0,0.8571428571428571,0.0,0.5714285714285714
115,DT,34,34,13,3,1,2,2,13,3,1,0.6666666666666666,0.8125,0.4,0.9285714285714286
116,DT,35,35,5,2,17,7,7,5,2,17,0.2916666666666667,0.7142857142857143,0.7777777777777778,0.22727272727272727
117,DT,36,36,6,11,0,12,12,6,11,0,1.0,0.35294117647058826,0.5217391304347826,1.0
118,DT,37,37,4,15,0,14,14,4,15,0,1.0,0.21052631578947367,0.4827586206896552,1.0
119,DT,38,38,6,2,0,13,13,6,2,0,1.0,0.75,0.8666666666666667,1.0
120,DT,39,39,2,4,0,12,12,2,4,0,1.0,0.3333333333333333,0.75,1.0
121,DT,40,40,83,3,8,2,2,83,3,8,0.2,0.9651162790697675,0.4,0.9120879120879121
122,DT,41,41,0,9,1,10,10,0,9,1,0.9090909090909091,0.0,0.5263157894736842,0.0
