,Model,Fold,Test_Experiment,CM_non_void_pred_non_void,CM_non_void_pred_void,CM_void_pred_non_void,CM_void_pred_void,TP,TN,FP,FN,Sensitivity,Specificity,PPV,NPV
0,RF,1,1,9,0,4,5,5,9,0,4,0.5555555555555556,1.0,1.0,0.6923076923076923
1,RF,2,2,6,4,0,4,4,6,4,0,1.0,0.6,0.5,1.0
2,RF,3,3,11,6,2,4,4,11,6,2,0.6666666666666666,0.6470588235294118,0.4,0.8461538461538461
3,RF,4,4,10,1,1,9,9,10,1,1,0.9,0.9090909090909091,0.9,0.9090909090909091
4,RF,5,5,6,0,4,3,3,6,0,4,0.42857142857142855,1.0,1.0,0.6
5,RF,6,6,18,1,2,7,7,18,1,2,0.7777777777777778,0.9473684210526315,0.875,0.9
6,RF,7,7,8,1,2,6,6,8,1,2,0.75,0.8888888888888888,0.8571428571428571,0.8
7,RF,8,8,3,5,0,8,8,3,5,0,1.0,0.375,0.6153846153846154,1.0
8,RF,9,9,10,2,0,18,18,10,2,0,1.0,0.8333333333333334,0.9,1.0
9,RF,10,10,10,2,1,12,12,10,2,1,0.9230769230769231,0.8333333333333334,0.8571428571428571,0.9090909090909091
10,RF,11,11,5,19,5,7,7,5,19,5,0.5833333333333334,0.20833333333333334,0.2692307692307692,0.5
11,RF,12,12,3,14,6,7,7,3,14,6,0.5384615384615384,0.17647058823529413,0.3333333333333333,0.3333333333333333
12,RF,13,13,9,2,2,6,6,9,2,2,0.75,0.8181818181818182,0.75,0.8181818181818182
13,RF,14,14,9,1,6,8,8,9,1,6,0.5714285714285714,0.9,0.8888888888888888,0.6
14,RF,15,15,1,0,3,7,7,1,0,3,0.7,1.0,1.0,0.25
15,RF,16,16,3,0,1,10,10,3,0,1,0.9090909090909091,1.0,1.0,0.75
16,RF,17,17,4,3,2,6,6,4,3,2,0.75,0.5714285714285714,0.6666666666666666,0.6666666666666666
17,RF,18,18,25,4,0,7,7,25,4,0,1.0,0.8620689655172413,0.6363636363636364,1.0
18,RF,19,19,6,4,0,3,3,6,4,0,1.0,0.6,0.42857142857142855,1.0
19,RF,20,20,5,1,4,2,2,5,1,4,0.3333333333333333,0.8333333333333334,0.6666666666666666,0.5555555555555556
20,RF,21,21,5,3,0,6,6,5,3,0,1.0,0.625,0.6666666666666666,1.0
21,RF,22,22,16,9,0,6,6,16,9,0,1.0,0.64,0.4,1.0
22,RF,23,23,4,1,0,13,13,4,1,0,1.0,0.8,0.9285714285714286,1.0
23,RF,24,24,10,4,2,6,6,10,4,2,0.75,0.7142857142857143,0.6,0.8333333333333334
24,RF,25,25,17,0,10,4,4,17,0,10,0.2857142857142857,1.0,1.0,0.6296296296296297
25,RF,26,26,18,3,0,4,4,18,3,0,1.0,0.8571428571428571,0.5714285714285714,1.0
26,RF,27,27,30,11,0,11,11,30,11,0,1.0,0.7317073170731707,0.5,1.0
27,RF,28,28,6,1,0,10,10,6,1,0,1.0,0.8571428571428571,0.9090909090909091,1.0
28,RF,29,29,4,1,3,5,5,4,1,3,0.625,0.8,0.8333333333333334,0.5714285714285714
29,RF,30,30,4,0,10,4,4,4,0,10,0.2857142857142857,1.0,1.0,0.2857142857142857
30,RF,31,31,11,3,1,4,4,11,3,1,0.8,0.7857142857142857,0.5714285714285714,0.9166666666666666
31,RF,32,32,5,2,0,3,3,5,2,0,1.0,0.7142857142857143,0.6,1.0
32,RF,33,33,6,4,7,0,0,6,4,7,0.0,0.6,0.0,0.46153846153846156
33,RF,34,34,12,0,2,0,0,12,0,2,0.0,1.0,0.0,0.8571428571428571
34,RF,35,35,5,0,17,2,2,5,0,17,0.10526315789473684,1.0,1.0,0.22727272727272727
35,RF,36,36,5,7,0,10,10,5,7,0,1.0,0.4166666666666667,0.5882352941176471,1.0
36,RF,37,37,5,9,0,11,11,5,9,0,1.0,0.35714285714285715,0.55,1.0
37,RF,38,38,4,1,0,10,10,4,1,0,1.0,0.8,0.9090909090909091,1.0
38,RF,39,39,2,2,1,8,8,2,2,1,0.8888888888888888,0.5,0.8,0.6666666666666666
39,RF,40,40,64,3,3,5,5,64,3,3,0.625,0.9552238805970149,0.625,0.9552238805970149
40,RF,41,41,2,4,1,8,8,2,4,1,0.8888888888888888,0.3333333333333333,0.6666666666666666,0.6666666666666666
41,XGB,1,1,7,2,5,4,4,7,2,5,0.4444444444444444,0.7777777777777778,0.6666666666666666,0.5833333333333334
42,XGB,2,2,6,4,0,4,4,6,4,0,1.0,0.6,0.5,1.0
43,XGB,3,3,15,2,3,3,3,15,2,3,0.5,0.8823529411764706,0.6,0.8333333333333334
44,XGB,4,4,10,1,2,8,8,10,1,2,0.8,0.9090909090909091,0.8888888888888888,0.8333333333333334
45,XGB,5,5,5,1,4,3,3,5,1,4,0.42857142857142855,0.8333333333333334,0.75,0.5555555555555556
46,XGB,6,6,18,1,4,5,5,18,1,4,0.5555555555555556,0.9473684210526315,0.8333333333333334,0.8181818181818182
47,XGB,7,7,8,1,2,6,6,8,1,2,0.75,0.8888888888888888,0.8571428571428571,0.8
48,XGB,8,8,6,2,4,4,4,6,2,4,0.5,0.75,0.6666666666666666,0.6
49,XGB,9,9,11,1,0,18,18,11,1,0,1.0,0.9166666666666666,0.9473684210526315,1.0
50,XGB,10,10,12,0,3,10,10,12,0,3,0.7692307692307693,1.0,1.0,0.8
51,XGB,11,11,4,20,0,12,12,4,20,0,1.0,0.16666666666666666,0.375,1.0
52,XGB,12,12,3,14,10,3,3,3,14,10,0.23076923076923078,0.17647058823529413,0.17647058823529413,0.23076923076923078
53,XGB,13,13,9,2,4,4,4,9,2,4,0.5,0.8181818181818182,0.6666666666666666,0.6923076923076923
54,XGB,14,14,9,1,11,3,3,9,1,11,0.21428571428571427,0.9,0.75,0.45
55,XGB,15,15,1,0,6,4,4,1,0,6,0.4,1.0,1.0,0.14285714285714285
56,XGB,16,16,3,0,3,8,8,3,0,3,0.7272727272727273,1.0,1.0,0.5
57,XGB,17,17,4,3,2,6,6,4,3,2,0.75,0.5714285714285714,0.6666666666666666,0.6666666666666666
58,XGB,18,18,25,4,0,7,7,25,4,0,1.0,0.8620689655172413,0.6363636363636364,1.0
59,XGB,19,19,6,4,0,3,3,6,4,0,1.0,0.6,0.42857142857142855,1.0
60,XGB,20,20,5,1,4,2,2,5,1,4,0.3333333333333333,0.8333333333333334,0.6666666666666666,0.5555555555555556
61,XGB,21,21,5,3,0,6,6,5,3,0,1.0,0.625,0.6666666666666666,1.0
62,XGB,22,22,16,9,0,6,6,16,9,0,1.0,0.64,0.4,1.0
63,XGB,23,23,4,1,4,9,9,4,1,4,0.6923076923076923,0.8,0.9,0.5
64,XGB,24,24,10,4,3,5,5,10,4,3,0.625,0.7142857142857143,0.5555555555555556,0.7692307692307693
65,XGB,25,25,17,0,9,5,5,17,0,9,0.35714285714285715,1.0,1.0,0.6538461538461539
66,XGB,26,26,20,1,3,1,1,20,1,3,0.25,0.9523809523809523,0.5,0.8695652173913043
67,XGB,27,27,31,10,0,11,11,31,10,0,1.0,0.7560975609756098,0.5238095238095238,1.0
68,XGB,28,28,6,1,3,7,7,6,1,3,0.7,0.8571428571428571,0.875,0.6666666666666666
69,XGB,29,29,4,1,4,4,4,4,1,4,0.5,0.8,0.8,0.5
70,XGB,30,30,4,0,6,8,8,4,0,6,0.5714285714285714,1.0,1.0,0.4
71,XGB,31,31,12,2,2,3,3,12,2,2,0.6,0.8571428571428571,0.6,0.8571428571428571
72,XGB,32,32,3,4,0,3,3,3,4,0,1.0,0.42857142857142855,0.42857142857142855,1.0
73,XGB,33,33,6,4,7,0,0,6,4,7,0.0,0.6,0.0,0.46153846153846156
74,XGB,34,34,12,0,2,0,0,12,0,2,0.0,1.0,0.0,0.8571428571428571
75,XGB,35,35,5,0,17,2,2,5,0,17,0.10526315789473684,1.0,1.0,0.22727272727272727
76,XGB,36,36,5,7,0,10,10,5,7,0,1.0,0.4166666666666667,0.5882352941176471,1.0
77,XGB,37,37,5,9,0,11,11,5,9,0,1.0,0.35714285714285715,0.55,1.0
78,XGB,38,38,3,2,0,10,10,3,2,0,1.0,0.6,0.8333333333333334,1.0
79,XGB,39,39,2,2,1,8,8,2,2,1,0.8888888888888888,0.5,0.8,0.6666666666666666
80,XGB,40,40,64,3,3,5,5,64,3,3,0.625,0.9552238805970149,0.625,0.9552238805970149
81,XGB,41,41,2,4,1,8,8,2,4,1,0.8888888888888888,0.3333333333333333,0.6666666666666666,0.6666666666666666
82,DT,1,1,5,4,3,6,6,5,4,3,0.6666666666666666,0.5555555555555556,0.6,0.625
83,DT,2,2,3,7,0,4,4,3,7,0,1.0,0.3,0.36363636363636365,1.0
84,DT,3,3,12,5,2,4,4,12,5,2,0.6666666666666666,0.7058823529411765,0.4444444444444444,0.8571428571428571
85,DT,4,4,10,1,3,7,7,10,1,3,0.7,0.9090909090909091,0.875,0.7692307692307693
86,DT,5,5,5,1,2,5,5,5,1,2,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.7142857142857143
87,DT,6,6,18,1,3,6,6,18,1,3,0.6666666666666666,0.9473684210526315,0.8571428571428571,0.8571428571428571
88,DT,7,7,8,1,2,6,6,8,1,2,0.75,0.8888888888888888,0.8571428571428571,0.8
89,DT,8,8,2,6,0,8,8,2,6,0,1.0,0.25,0.5714285714285714,1.0
90,DT,9,9,8,4,0,18,18,8,4,0,1.0,0.6666666666666666,0.8181818181818182,1.0
91,DT,10,10,6,6,0,13,13,6,6,0,1.0,0.5,0.6842105263157895,1.0
92,DT,11,11,8,16,2,10,10,8,16,2,0.8333333333333334,0.3333333333333333,0.38461538461538464,0.8
93,DT,12,12,6,11,8,5,5,6,11,8,0.38461538461538464,0.35294117647058826,0.3125,0.42857142857142855
94,DT,13,13,0,11,0,8,8,0,11,0,1.0,0.0,0.42105263157894735,0.0
95,DT,14,14,7,3,1,13,13,7,3,1,0.9285714285714286,0.7,0.8125,0.875
96,DT,15,15,1,0,3,7,7,1,0,3,0.7,1.0,1.0,0.25
97,DT,16,16,3,0,4,7,7,3,0,4,0.6363636363636364,1.0,1.0,0.42857142857142855
98,DT,17,17,2,5,2,6,6,2,5,2,0.75,0.2857142857142857,0.5454545454545454,0.5
99,DT,18,18,26,3,0,7,7,26,3,0,1.0,0.896551724137931,0.7,1.0
100,DT,19,19,10,0,2,1,1,10,0,2,0.3333333333333333,1.0,1.0,0.8333333333333334
101,DT,20,20,6,0,6,0,0,6,0,6,0.0,1.0,0.0,0.5
102,DT,21,21,5,3,0,6,6,5,3,0,1.0,0.625,0.6666666666666666,1.0
103,DT,22,22,16,9,0,6,6,16,9,0,1.0,0.64,0.4,1.0
104,DT,23,23,4,1,0,13,13,4,1,0,1.0,0.8,0.9285714285714286,1.0
105,DT,24,24,7,7,0,8,8,7,7,0,1.0,0.5,0.5333333333333333,1.0
106,DT,25,25,17,0,2,12,12,17,0,2,0.8571428571428571,1.0,1.0,0.8947368421052632
107,DT,26,26,18,3,2,2,2,18,3,2,0.5,0.8571428571428571,0.4,0.9
108,DT,27,27,21,20,0,11,11,21,20,0,1.0,0.5121951219512195,0.3548387096774194,1.0
109,DT,28,28,5,2,0,10,10,5,2,0,1.0,0.7142857142857143,0.8333333333333334,1.0
110,DT,29,29,4,1,3,5,5,4,1,3,0.625,0.8,0.8333333333333334,0.5714285714285714
111,DT,30,30,0,4,3,11,11,0,4,3,0.7857142857142857,0.0,0.7333333333333333,0.0
112,DT,31,31,9,5,2,3,3,9,5,2,0.6,0.6428571428571429,0.375,0.8181818181818182
113,DT,32,32,3,4,0,3,3,3,4,0,1.0,0.42857142857142855,0.42857142857142855,1.0
114,DT,33,33,8,2,7,0,0,8,2,7,0.0,0.8,0.0,0.5333333333333333
115,DT,34,34,7,5,0,2,2,7,5,0,1.0,0.5833333333333334,0.2857142857142857,1.0
116,DT,35,35,4,1,14,5,5,4,1,14,0.2631578947368421,0.8,0.8333333333333334,0.2222222222222222
117,DT,36,36,5,7,0,10,10,5,7,0,1.0,0.4166666666666667,0.5882352941176471,1.0
118,DT,37,37,3,11,0,11,11,3,11,0,1.0,0.21428571428571427,0.5,1.0
119,DT,38,38,4,1,0,10,10,4,1,0,1.0,0.8,0.9090909090909091,1.0
120,DT,39,39,3,1,2,7,7,3,1,2,0.7777777777777778,0.75,0.875,0.6
121,DT,40,40,64,3,3,5,5,64,3,3,0.625,0.9552238805970149,0.625,0.9552238805970149
122,DT,41,41,1,5,0,9,9,1,5,0,1.0,0.16666666666666666,0.6428571428571429,1.0
