,Model,Fold,Test_Experiment,CM_non_void_pred_non_void,CM_non_void_pred_void,CM_void_pred_non_void,CM_void_pred_void,TP,TN,FP,FN,Sensitivity,Specificity,PPV,NPV
0,RF,1,1,8,0,4,4,4,8,0,4,0.5,1.0,1.0,0.6666666666666666
1,RF,2,2,5,3,0,4,4,5,3,0,1.0,0.625,0.5714285714285714,1.0
2,RF,3,3,12,2,2,4,4,12,2,2,0.6666666666666666,0.8571428571428571,0.6666666666666666,0.8571428571428571
3,RF,4,4,8,2,1,7,7,8,2,1,0.875,0.8,0.7777777777777778,0.8888888888888888
4,RF,5,5,5,0,4,2,2,5,0,4,0.3333333333333333,1.0,1.0,0.5555555555555556
5,RF,6,6,16,0,2,6,6,16,0,2,0.75,1.0,1.0,0.8888888888888888
6,RF,7,7,7,1,2,5,5,7,1,2,0.7142857142857143,0.875,0.8333333333333334,0.7777777777777778
7,RF,8,8,5,2,0,7,7,5,2,0,1.0,0.7142857142857143,0.7777777777777778,1.0
8,RF,9,9,9,2,1,14,14,9,2,1,0.9333333333333333,0.8181818181818182,0.875,0.9
9,RF,10,10,7,2,4,8,8,7,2,4,0.6666666666666666,0.7777777777777778,0.8,0.6363636363636364
10,RF,11,11,7,13,1,9,9,7,13,1,0.9,0.35,0.4090909090909091,0.875
11,RF,12,12,4,11,8,3,3,4,11,8,0.2727272727272727,0.26666666666666666,0.21428571428571427,0.3333333333333333
12,RF,13,13,7,2,3,4,4,7,2,3,0.5714285714285714,0.7777777777777778,0.6666666666666666,0.7
13,RF,14,14,8,1,6,6,6,8,1,6,0.5,0.8888888888888888,0.8571428571428571,0.5714285714285714
14,RF,15,15,2,0,2,6,6,2,0,2,0.75,1.0,1.0,0.5
15,RF,16,16,2,2,1,8,8,2,2,1,0.8888888888888888,0.5,0.8,0.6666666666666666
16,RF,17,17,3,3,1,6,6,3,3,1,0.8571428571428571,0.5,0.6666666666666666,0.75
17,RF,18,18,20,3,0,7,7,20,3,0,1.0,0.8695652173913043,0.7,1.0
18,RF,19,19,5,3,0,3,3,5,3,0,1.0,0.625,0.5,1.0
19,RF,20,20,5,1,4,1,1,5,1,4,0.2,0.8333333333333334,0.5,0.5555555555555556
20,RF,21,21,4,4,0,4,4,4,4,0,1.0,0.5,0.5,1.0
21,RF,22,22,14,8,0,5,5,14,8,0,1.0,0.6363636363636364,0.38461538461538464,1.0
22,RF,23,23,4,0,1,11,11,4,0,1,0.9166666666666666,1.0,1.0,0.8
23,RF,24,24,9,3,2,5,5,9,3,2,0.7142857142857143,0.75,0.625,0.8181818181818182
24,RF,25,25,15,0,7,5,5,15,0,7,0.4166666666666667,1.0,1.0,0.6818181818181818
25,RF,26,26,15,3,0,4,4,15,3,0,1.0,0.8333333333333334,0.5714285714285714,1.0
26,RF,27,27,26,9,0,9,9,26,9,0,1.0,0.7428571428571429,0.5,1.0
27,RF,28,28,5,2,0,8,8,5,2,0,1.0,0.7142857142857143,0.8,1.0
28,RF,29,29,5,0,2,5,5,5,0,2,0.7142857142857143,1.0,1.0,0.7142857142857143
29,RF,30,30,3,0,7,6,6,3,0,7,0.46153846153846156,1.0,1.0,0.3
30,RF,31,31,9,4,1,3,3,9,4,1,0.75,0.6923076923076923,0.42857142857142855,0.9
31,RF,32,32,4,2,0,3,3,4,2,0,1.0,0.6666666666666666,0.6,1.0
32,RF,33,33,5,3,7,0,0,5,3,7,0.0,0.625,0.0,0.4166666666666667
33,RF,34,34,10,0,2,0,0,10,0,2,0.0,1.0,0.0,0.8333333333333334
34,RF,35,35,5,0,16,0,0,5,0,16,0.0,1.0,0.0,0.23809523809523808
35,RF,36,36,5,5,0,9,9,5,5,0,1.0,0.5,0.6428571428571429,1.0
36,RF,37,37,6,6,0,10,10,6,6,0,1.0,0.5,0.625,1.0
37,RF,38,38,4,2,0,8,8,4,2,0,1.0,0.6666666666666666,0.8,1.0
38,RF,39,39,3,1,1,7,7,3,1,1,0.875,0.75,0.875,0.75
39,RF,40,40,53,4,4,3,3,53,4,4,0.42857142857142855,0.9298245614035088,0.42857142857142855,0.9298245614035088
40,RF,41,41,3,3,1,6,6,3,3,1,0.8571428571428571,0.5,0.6666666666666666,0.75
41,XGB,1,1,8,0,5,3,3,8,0,5,0.375,1.0,1.0,0.6153846153846154
42,XGB,2,2,5,3,0,4,4,5,3,0,1.0,0.625,0.5714285714285714,1.0
43,XGB,3,3,12,2,2,4,4,12,2,2,0.6666666666666666,0.8571428571428571,0.6666666666666666,0.8571428571428571
44,XGB,4,4,8,2,0,8,8,8,2,0,1.0,0.8,0.8,1.0
45,XGB,5,5,4,1,4,2,2,4,1,4,0.3333333333333333,0.8,0.6666666666666666,0.5
46,XGB,6,6,16,0,2,6,6,16,0,2,0.75,1.0,1.0,0.8888888888888888
47,XGB,7,7,7,1,2,5,5,7,1,2,0.7142857142857143,0.875,0.8333333333333334,0.7777777777777778
48,XGB,8,8,4,3,0,7,7,4,3,0,1.0,0.5714285714285714,0.7,1.0
49,XGB,9,9,9,2,1,14,14,9,2,1,0.9333333333333333,0.8181818181818182,0.875,0.9
50,XGB,10,10,7,2,3,9,9,7,2,3,0.75,0.7777777777777778,0.8181818181818182,0.7
51,XGB,11,11,6,14,1,9,9,6,14,1,0.9,0.3,0.391304347826087,0.8571428571428571
52,XGB,12,12,2,13,8,3,3,2,13,8,0.2727272727272727,0.13333333333333333,0.1875,0.2
53,XGB,13,13,7,2,4,3,3,7,2,4,0.42857142857142855,0.7777777777777778,0.6,0.6363636363636364
54,XGB,14,14,8,1,9,3,3,8,1,9,0.25,0.8888888888888888,0.75,0.47058823529411764
55,XGB,15,15,2,0,4,4,4,2,0,4,0.5,1.0,1.0,0.3333333333333333
56,XGB,16,16,2,2,1,8,8,2,2,1,0.8888888888888888,0.5,0.8,0.6666666666666666
57,XGB,17,17,3,3,1,6,6,3,3,1,0.8571428571428571,0.5,0.6666666666666666,0.75
58,XGB,18,18,20,3,0,7,7,20,3,0,1.0,0.8695652173913043,0.7,1.0
59,XGB,19,19,5,3,0,3,3,5,3,0,1.0,0.625,0.5,1.0
60,XGB,20,20,3,3,3,2,2,3,3,3,0.4,0.5,0.4,0.5
61,XGB,21,21,4,4,0,4,4,4,4,0,1.0,0.5,0.5,1.0
62,XGB,22,22,14,8,0,5,5,14,8,0,1.0,0.6363636363636364,0.38461538461538464,1.0
63,XGB,23,23,4,0,5,7,7,4,0,5,0.5833333333333334,1.0,1.0,0.4444444444444444
64,XGB,24,24,7,5,1,6,6,7,5,1,0.8571428571428571,0.5833333333333334,0.5454545454545454,0.875
65,XGB,25,25,15,0,7,5,5,15,0,7,0.4166666666666667,1.0,1.0,0.6818181818181818
66,XGB,26,26,16,2,1,3,3,16,2,1,0.75,0.8888888888888888,0.6,0.9411764705882353
67,XGB,27,27,27,8,0,9,9,27,8,0,1.0,0.7714285714285715,0.5294117647058824,1.0
68,XGB,28,28,5,2,0,8,8,5,2,0,1.0,0.7142857142857143,0.8,1.0
69,XGB,29,29,5,0,2,5,5,5,0,2,0.7142857142857143,1.0,1.0,0.7142857142857143
70,XGB,30,30,3,0,8,5,5,3,0,8,0.38461538461538464,1.0,1.0,0.2727272727272727
71,XGB,31,31,8,5,1,3,3,8,5,1,0.75,0.6153846153846154,0.375,0.8888888888888888
72,XGB,32,32,3,3,0,3,3,3,3,0,1.0,0.5,0.5,1.0
