,Model,Fold,Test_Experiment,CM_non_void_pred_non_void,CM_non_void_pred_void,CM_void_pred_non_void,CM_void_pred_void,TP,TN,FP,FN,Sensitivity,Specificity,PPV,NPV
0,RF,1,1,23,0,17,8,8,23,0,17,0.32,1.0,1.0,0.575
1,RF,2,2,17,8,0,12,12,17,8,0,1.0,0.68,0.6,1.0
2,RF,3,3,30,16,2,14,14,30,16,2,0.875,0.6521739130434783,0.4666666666666667,0.9375
3,RF,4,4,22,9,3,22,22,22,9,3,0.88,0.7096774193548387,0.7096774193548387,0.88
4,RF,5,5,15,0,14,6,6,15,0,14,0.3,1.0,1.0,0.5172413793103449
5,RF,6,6,43,7,3,20,20,43,7,3,0.8695652173913043,0.86,0.7407407407407407,0.9347826086956522
6,RF,7,7,22,3,2,19,19,22,3,2,0.9047619047619048,0.88,0.8636363636363636,0.9166666666666666
7,RF,8,8,10,11,4,18,18,10,11,4,0.8181818181818182,0.47619047619047616,0.6206896551724138,0.7142857142857143
8,RF,9,9,23,9,7,39,39,23,9,7,0.8478260869565217,0.71875,0.8125,0.7666666666666667
9,RF,10,10,23,7,12,23,23,23,7,12,0.6571428571428571,0.7666666666666667,0.7666666666666667,0.6571428571428571
10,RF,11,11,44,18,24,6,6,44,18,24,0.2,0.7096774193548387,0.25,0.6470588235294118
11,RF,12,12,25,22,23,9,9,25,22,23,0.28125,0.5319148936170213,0.2903225806451613,0.5208333333333334
12,RF,13,13,20,10,9,11,11,20,10,9,0.55,0.6666666666666666,0.5238095238095238,0.6896551724137931
13,RF,14,14,29,0,18,16,16,29,0,18,0.47058823529411764,1.0,1.0,0.6170212765957447
14,RF,15,15,5,0,6,19,19,5,0,6,0.76,1.0,1.0,0.45454545454545453
15,RF,16,16,7,5,8,19,19,7,5,8,0.7037037037037037,0.5833333333333334,0.7916666666666666,0.4666666666666667
16,RF,17,17,11,9,9,11,11,11,9,9,0.55,0.55,0.55,0.55
17,RF,18,18,58,15,1,18,18,58,15,1,0.9473684210526315,0.7945205479452054,0.5454545454545454,0.9830508474576272
18,RF,19,19,20,7,0,8,8,20,7,0,1.0,0.7407407407407407,0.5333333333333333,1.0
19,RF,20,20,16,3,14,1,1,16,3,14,0.06666666666666667,0.8421052631578947,0.25,0.5333333333333333
20,RF,21,21,12,12,0,13,13,12,12,0,1.0,0.5,0.52,1.0
21,RF,22,22,42,24,0,15,15,42,24,0,1.0,0.6363636363636364,0.38461538461538464,1.0
22,RF,23,23,10,5,0,34,34,10,5,0,1.0,0.6666666666666666,0.8717948717948718,1.0
