,Model,Fold,Test_Experiment,CM_non_void_pred_non_void,CM_non_void_pred_void,CM_void_pred_non_void,CM_void_pred_void,TP,TN,FP,FN,Sensitivity,Specificity,PPV,NPV
0,RF,1,1,21,2,11,13,13,21,2,11,0.5416666666666666,0.9130434782608695,0.8666666666666667,0.65625
1,RF,2,2,13,12,0,11,11,13,12,0,1.0,0.52,0.4782608695652174,1.0
2,RF,3,3,36,9,5,11,11,36,9,5,0.6875,0.8,0.55,0.8780487804878049
3,RF,4,4,20,9,1,25,25,20,9,1,0.9615384615384616,0.6896551724137931,0.7352941176470589,0.9523809523809523
4,RF,5,5,12,3,7,12,12,12,3,7,0.631578947368421,0.8,0.8,0.631578947368421
5,RF,6,6,43,7,11,11,11,43,7,11,0.5,0.86,0.6111111111111112,0.7962962962962963
6,RF,7,7,22,3,3,17,17,22,3,3,0.85,0.88,0.85,0.88
7,RF,8,8,9,12,3,18,18,9,12,3,0.8571428571428571,0.42857142857142855,0.6,0.75
8,RF,9,9,27,5,9,36,36,27,5,9,0.8,0.84375,0.8780487804878049,0.75
9,RF,10,10,23,7,9,25,25,23,7,9,0.7352941176470589,0.7666666666666667,0.78125,0.71875
10,RF,11,11,34,26,20,11,11,34,26,20,0.3548387096774194,0.5666666666666667,0.2972972972972973,0.6296296296296297
11,RF,12,12,25,21,24,8,8,25,21,24,0.25,0.5434782608695652,0.27586206896551724,0.5102040816326531
12,RF,13,13,22,7,14,6,6,22,7,14,0.3,0.7586206896551724,0.46153846153846156,0.6111111111111112
13,RF,14,14,26,1,22,13,13,26,1,22,0.37142857142857144,0.9629629629629629,0.9285714285714286,0.5416666666666666
14,RF,15,15,4,0,5,20,20,4,0,5,0.8,1.0,1.0,0.4444444444444444
15,RF,16,16,8,4,6,20,20,8,4,6,0.7692307692307693,0.6666666666666666,0.8333333333333334,0.5714285714285714
16,RF,17,17,11,9,5,14,14,11,9,5,0.7368421052631579,0.55,0.6086956521739131,0.6875
17,RF,18,18,64,8,1,18,18,64,8,1,0.9473684210526315,0.8888888888888888,0.6923076923076923,0.9846153846153847
18,RF,19,19,17,8,0,9,9,17,8,0,1.0,0.68,0.5294117647058824,1.0
19,RF,20,20,17,1,12,3,3,17,1,12,0.2,0.9444444444444444,0.75,0.5862068965517241
20,RF,21,21,14,8,0,14,14,14,8,0,1.0,0.6363636363636364,0.6363636363636364,1.0
21,RF,22,22,40,26,0,14,14,40,26,0,1.0,0.6060606060606061,0.35,1.0
22,RF,23,23,12,2,3,31,31,12,2,3,0.9117647058823529,0.8571428571428571,0.9393939393939394,0.8
23,RF,24,24,26,13,5,14,14,26,13,5,0.7368421052631579,0.6666666666666666,0.5185185185185185,0.8387096774193549
24,RF,25,25,44,0,30,6,6,44,0,30,0.16666666666666666,1.0,1.0,0.5945945945945946
25,RF,26,26,44,9,1,11,11,44,9,1,0.9166666666666666,0.8301886792452831,0.55,0.9777777777777777
26,RF,27,27,81,24,0,28,28,81,24,0,1.0,0.7714285714285715,0.5384615384615384,1.0
