,Model,Fold,Test_Experiment,CM_non_void_pred_non_void,CM_non_void_pred_void,CM_void_pred_non_void,CM_void_pred_void,TP,TN,FP,FN,Sensitivity,Specificity,PPV,NPV
0,RF,1,1,4,0,4,1,1,4,0,4,0.2,1.0,1.0,0.5
1,RF,2,2,3,2,0,2,2,3,2,0,1.0,0.6,0.5,1.0
2,RF,3,3,6,3,1,2,2,6,3,1,0.6666666666666666,0.6666666666666666,0.4,0.8571428571428571
3,RF,4,4,5,1,0,5,5,5,1,0,1.0,0.8333333333333334,0.8333333333333334,1.0
4,RF,5,5,3,0,1,3,3,3,0,1,0.75,1.0,1.0,0.75
5,RF,6,6,9,1,0,4,4,9,1,0,1.0,0.9,0.8,1.0
6,RF,7,7,5,0,1,3,3,5,0,1,0.75,1.0,1.0,0.8333333333333334
7,RF,8,8,2,2,1,3,3,2,2,1,0.75,0.5,0.6,0.6666666666666666
8,RF,9,9,4,2,1,8,8,4,2,1,0.8888888888888888,0.6666666666666666,0.8,0.8
9,RF,10,10,5,1,1,6,6,5,1,1,0.8571428571428571,0.8333333333333334,0.8571428571428571,0.8333333333333334
10,RF,11,11,3,9,4,2,2,3,9,4,0.3333333333333333,0.25,0.18181818181818182,0.42857142857142855
11,RF,12,12,2,7,6,0,0,2,7,6,0.0,0.2222222222222222,0.0,0.25
12,RF,13,13,5,1,1,3,3,5,1,1,0.75,0.8333333333333334,0.75,0.8333333333333334
13,RF,14,14,5,0,7,0,0,5,0,7,0.0,1.0,0.0,0.4166666666666667
14,RF,15,15,1,0,1,4,4,1,0,1,0.8,1.0,1.0,0.5
15,RF,16,16,1,0,1,5,5,1,0,1,0.8333333333333334,1.0,1.0,0.5
16,RF,17,17,2,2,1,3,3,2,2,1,0.75,0.5,0.6,0.6666666666666666
17,RF,18,18,13,1,0,4,4,13,1,0,1.0,0.9285714285714286,0.8,1.0
18,RF,19,19,4,2,0,1,1,4,2,0,1.0,0.6666666666666666,0.3333333333333333,1.0
19,RF,20,20,2,1,1,2,2,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
20,RF,21,21,2,2,0,3,3,2,2,0,1.0,0.5,0.6,1.0
21,RF,22,22,8,5,0,3,3,8,5,0,1.0,0.6153846153846154,0.375,1.0
22,RF,23,23,2,0,0,7,7,2,0,0,1.0,1.0,1.0,1.0
23,RF,24,24,5,2,0,4,4,5,2,0,1.0,0.7142857142857143,0.6666666666666666,1.0
24,RF,25,25,9,0,5,2,2,9,0,5,0.2857142857142857,1.0,1.0,0.6428571428571429
25,RF,26,26,10,1,1,1,1,10,1,1,0.5,0.9090909090909091,0.5,0.9090909090909091
26,RF,27,27,12,8,0,6,6,12,8,0,1.0,0.6,0.42857142857142855,1.0
27,RF,28,28,4,0,0,5,5,4,0,0,1.0,1.0,1.0,1.0
28,RF,29,29,2,1,1,3,3,2,1,1,0.75,0.6666666666666666,0.75,0.6666666666666666
29,RF,30,30,2,0,3,4,4,2,0,3,0.5714285714285714,1.0,1.0,0.4
30,RF,31,31,5,2,1,2,2,5,2,1,0.6666666666666666,0.7142857142857143,0.5,0.8333333333333334
31,RF,32,32,3,0,0,2,2,3,0,0,1.0,1.0,1.0,1.0
32,RF,33,33,2,3,3,1,1,2,3,3,0.25,0.4,0.25,0.4
33,RF,34,34,6,0,1,0,0,6,0,1,0.0,1.0,0.0,0.8571428571428571
34,RF,35,35,2,0,9,1,1,2,0,9,0.1,1.0,1.0,0.18181818181818182
35,RF,36,36,2,4,0,5,5,2,4,0,1.0,0.3333333333333333,0.5555555555555556,1.0
36,RF,37,37,2,5,0,6,6,2,5,0,1.0,0.2857142857142857,0.5454545454545454,1.0
37,RF,38,38,3,0,0,5,5,3,0,0,1.0,1.0,1.0,1.0
38,RF,39,39,1,1,0,5,5,1,1,0,1.0,0.5,0.8333333333333334,1.0
39,RF,40,40,31,3,2,2,2,31,3,2,0.5,0.9117647058823529,0.4,0.9393939393939394
40,RF,41,41,1,2,1,4,4,1,2,1,0.8,0.3333333333333333,0.6666666666666666,0.5
41,XGB,1,1,3,1,3,2,2,3,1,3,0.4,0.75,0.6666666666666666,0.5
42,XGB,2,2,3,2,1,1,1,3,2,1,0.5,0.6,0.3333333333333333,0.75
43,XGB,3,3,8,1,2,1,1,8,1,2,0.3333333333333333,0.8888888888888888,0.5,0.8
44,XGB,4,4,4,2,0,5,5,4,2,0,1.0,0.6666666666666666,0.7142857142857143,1.0
45,XGB,5,5,3,0,3,1,1,3,0,3,0.25,1.0,1.0,0.5
46,XGB,6,6,9,1,2,2,2,9,1,2,0.5,0.9,0.6666666666666666,0.8181818181818182
47,XGB,7,7,5,0,1,3,3,5,0,1,0.75,1.0,1.0,0.8333333333333334
48,XGB,8,8,4,0,3,1,1,4,0,3,0.25,1.0,1.0,0.5714285714285714
49,XGB,9,9,4,2,1,8,8,4,2,1,0.8888888888888888,0.6666666666666666,0.8,0.8
50,XGB,10,10,4,2,3,4,4,4,2,3,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.5714285714285714
51,XGB,11,11,6,6,5,1,1,6,6,5,0.16666666666666666,0.5,0.14285714285714285,0.5454545454545454
52,XGB,12,12,2,7,6,0,0,2,7,6,0.0,0.2222222222222222,0.0,0.25
53,XGB,13,13,6,0,2,2,2,6,0,2,0.5,1.0,1.0,0.75
54,XGB,14,14,5,0,4,3,3,5,0,4,0.42857142857142855,1.0,1.0,0.5555555555555556
