,Model,Fold,Test_Experiment,CM_non_void_pred_non_void,CM_non_void_pred_void,CM_void_pred_non_void,CM_void_pred_void,TP,TN,FP,FN,Sensitivity,Specificity,PPV,NPV
0,RF,1,1,19,0,19,6,6,19,0,19,0.24,1.0,1.0,0.5
1,RF,2,2,13,8,0,12,12,13,8,0,1.0,0.6190476190476191,0.6,1.0
2,RF,3,3,35,7,7,9,9,35,7,7,0.5625,0.8333333333333334,0.5625,0.8333333333333334
3,RF,4,4,20,7,0,25,25,20,7,0,1.0,0.7407407407407407,0.78125,1.0
4,RF,5,5,11,0,10,10,10,11,0,10,0.5,1.0,1.0,0.5238095238095238
5,RF,6,6,44,2,10,13,13,44,2,10,0.5652173913043478,0.9565217391304348,0.8666666666666667,0.8148148148148148
6,RF,7,7,20,1,5,16,16,20,1,5,0.7619047619047619,0.9523809523809523,0.9411764705882353,0.8
7,RF,8,8,9,8,4,18,18,9,8,4,0.8181818181818182,0.5294117647058824,0.6923076923076923,0.6923076923076923
8,RF,9,9,21,7,0,46,46,21,7,0,1.0,0.75,0.8679245283018868,1.0
9,RF,10,10,20,6,0,35,35,20,6,0,1.0,0.7692307692307693,0.8536585365853658,1.0
10,RF,11,11,23,35,11,19,19,23,35,11,0.6333333333333333,0.39655172413793105,0.35185185185185186,0.6764705882352942
11,RF,12,12,12,31,21,11,11,12,31,21,0.34375,0.27906976744186046,0.2619047619047619,0.36363636363636365
12,RF,13,13,19,7,5,15,15,19,7,5,0.75,0.7307692307692307,0.6818181818181818,0.7916666666666666
13,RF,14,14,22,3,20,14,14,22,3,20,0.4117647058823529,0.88,0.8235294117647058,0.5238095238095238
14,RF,15,15,1,0,8,17,17,1,0,8,0.68,1.0,1.0,0.1111111111111111
15,RF,16,16,6,2,4,23,23,6,2,4,0.8518518518518519,0.75,0.92,0.6
16,RF,17,17,8,8,5,15,15,8,8,5,0.75,0.5,0.6521739130434783,0.6153846153846154
17,RF,18,18,60,9,0,19,19,60,9,0,1.0,0.8695652173913043,0.6785714285714286,1.0
18,RF,19,19,13,10,1,7,7,13,10,1,0.875,0.5652173913043478,0.4117647058823529,0.9285714285714286
19,RF,20,20,12,3,9,6,6,12,3,9,0.4,0.8,0.6666666666666666,0.5714285714285714
20,RF,21,21,10,10,0,13,13,10,10,0,1.0,0.5,0.5652173913043478,1.0
21,RF,22,22,38,24,0,15,15,38,24,0,1.0,0.6129032258064516,0.38461538461538464,1.0
22,RF,23,23,8,3,1,33,33,8,3,1,0.9705882352941176,0.7272727272727273,0.9166666666666666,0.8888888888888888
23,RF,24,24,30,6,2,17,17,30,6,2,0.8947368421052632,0.8333333333333334,0.7391304347826086,0.9375
24,RF,25,25,41,0,21,15,15,41,0,21,0.4166666666666667,1.0,1.0,0.6612903225806451
25,RF,26,26,45,5,2,10,10,45,5,2,0.8333333333333334,0.9,0.6666666666666666,0.9574468085106383
26,RF,27,27,70,32,0,28,28,70,32,0,1.0,0.6862745098039216,0.4666666666666667,1.0
27,RF,28,28,13,2,0,26,26,13,2,0,1.0,0.8666666666666667,0.9285714285714286,1.0
28,RF,29,29,7,4,8,13,13,7,4,8,0.6190476190476191,0.6363636363636364,0.7647058823529411,0.4666666666666667
29,RF,30,30,8,0,24,13,13,8,0,24,0.35135135135135137,1.0,1.0,0.25
30,RF,31,31,27,6,4,10,10,27,6,4,0.7142857142857143,0.8181818181818182,0.625,0.8709677419354839
31,RF,32,32,12,5,1,7,7,12,5,1,0.875,0.7058823529411765,0.5833333333333334,0.9230769230769231
32,RF,33,33,8,16,18,1,1,8,16,18,0.05263157894736842,0.3333333333333333,0.058823529411764705,0.3076923076923077
33,RF,34,34,26,2,1,5,5,26,2,1,0.8333333333333334,0.9285714285714286,0.7142857142857143,0.9629629629629629
34,RF,35,35,11,0,45,3,3,11,0,45,0.0625,1.0,1.0,0.19642857142857142
35,RF,36,36,12,16,0,26,26,12,16,0,1.0,0.42857142857142855,0.6190476190476191,1.0
36,RF,37,37,10,22,1,29,29,10,22,1,0.9666666666666667,0.3125,0.5686274509803921,0.9090909090909091
37,RF,38,38,11,1,0,26,26,11,1,0,1.0,0.9166666666666666,0.9629629629629629,1.0
38,RF,39,39,5,3,1,24,24,5,3,1,0.96,0.625,0.8888888888888888,0.8333333333333334
39,RF,40,40,155,11,8,14,14,155,11,8,0.6363636363636364,0.9337349397590361,0.56,0.950920245398773
40,RF,41,41,3,11,4,19,19,3,11,4,0.8260869565217391,0.21428571428571427,0.6333333333333333,0.42857142857142855
41,XGB,1,1,13,6,14,11,11,13,6,14,0.44,0.6842105263157895,0.6470588235294118,0.48148148148148145
42,XGB,2,2,14,7,0,12,12,14,7,0,1.0,0.6666666666666666,0.631578947368421,1.0
43,XGB,3,3,35,7,7,9,9,35,7,7,0.5625,0.8333333333333334,0.5625,0.8333333333333334
44,XGB,4,4,21,6,0,25,25,21,6,0,1.0,0.7777777777777778,0.8064516129032258,1.0
45,XGB,5,5,11,0,13,7,7,11,0,13,0.35,1.0,1.0,0.4583333333333333
46,XGB,6,6,42,4,9,14,14,42,4,9,0.6086956521739131,0.9130434782608695,0.7777777777777778,0.8235294117647058
47,XGB,7,7,20,1,5,16,16,20,1,5,0.7619047619047619,0.9523809523809523,0.9411764705882353,0.8
48,XGB,8,8,15,2,18,4,4,15,2,18,0.18181818181818182,0.8823529411764706,0.6666666666666666,0.45454545454545453
49,XGB,9,9,25,3,13,33,33,25,3,13,0.717391304347826,0.8928571428571429,0.9166666666666666,0.6578947368421053
50,XGB,10,10,21,5,1,34,34,21,5,1,0.9714285714285714,0.8076923076923077,0.8717948717948718,0.9545454545454546
51,XGB,11,11,29,29,19,11,11,29,29,19,0.36666666666666664,0.5,0.275,0.6041666666666666
