,Model,Fold,Test_Experiment,CM_non_void_pred_non_void,CM_non_void_pred_void,CM_void_pred_non_void,CM_void_pred_void,TP,TN,FP,FN,Sensitivity,Specificity,PPV,NPV
0,RF,1,1,6,0,3,3,3,6,0,3,0.5,1.0,1.0,0.6666666666666666
1,RF,2,2,5,1,0,3,3,5,1,0,1.0,0.8333333333333334,0.75,1.0
2,RF,3,3,8,3,1,3,3,8,3,1,0.75,0.7272727272727273,0.5,0.8888888888888888
3,RF,4,4,6,1,2,5,5,6,1,2,0.7142857142857143,0.8571428571428571,0.8333333333333334,0.75
4,RF,5,5,2,1,3,2,2,2,1,3,0.4,0.6666666666666666,0.6666666666666666,0.4
5,RF,6,6,11,1,3,3,3,11,1,3,0.5,0.9166666666666666,0.75,0.7857142857142857
6,RF,7,7,6,0,1,4,4,6,0,1,0.8,1.0,1.0,0.8571428571428571
7,RF,8,8,3,2,1,4,4,3,2,1,0.8,0.6,0.6666666666666666,0.75
8,RF,9,9,6,2,3,8,8,6,2,3,0.7272727272727273,0.75,0.8,0.6666666666666666
9,RF,10,10,8,0,3,5,5,8,0,3,0.625,1.0,1.0,0.7272727272727273
10,RF,11,11,8,8,6,1,1,8,8,6,0.14285714285714285,0.5,0.1111111111111111,0.5714285714285714
11,RF,12,12,3,8,6,2,2,3,8,6,0.25,0.2727272727272727,0.2,0.3333333333333333
12,RF,13,13,5,2,3,2,2,5,2,3,0.4,0.7142857142857143,0.5,0.625
13,RF,14,14,7,0,6,2,2,7,0,6,0.25,1.0,1.0,0.5384615384615384
14,RF,15,15,0,0,4,3,3,0,0,4,0.42857142857142855,0.0,1.0,0.0
15,RF,16,16,2,1,0,6,6,2,1,0,1.0,0.6666666666666666,0.8571428571428571,1.0
16,RF,17,17,3,3,1,3,3,3,3,1,0.75,0.5,0.5,0.75
17,RF,18,18,15,3,0,5,5,15,3,0,1.0,0.8333333333333334,0.625,1.0
18,RF,19,19,3,3,0,2,2,3,3,0,1.0,0.5,0.4,1.0
19,RF,20,20,3,1,3,1,1,3,1,3,0.25,0.75,0.5,0.5
20,RF,21,21,4,2,0,3,3,4,2,0,1.0,0.6666666666666666,0.6,1.0
21,RF,22,22,10,7,0,3,3,10,7,0,1.0,0.5882352941176471,0.3,1.0
22,RF,23,23,3,1,0,8,8,3,1,0,1.0,0.75,0.8888888888888888,1.0
23,RF,24,24,5,4,2,3,3,5,4,2,0.6,0.5555555555555556,0.42857142857142855,0.7142857142857143
24,RF,25,25,11,0,6,3,3,11,0,6,0.3333333333333333,1.0,1.0,0.6470588235294118
25,RF,26,26,11,2,2,1,1,11,2,2,0.3333333333333333,0.8461538461538461,0.3333333333333333,0.8461538461538461
26,RF,27,27,15,11,0,7,7,15,11,0,1.0,0.5769230769230769,0.3888888888888889,1.0
27,RF,28,28,4,1,0,6,6,4,1,0,1.0,0.8,0.8571428571428571,1.0
28,RF,29,29,3,1,2,3,3,3,1,2,0.6,0.75,0.75,0.6
29,RF,30,30,3,0,4,5,5,3,0,4,0.5555555555555556,1.0,1.0,0.42857142857142855
30,RF,31,31,7,1,1,3,3,7,1,1,0.75,0.875,0.75,0.875
31,RF,32,32,3,2,0,2,2,3,2,0,1.0,0.6,0.5,1.0
32,RF,33,33,4,3,4,0,0,4,3,4,0.0,0.5714285714285714,0.0,0.5
33,RF,34,34,6,1,0,2,2,6,1,0,1.0,0.8571428571428571,0.6666666666666666,1.0
34,RF,35,35,2,0,13,0,0,2,0,13,0.0,1.0,0.0,0.13333333333333333
35,RF,36,36,3,5,0,6,6,3,5,0,1.0,0.375,0.5454545454545454,1.0
36,RF,37,37,3,5,0,8,8,3,5,0,1.0,0.375,0.6153846153846154,1.0
37,RF,38,38,3,1,0,6,6,3,1,0,1.0,0.75,0.8571428571428571,1.0
38,RF,39,39,2,1,1,5,5,2,1,1,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.6666666666666666
39,RF,40,40,37,5,1,5,5,37,5,1,0.8333333333333334,0.8809523809523809,0.5,0.9736842105263158
40,RF,41,41,3,1,1,5,5,3,1,1,0.8333333333333334,0.75,0.8333333333333334,0.75
41,XGB,1,1,6,0,3,3,3,6,0,3,0.5,1.0,1.0,0.6666666666666666
42,XGB,2,2,5,1,0,3,3,5,1,0,1.0,0.8333333333333334,0.75,1.0
43,XGB,3,3,8,3,1,3,3,8,3,1,0.75,0.7272727272727273,0.5,0.8888888888888888
44,XGB,4,4,5,2,2,5,5,5,2,2,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
45,XGB,5,5,3,0,4,1,1,3,0,4,0.2,1.0,1.0,0.42857142857142855
46,XGB,6,6,12,0,3,3,3,12,0,3,0.5,1.0,1.0,0.8
47,XGB,7,7,6,0,1,4,4,6,0,1,0.8,1.0,1.0,0.8571428571428571
