,Model,Fold,Test_Experiment,K_Parameter,N_Features_Selected,Score_Function,Feature_Proportion
0,RF,1,1,71,71,f_classif,0.696
1,RF,2,2,71,71,f_classif,0.696
2,RF,3,3,20,20,f_classif,0.196
3,RF,4,4,81,81,f_classif,0.794
4,RF,5,5,81,81,f_classif,0.794
5,RF,6,6,81,81,f_classif,0.794
6,RF,7,7,71,71,f_classif,0.696
7,RF,8,8,30,30,f_classif,0.294
8,RF,9,9,all,102,f_classif,1.0
9,RF,10,10,20,20,f_classif,0.196
10,RF,11,11,71,71,f_classif,0.696
11,RF,12,12,all,102,f_classif,1.0
12,RF,13,13,30,30,f_classif,0.294
13,RF,14,14,20,20,f_classif,0.196
14,RF,15,15,30,30,f_classif,0.294
15,RF,16,16,91,91,f_classif,0.892
16,RF,17,17,81,81,f_classif,0.794
17,RF,18,18,40,40,f_classif,0.392
18,RF,19,19,71,71,f_classif,0.696
19,RF,20,20,91,91,f_classif,0.892
20,RF,21,21,30,30,f_classif,0.294
21,RF,22,22,51,51,f_classif,0.5
22,RF,23,23,71,71,f_classif,0.696
23,RF,24,24,91,91,f_classif,0.892
24,RF,25,25,40,40,f_classif,0.392
25,RF,26,26,30,30,f_classif,0.294
26,RF,27,27,71,71,f_classif,0.696
27,RF,28,28,71,71,f_classif,0.696
28,RF,29,29,all,102,f_classif,1.0
29,RF,30,30,all,102,f_classif,1.0
30,RF,31,31,20,20,f_classif,0.196
31,RF,32,32,30,30,f_classif,0.294
32,RF,33,33,30,30,f_classif,0.294
33,RF,34,34,all,102,f_classif,1.0
34,RF,35,35,91,91,f_classif,0.892
35,RF,36,36,20,20,f_classif,0.196
36,RF,37,37,20,20,f_classif,0.196
37,RF,38,38,81,81,f_classif,0.794
38,RF,39,39,40,40,f_classif,0.392
39,RF,40,40,81,81,f_classif,0.794
40,RF,41,41,40,40,f_classif,0.392
41,XGB,1,1,51,51,f_classif,0.5
42,XGB,2,2,51,51,f_classif,0.5
43,XGB,3,3,40,40,f_classif,0.392
44,XGB,4,4,71,71,f_classif,0.696
45,XGB,5,5,81,81,f_classif,0.794
46,XGB,6,6,40,40,f_classif,0.392
47,XGB,7,7,30,30,f_classif,0.294
48,XGB,8,8,20,20,f_classif,0.196
49,XGB,9,9,91,91,f_classif,0.892
50,XGB,10,10,30,30,f_classif,0.294
51,XGB,11,11,81,81,f_classif,0.794
52,XGB,12,12,30,30,f_classif,0.294
53,XGB,13,13,51,51,f_classif,0.5
54,XGB,14,14,71,71,f_classif,0.696
55,XGB,15,15,30,30,f_classif,0.294
56,XGB,16,16,91,91,f_classif,0.892
57,XGB,17,17,40,40,f_classif,0.392
58,XGB,18,18,51,51,f_classif,0.5
59,XGB,19,19,30,30,f_classif,0.294
60,XGB,20,20,51,51,f_classif,0.5
61,XGB,21,21,30,30,f_classif,0.294
62,XGB,22,22,30,30,f_classif,0.294
63,XGB,23,23,40,40,f_classif,0.392
64,XGB,24,24,71,71,f_classif,0.696
65,XGB,25,25,30,30,f_classif,0.294
66,XGB,26,26,10,10,f_classif,0.098
67,XGB,27,27,51,51,f_classif,0.5
68,XGB,28,28,40,40,f_classif,0.392
69,XGB,29,29,20,20,f_classif,0.196
70,XGB,30,30,10,10,f_classif,0.098
71,XGB,31,31,20,20,f_classif,0.196
72,XGB,32,32,40,40,f_classif,0.392
73,XGB,33,33,91,91,f_classif,0.892
74,XGB,34,34,81,81,f_classif,0.794
75,XGB,35,35,51,51,f_classif,0.5
76,XGB,36,36,20,20,f_classif,0.196
77,XGB,37,37,20,20,f_classif,0.196
78,XGB,38,38,40,40,f_classif,0.392
79,XGB,39,39,10,10,f_classif,0.098
80,XGB,40,40,20,20,f_classif,0.196
81,XGB,41,41,20,20,f_classif,0.196
82,DT,1,1,30,30,f_classif,0.294
83,DT,2,2,51,51,f_classif,0.5
84,DT,3,3,71,71,f_classif,0.696
85,DT,4,4,81,81,f_classif,0.794
86,DT,5,5,71,71,f_classif,0.696
87,DT,6,6,71,71,f_classif,0.696
88,DT,7,7,81,81,f_classif,0.794
89,DT,8,8,81,81,f_classif,0.794
90,DT,9,9,40,40,f_classif,0.392
91,DT,10,10,30,30,f_classif,0.294
92,DT,11,11,71,71,f_classif,0.696
93,DT,12,12,71,71,f_classif,0.696
94,DT,13,13,71,71,f_classif,0.696
95,DT,14,14,20,20,f_classif,0.196
96,DT,15,15,71,71,f_classif,0.696
97,DT,16,16,40,40,f_classif,0.392
98,DT,17,17,30,30,f_classif,0.294
99,DT,18,18,71,71,f_classif,0.696
100,DT,19,19,30,30,f_classif,0.294
101,DT,20,20,51,51,f_classif,0.5
102,DT,21,21,71,71,f_classif,0.696
103,DT,22,22,20,20,f_classif,0.196
104,DT,23,23,71,71,f_classif,0.696
105,DT,24,24,51,51,f_classif,0.5
106,DT,25,25,20,20,f_classif,0.196
107,DT,26,26,71,71,f_classif,0.696
108,DT,27,27,20,20,f_classif,0.196
109,DT,28,28,40,40,f_classif,0.392
110,DT,29,29,30,30,f_classif,0.294
111,DT,30,30,71,71,f_classif,0.696
112,DT,31,31,10,10,f_classif,0.098
113,DT,32,32,91,91,f_classif,0.892
114,DT,33,33,51,51,f_classif,0.5
115,DT,34,34,20,20,f_classif,0.196
116,DT,35,35,20,20,f_classif,0.196
117,DT,36,36,81,81,f_classif,0.794
118,DT,37,37,20,20,f_classif,0.196
119,DT,38,38,51,51,f_classif,0.5
120,DT,39,39,30,30,f_classif,0.294
121,DT,40,40,81,81,f_classif,0.794
122,DT,41,41,20,20,f_classif,0.196
